scenario_id	mode	replicate_index	status	elapsed_seconds	error
postintro_denovo	selected	13	completed	104.20706652299987	
postintro_denovo	selected	14	completed	99.34616338999967	
postintro_denovo	selected	15	completed	97.63467965600012	
postintro_denovo	selected	16	completed	119.0248338639999	
postintro_denovo	selected	17	completed	100.69322096199994	
postintro_denovo	selected	18	completed	101.49348752800006	
postintro_denovo	selected	19	completed	100.6234905010001	
postintro_denovo	selected	20	completed	99.80757409499984	
postintro_denovo	selected	21	completed	99.7219587300001	
postintro_denovo	selected	22	completed	111.46914117400001	
postintro_denovo	selected	23	completed	103.06774696799994	
postintro_denovo	selected	24	completed	100.64614489199994	
postintro_denovo	selected	25	completed	101.39469156599989	
postintro_denovo	selected	26	completed	109.31084678499974	
postintro_denovo	selected	27	completed	106.01555895399997	
postintro_denovo	selected	28	completed	105.09429525099995	
postintro_denovo	selected	29	completed	104.53976691200023	
postintro_denovo	selected	30	completed	108.49748898000007	
postintro_denovo	selected	31	completed	106.26189818499961	
postintro_denovo	selected	32	completed	110.03127311299977	
postintro_denovo	selected	33	completed	101.8567985730001	
postintro_denovo	selected	34	completed	97.73651517200005	
postintro_denovo	selected	35	completed	96.91534453099939	
postintro_denovo	selected	36	completed	92.00028012099983	
postintro_denovo	selected	37	completed	94.34598307100032	
postintro_denovo	selected	38	completed	94.76500942299981	
postintro_denovo	selected	39	completed	92.84096071800013	
postintro_denovo	selected	40	completed	101.24929260299996	
postintro_denovo	selected	41	completed	94.2119831279997	
postintro_denovo	selected	42	completed	102.65223138700003	
postintro_denovo	selected	43	completed	103.57169577199966	
postintro_denovo	selected	44	completed	98.64533077899978	
postintro_denovo	selected	45	completed	92.56178259400076	
postintro_denovo	selected	46	completed	100.74332911200054	
postintro_denovo	selected	47	completed	113.76904054900024	
postintro_denovo	selected	48	completed	99.35320254700036	
postintro_denovo	selected	49	completed	96.10850553300043	
postintro_denovo	selected	50	completed	104.52155368799959	
postintro_denovo	selected	51	completed	103.53615736400025	
postintro_denovo	selected	52	completed	99.97212645699983	
postintro_denovo	selected	53	completed	101.18146811499992	
postintro_denovo	selected	54	completed	113.12453241299954	
postintro_denovo	selected	55	completed	104.99254947000009	
postintro_denovo	selected	56	completed	112.1152721389999	
postintro_denovo	selected	57	completed	107.53494913099985	
postintro_denovo	selected	58	completed	97.6536722789997	
postintro_denovo	selected	59	completed	102.11686188099975	
postintro_denovo	selected	60	completed	102.54078388899961	
postintro_denovo	selected	61	completed	95.36746810400018	
postintro_denovo	selected	62	completed	123.73395164400063	
postintro_denovo	selected	63	completed	97.87179397	
postintro_denovo	selected	64	completed	100.14270315900012	
postintro_denovo	selected	65	completed	98.78960372899928	
postintro_denovo	selected	66	completed	104.45519571100067	
postintro_denovo	selected	67	completed	111.01421170999947	
postintro_denovo	selected	68	completed	97.46673255099995	
postintro_denovo	selected	69	completed	97.56425737999962	
postintro_denovo	selected	70	completed	96.74524918299994	
postintro_denovo	selected	71	completed	96.15358061900042	
postintro_denovo	selected	72	completed	95.32036588899973	
postintro_denovo	selected	73	completed	107.60924528000032	
postintro_denovo	selected	74	completed	99.88968396200016	
postintro_denovo	selected	75	completed	101.23423743999956	
postintro_denovo	selected	76	completed	95.34590683199986	
postintro_denovo	selected	77	completed	95.08850422600062	
postintro_denovo	selected	78	completed	96.18155439900056	
postintro_denovo	selected	79	completed	99.25592714399954	
postintro_denovo	selected	80	completed	95.59001175699996	
postintro_denovo	selected	81	completed	96.91610454000056	
postintro_denovo	selected	82	completed	95.72413793100077	
postintro_denovo	selected	83	completed	106.05923042199993	
postintro_denovo	selected	84	completed	102.04973957000038	
postintro_denovo	selected	85	completed	104.2845185189999	
postintro_denovo	selected	86	completed	96.3885286499999	
postintro_denovo	selected	87	completed	102.29493662700042	
postintro_denovo	selected	88	completed	107.35182571699988	
postintro_denovo	selected	89	completed	106.23420427499968	
postintro_denovo	selected	90	completed	100.11059211300017	
postintro_denovo	selected	91	completed	97.23062791199936	
postintro_denovo	selected	92	completed	96.11805150700002	
postintro_denovo	selected	93	completed	95.38656607099983	
postintro_denovo	selected	94	completed	99.14274135699998	
postintro_denovo	selected	95	completed	99.92516332600007	
postintro_denovo	selected	96	completed	97.53105520900044	
postintro_denovo	selected	97	completed	101.96415341800002	
postintro_denovo	selected	98	completed	97.63173127199934	
postintro_denovo	selected	99	completed	120.48564217700005	
introgressed_pulse	selected	0	completed	127.44152579399997	
introgressed_pulse	selected	1	completed	216.92771368099966	
introgressed_pulse	selected	2	completed	259.15942346799966	
introgressed_pulse	selected	3	completed	135.67116768300002	
introgressed_pulse	selected	4	completed	108.2627729400001	
introgressed_pulse	selected	5	completed	113.28787602500051	
introgressed_pulse	selected	6	completed	234.88890737200018	
introgressed_pulse	selected	7	completed	247.8698090329999	
introgressed_pulse	selected	8	completed	134.78839192400028	
introgressed_pulse	selected	9	completed	158.01551872599975	
introgressed_pulse	selected	10	completed	132.09946004599988	
introgressed_pulse	selected	11	completed	311.22891254000024	
introgressed_pulse	selected	12	completed	923.0860410980004	
introgressed_pulse	selected	13	completed	450.0884262720001	
introgressed_pulse	selected	14	completed	736.1068431419999	
introgressed_pulse	selected	15	completed	261.0544869659998	
introgressed_pulse	selected	16	completed	150.52467616600006	
introgressed_pulse	selected	17	completed	108.00228853999943	
introgressed_pulse	selected	18	completed	580.7587689110005	
introgressed_pulse	selected	19	completed	213.37243689600018	
introgressed_pulse	selected	20	completed	223.52918010699977	
introgressed_pulse	selected	21	completed	185.45640938399993	
introgressed_pulse	selected	22	completed	102.81813687999966	
introgressed_pulse	selected	23	completed	92.16977108599986	
introgressed_pulse	selected	24	completed	184.88836662800077	
introgressed_pulse	selected	25	completed	92.6275077979999	
introgressed_pulse	selected	26	completed	403.6172638240005	
introgressed_pulse	selected	27	completed	182.91504242999963	
introgressed_pulse	selected	28	completed	175.30241507999926	
introgressed_pulse	selected	29	completed	87.77918319200035	
introgressed_pulse	selected	30	completed	104.18631820500013	
introgressed_pulse	selected	31	completed	230.98634345200026	
introgressed_pulse	selected	32	completed	245.99323399200057	
introgressed_pulse	selected	33	completed	180.04241254599947	
introgressed_pulse	selected	34	completed	91.2284779090005	
