seed	source_group	source_role	source_record	original_status	prearchive_v2_exclusion_status
119353951	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw003	complete	omitted
133310697	obsolete_selected_rep008	simulation_seed	attempt=63	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
133757421	obsolete_selected_rep008	simulation_seed	attempt=65	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
136529993	obsolete_selected_rep008	simulation_seed	attempt=44	complete;accepted=False;rejection=nan	already_reserved
144005153	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw004	complete	omitted
147483710	obsolete_selected_rep008	simulation_seed	attempt=84	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
153855036	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw015	complete;evaluable=True	already_reserved
157918722	obsolete_selected_rep008	simulation_seed	attempt=21	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
158509049	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw016	complete;evaluable=True	already_reserved
167646950	neutral_smoke_intro	ancestry_seed	attempt=0	accepted=True	already_reserved
184363379	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw002	complete;evaluable=True	omitted
185190042	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw004	complete;evaluable=True	omitted
196664447	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw002	complete	omitted
209746705	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw018	complete;evaluable=True	omitted
209763596	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw002	complete	omitted
220030640	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw006	complete;evaluable=True	already_reserved
225864421	obsolete_selected_rep008	simulation_seed	attempt=61	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
240517568	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw011	complete;evaluable=True	already_reserved
241795973	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw007	complete	omitted
246900555	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw003	complete	omitted
247247552	obsolete_selected_rep008	simulation_seed	attempt=33	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
256170112	obsolete_selected_rep008	simulation_seed	attempt=74	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
263666746	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw001	complete;evaluable=True	already_reserved
269432401	obsolete_selected_rep008	simulation_seed	attempt=40	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
272153301	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw003	complete;evaluable=True	already_reserved
283180569	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw011	complete;evaluable=True	omitted
292794396	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw015	complete;evaluable=True	omitted
306296903	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw003	complete;evaluable=True	already_reserved
307998558	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw005	complete	omitted
314230758	obsolete_selected_rep008	simulation_seed	attempt=11	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
318486299	obsolete_selected_rep008	simulation_seed	attempt=29	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
335614314	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw013	complete;evaluable=True	omitted
344377065	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw004;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw004	complete;complete	omitted
354560414	obsolete_selected_rep008	simulation_seed	attempt=25	complete;accepted=False;rejection=nan	already_reserved
360702290	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw014	complete;evaluable=True	omitted
364576376	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw002	complete	omitted
366268638	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw000;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw000	complete;complete	omitted
374006242	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw014	complete;evaluable=True	already_reserved
378662388	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw001	complete;evaluable=True	already_reserved
384593887	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw002	complete	omitted
395807530	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw017	complete;evaluable=True	already_reserved
398468344	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw005	complete	omitted
401307465	obsolete_selected_rep008	simulation_seed	attempt=47	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
418519180	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw002	complete;evaluable=True	already_reserved
419672794	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw006	complete	omitted
422175455	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw014	complete;evaluable=True	already_reserved
423446635	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw004	complete;evaluable=True	already_reserved
426110316	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw003	complete;evaluable=True	omitted
433241711	obsolete_selected_rep008	simulation_seed	attempt=37	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
433568925	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw009	complete;evaluable=True	already_reserved
440204444	obsolete_selected_rep008	simulation_seed	attempt=4	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
448113967	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw013	complete;evaluable=True	omitted
454530566	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw002	complete;evaluable=True	already_reserved
456148034	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw013	complete;evaluable=True	omitted
467024003	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw015	complete;evaluable=True	omitted
479095946	obsolete_selected_rep008	simulation_seed	attempt=76	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
483433808	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw010	complete;evaluable=True	omitted
486517102	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw006	complete;evaluable=True	omitted
488825376	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw003	complete	omitted
494944149	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw011	complete	omitted
496612853	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw002	complete	omitted
501709075	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw010	submitted_deterministic_label_not_observed_in_partial_log	omitted
506696511	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw014	complete;evaluable=True	omitted
508436891	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw017	complete;evaluable=True	already_reserved
512400444	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw018	complete;evaluable=True	omitted
534071694	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw000	complete	omitted
535594211	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw015	complete;evaluable=True	already_reserved
537661655	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw017	complete;evaluable=True	omitted
539192629	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw007	complete;evaluable=True	omitted
544531009	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw013	complete;evaluable=True	already_reserved
547152339	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw016	complete;evaluable=True	omitted
563555709	obsolete_selected_rep008	simulation_seed	attempt=56	complete;accepted=False;rejection=nan	omitted
566112194	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw008	complete	omitted
568263256	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw001	complete	omitted
572582508	obsolete_selected_rep008	simulation_seed	attempt=85	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
573178640	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw004	complete	omitted
577009357	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw010	complete;evaluable=True	already_reserved
587998146	obsolete_selected_rep008	simulation_seed	attempt=14	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
590468002	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw003	complete;evaluable=True	omitted
600005183	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw005	complete;evaluable=True	omitted
607156648	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw001	complete;evaluable=True	already_reserved
609735131	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw011	complete;evaluable=True	already_reserved
612286413	obsolete_selected_rep008	simulation_seed	attempt=90	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
618918501	obsolete_selected_rep008	panel_seed	accepted sample panel	completion_accepted	omitted
620909924	obsolete_selected_rep008	simulation_seed	attempt=87	complete;accepted=False;rejection=nan	omitted
623335483	neutral_smoke_intro	candidate_seed	attempt=0	accepted=True	omitted
635148220	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw000	complete	omitted
639087074	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw001	complete;evaluable=True	omitted
652080258	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw014	complete;evaluable=True	omitted
653250031	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw003	complete	omitted
656720887	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw002	complete;evaluable=True	already_reserved
664076728	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw004	complete	omitted
664341009	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw005	complete;evaluable=True	omitted
668807470	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw012	complete;evaluable=True	already_reserved
671984880	obsolete_selected_rep008	simulation_seed	attempt=82	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
675646263	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw009	complete;evaluable=True	omitted
690088976	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw006	complete;evaluable=True	already_reserved
696570478	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw008	complete;evaluable=True	already_reserved
710445518	obsolete_selected_rep008	simulation_seed	attempt=70	complete;accepted=False;rejection=nan	omitted
715307775	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw007	complete	omitted
722421402	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw018	complete;evaluable=True	omitted
732044198	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw007	complete;evaluable=True	already_reserved
733648465	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw006	complete;evaluable=True	omitted
738670674	obsolete_selected_rep008	simulation_seed	attempt=10	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
743795797	obsolete_selected_rep008	simulation_seed	attempt=48	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
753068476	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw002	complete	omitted
755839493	obsolete_selected_rep008	simulation_seed	attempt=3	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
760589523	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw003	complete	omitted
761074806	obsolete_selected_rep008	simulation_seed	attempt=26	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
768115774	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw006	complete;evaluable=True	omitted
783889463	obsolete_selected_rep008	simulation_seed	attempt=53	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
784396191	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw000	complete;evaluable=True	already_reserved
790075517	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw004	complete;evaluable=True	already_reserved
790393453	obsolete_selected_rep008	simulation_seed	attempt=27	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
790683827	obsolete_selected_rep008	simulation_seed	attempt=64	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
791334305	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw012	complete;evaluable=True	already_reserved
796972379	obsolete_selected_rep008	simulation_seed	attempt=30	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
801954210	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw005	complete;evaluable=True	omitted
816106596	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw000	complete;evaluable=True	already_reserved
816143591	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw019	complete;evaluable=True	already_reserved
818881750	obsolete_selected_rep008	simulation_seed	attempt=81	complete;accepted=False;rejection=nan	omitted
827752451	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw015	complete;evaluable=True	already_reserved
834506912	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw004	complete	omitted
839039124	obsolete_selected_rep008	simulation_seed	attempt=80	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
841779380	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw001	complete	omitted
850559079	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw013	complete;evaluable=True	omitted
857555658	obsolete_selected_rep008	simulation_seed	attempt=23	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
865131098	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw016	complete;evaluable=True	omitted
867318892	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw011	complete;evaluable=True	already_reserved
871582226	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw008	complete;evaluable=True	omitted
883928426	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw008	complete	omitted
889440969	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw003	complete	omitted
889745717	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw007	complete;evaluable=True	already_reserved
901846917	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw019	complete;evaluable=True	already_reserved
907798606	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw005	complete	omitted
908909137	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw019	complete;evaluable=True	omitted
914250865	obsolete_selected_rep008	simulation_seed	attempt=12	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
926832340	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw007;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw007	complete;complete	omitted
927733023	obsolete_selected_rep008	simulation_seed	attempt=36	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
931489519	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw005	complete;evaluable=True	already_reserved
939352565	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw012	complete;evaluable=True	omitted
962666707	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw002	complete;evaluable=True	omitted
963259389	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw002;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw002	complete;complete	omitted
996614046	obsolete_selected_rep008	simulation_seed	attempt=22	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1009686595	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw000	complete	omitted
1011827163	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw005	complete	omitted
1018420424	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw009	complete	omitted
1018895022	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw006	complete	omitted
1032916709	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw015	complete;evaluable=True	omitted
1044170312	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw007	complete;evaluable=True	omitted
1044642218	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw003	complete	omitted
1054088420	obsolete_selected_rep008	simulation_seed	attempt=6	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1064574840	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw009	complete;evaluable=True	already_reserved
1064893320	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw000	complete	omitted
1067634857	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw006	complete;evaluable=True	already_reserved
1068084475	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw007	complete	omitted
1070978359	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw001	complete	omitted
1071114737	obsolete_selected_rep008	simulation_seed	attempt=57	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1077912799	obsolete_selected_rep008	simulation_seed	attempt=78	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1080711437	obsolete_selected_rep008	simulation_seed	attempt=41	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1081602137	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw000	complete;evaluable=True	omitted
1096564453	obsolete_selected_rep008	simulation_seed	attempt=0	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1109616749	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw012	complete;evaluable=True	already_reserved
1118699695	obsolete_selected_rep008	simulation_seed	attempt=35	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1128185344	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw006	complete	omitted
1134206790	obsolete_selected_rep008	simulation_seed	attempt=59	complete;accepted=False;rejection=nan	omitted
1150496236	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw019	complete;evaluable=True	omitted
1156692897	obsolete_selected_rep008	simulation_seed	attempt=49	complete;accepted=False;rejection=nan	already_reserved
1158476892	obsolete_selected_rep008	simulation_seed	attempt=24	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1158932909	obsolete_selected_rep008	simulation_seed	attempt=60	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1165937686	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw003	complete;evaluable=True	already_reserved
1166280754	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw007	complete	omitted
1170413283	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw002	complete	omitted
1171267411	obsolete_selected_rep008	simulation_seed	attempt=79	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1175777353	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw001	complete;evaluable=True	already_reserved
1177751114	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw003	complete;evaluable=True	already_reserved
1178092601	obsolete_selected_rep008	simulation_seed	attempt=8	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1185038060	obsolete_selected_rep008	simulation_seed	attempt=45	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1206030675	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw016	complete;evaluable=True	omitted
1214230363	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw007	complete	omitted
1218502182	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw004	complete;evaluable=True	omitted
1242986617	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw000	complete;evaluable=True	omitted
1247295209	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw003	complete;evaluable=True	omitted
1262731428	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw012	complete;evaluable=True	omitted
1262809703	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw003;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw003	complete;complete	omitted
1266213069	obsolete_selected_rep008	simulation_seed	attempt=91	complete;accepted=True;rejection=nan	omitted
1266479805	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw019	complete;evaluable=True	omitted
1266649290	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw013	complete;evaluable=True	already_reserved
1279545416	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw005	complete	omitted
1285459350	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw011	complete;evaluable=True	already_reserved
1288630642	obsolete_selected_rep008	simulation_seed	attempt=13	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1296013496	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw005	complete	omitted
1298170138	obsolete_selected_rep008	simulation_seed	attempt=20	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1301145723	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw003	complete;evaluable=True	omitted
1301604836	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw005	complete;evaluable=True	already_reserved
1310372345	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw018	complete;evaluable=True	already_reserved
1311679641	obsolete_selected_rep008	simulation_seed	attempt=88	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
