position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations
1200000.0	0	hom_ref	743	22062.89790775211	953.5566287078443	20268.125641391056	24016.59989189232
1200000.0	2	hom_alt	274	21278.36193751031	1535.2289506260076	18460.808665229208	24525.940057895405
1250000.0	0	hom_ref	743	11873.826432343883	355.7872780496402	11195.503385775572	12593.248314726077
1250000.0	2	hom_alt	274	12134.516073964114	522.8998348973803	11147.54416389474	13208.871674732021
1300000.0	0	hom_ref	743	20346.890626486143	379.5205182783489	19615.305089093636	21105.761867368397
1300000.0	2	hom_alt	274	19272.106423990797	647.7630568678443	18038.13714532982	20590.490194481565
1350000.0	0	hom_ref	743	29755.993848602884	755.3263005512392	28309.5035702035	31276.393375192205
1350000.0	2	hom_alt	274	28659.597916183742	1187.360407972545	26414.8396875192	31095.117836562727
1400000.0	0	hom_ref	743	22018.61179684105	491.73567321264113	21074.109058368915	23005.445407783787
1400000.0	2	hom_alt	274	21447.71639690306	816.365150038576	19899.285025833055	23116.636504518177
1450000.0	0	hom_ref	743	15240.641589262827	325.27500546655	14615.265505767666	15892.777039233635
1450000.0	2	hom_alt	274	14113.197009387197	531.8460187819937	13104.052618645364	15200.05570966383
1500000.0	0	hom_ref	743	17790.797539840576	579.8177525857704	16688.168834207278	18966.27965884505
1500000.0	2	hom_alt	274	18251.750807131044	977.0264665883232	16426.170785055398	20280.223058966887
1550000.0	0	hom_ref	743	11460.486094311707	193.5603409897725	11086.725527668152	11846.84704154817
1550000.0	2	hom_alt	274	11060.746647616133	306.87738981386923	10472.802852246361	11681.69764376976
1600000.0	0	hom_ref	743	24487.613383798427	701.2429891687981	23148.93851030734	25903.70219210637
1600000.0	2	hom_alt	274	24301.370171415	1160.556979491588	22120.708739046255	26697.00140148407
1650000.0	0	hom_ref	743	24855.578962385098	590.975343915791	23722.05659881469	26043.264966589362
1650000.0	2	hom_alt	274	24475.2219456435	994.4034394555666	22593.795048520893	26513.31872321845
1700000.0	0	hom_ref	743	14945.49622020612	365.28772365165815	14245.308363533799	15680.099831323347
1700000.0	2	hom_alt	274	14384.95235609416	604.0231498575272	13243.640310329809	15624.62053018003
1750000.0	0	hom_ref	743	18603.78620693304	412.34879813500504	17811.63641191398	19431.165853002116
1750000.0	2	hom_alt	274	18772.496890447903	721.5878440881936	17404.332793267655	20248.21311381693
1800000.0	0	hom_ref	743	31394.453988496945	722.825277735395	30007.01994610375	32846.03879379326
1800000.0	2	hom_alt	274	32466.2867088527	1155.1103642905616	30270.04481893028	34821.876841167985
1850000.0	0	hom_ref	743	26034.905502703077	720.6597596482806	24657.884110893916	27488.826757654282
1850000.0	2	hom_alt	274	24217.54460198365	1176.933338450244	22007.914495694862	26649.02513428954
1900000.0	0	hom_ref	743	21673.576809760187	909.7250217697524	19959.237587644155	23535.164089602873
1900000.0	2	hom_alt	274	23439.89663149496	1528.3526986409126	20616.152307369764	26650.402359452968
1950000.0	0	hom_ref	743	15211.054468914957	414.8553210042955	14418.043627309711	16047.681921147756
1950000.0	2	hom_alt	274	14361.427029379749	654.16582220827	13129.631783248544	15708.786790452441
2000000.0	0	hom_ref	743	23012.61100507024	560.676412562141	21937.818731693707	24140.060219642164
2000000.0	2	hom_alt	274	22172.649432146787	937.2550272523595	20402.172811243676	24096.765937103668
2050000.0	0	hom_ref	743	14862.796212748486	333.54147107883114	14222.21326660574	15532.231666106296
2050000.0	2	hom_alt	274	14369.565566578794	549.2787161827108	13327.891525772264	15492.654196121433
2100000.0	0	hom_ref	743	12372.259798862546	188.0698178633512	12008.502093851272	12747.036335941379
2100000.0	2	hom_alt	274	12956.621003909006	292.49048749107544	12393.405461577297	13545.431750731315
2150000.0	0	hom_ref	743	8001.141685487339	305.8653356830757	7422.655589410812	8624.71220712057
2150000.0	2	hom_alt	274	7453.746531684103	427.0818310605676	6658.6414657570485	8343.794698109057
2200000.0	0	hom_ref	743	17577.591458251525	417.74112413032134	16776.33316619494	18417.118831175147
2200000.0	2	hom_alt	274	19378.040529538972	682.3874321625885	18080.13932500489	20769.11289312498
2250000.0	0	hom_ref	743	21794.383655802838	719.2627717428385	20427.121154516644	23253.162075229557
2250000.0	2	hom_alt	274	22053.506914072022	1186.3010132749478	19837.45630523115	24517.11347088234
