source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,20000,0,10,neutral,all,1000,0.0,0.007,1.0,0.0,0.007,0.007,0.001,0,7,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.007
decoded,5000,0.001,20000,0,10,selected,all,100,0.0,0.02,1.0,0.0,0.02,0.02,0.01,0,2,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
decoded,5000,0.001,20000,0,10,selected,nonfixed,99,0.0,0.020202020202020204,1.0,0.0,0.020202020202020204,0.020202020202020204,0.010101010101010102,0,2,0.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102
decoded,5000,0.001,20000,0,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,0,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,0,20,selected,nonfixed,99,0.0,0.0,,0.0,0.0,0.0,0.010101010101010102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,1,neutral,all,1000,0.0,0.1,1.0,0.0,0.123,0.1,0.001,0,123,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1
decoded,5000,0.001,20000,1,1,selected,all,100,0.0,0.12,1.0,0.0,0.21,0.12,0.01,0,21,0.0,0.02,0.10666666666666666,0.0,0.02,0.10666666666666666,0.03,0.04,0.08666666666666666,0.04,0.04,0.08666666666666666
decoded,5000,0.001,20000,1,1,selected,nonfixed,99,0.0,0.12121212121212122,1.0,0.0,0.21212121212121213,0.12121212121212122,0.010101010101010102,0,21,0.0,0.020202020202020204,0.10774410774410774,0.0,0.020202020202020204,0.10774410774410774,0.030303030303030304,0.04040404040404041,0.08754208754208753,0.04040404040404041,0.04040404040404041,0.08754208754208753
decoded,5000,0.001,20000,1,3,neutral,all,1000,0.0,0.065,1.0,0.0,0.07,0.065,0.001,0,70,0.0,0.0,0.065,0.0,0.0,0.065,0.0,0.0,0.065,0.0,0.0,0.065
decoded,5000,0.001,20000,1,3,selected,all,100,0.0,0.09,1.0,0.0,0.12,0.09,0.01,0,12,0.0,0.02,0.075,0.0,0.02,0.075,0.02,0.03,0.065,0.03,0.03,0.065
decoded,5000,0.001,20000,1,3,selected,nonfixed,99,0.0,0.09090909090909091,1.0,0.0,0.12121212121212122,0.09090909090909091,0.010101010101010102,0,12,0.0,0.020202020202020204,0.07575757575757576,0.0,0.020202020202020204,0.07575757575757576,0.020202020202020204,0.030303030303030304,0.06565656565656566,0.030303030303030304,0.030303030303030304,0.06565656565656566
decoded,5000,0.001,20000,1,5,neutral,all,1000,0.0,0.038,1.0,0.0,0.04,0.038,0.001,0,40,0.0,0.0,0.038,0.0,0.0,0.038,0.0,0.0,0.038,0.0,0.0,0.038
decoded,5000,0.001,20000,1,5,selected,all,100,0.0,0.08,1.0,0.0,0.08,0.08,0.01,0,8,0.0,0.02,0.06,0.0,0.02,0.06,0.02,0.03,0.05,0.03,0.03,0.05
decoded,5000,0.001,20000,1,5,selected,nonfixed,99,0.0,0.08080808080808081,1.0,0.0,0.08080808080808081,0.08080808080808081,0.010101010101010102,0,8,0.0,0.020202020202020204,0.06060606060606061,0.0,0.020202020202020204,0.06060606060606061,0.020202020202020204,0.030303030303030304,0.050505050505050504,0.030303030303030304,0.030303030303030304,0.050505050505050504
decoded,5000,0.001,20000,1,10,neutral,all,1000,0.0,0.009,1.0,0.0,0.009,0.009,0.001,0,9,0.0,0.0,0.009,0.0,0.0,0.009,0.0,0.0,0.009,0.0,0.0,0.009
decoded,5000,0.001,20000,1,10,selected,all,100,0.0,0.02,1.0,0.0,0.02,0.02,0.01,0,2,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
decoded,5000,0.001,20000,1,10,selected,nonfixed,99,0.0,0.020202020202020204,1.0,0.0,0.020202020202020204,0.020202020202020204,0.010101010101010102,0,2,0.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102
decoded,5000,0.001,20000,1,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,20,selected,nonfixed,99,0.0,0.0,,0.0,0.0,0.0,0.010101010101010102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,1,neutral,all,1000,0.0,0.084,1.0,0.0,0.096,0.084,0.001,0,96,0.0,0.0,0.084,0.0,0.0,0.084,0.0,0.0,0.084,0.0,0.0,0.084
decoded,5000,0.001,50000,0,1,selected,all,100,0.0,0.12,1.0,0.0,0.17,0.12,0.01,0,17,0.0,0.02,0.10666666666666666,0.0,0.02,0.10666666666666666,0.03,0.04,0.08666666666666666,0.04,0.04,0.08666666666666666
decoded,5000,0.001,50000,0,1,selected,nonfixed,99,0.0,0.12121212121212122,1.0,0.0,0.1717171717171717,0.12121212121212122,0.010101010101010102,0,17,0.0,0.020202020202020204,0.10774410774410774,0.0,0.020202020202020204,0.10774410774410774,0.030303030303030304,0.04040404040404041,0.08754208754208753,0.04040404040404041,0.04040404040404041,0.08754208754208753
decoded,5000,0.001,50000,0,3,neutral,all,1000,0.0,0.024,1.0,0.0,0.024,0.024,0.001,0,24,0.0,0.0,0.024,0.0,0.0,0.024,0.0,0.0,0.024,0.0,0.0,0.024
decoded,5000,0.001,50000,0,3,selected,all,100,0.0,0.06,1.0,0.0,0.06,0.06,0.01,0,6,0.0,0.02,0.04,0.0,0.02,0.04,0.02,0.03,0.03,0.03,0.03,0.03
decoded,5000,0.001,50000,0,3,selected,nonfixed,99,0.0,0.06060606060606061,1.0,0.0,0.06060606060606061,0.06060606060606061,0.010101010101010102,0,6,0.0,0.020202020202020204,0.04040404040404041,0.0,0.020202020202020204,0.04040404040404041,0.020202020202020204,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304
decoded,5000,0.001,50000,0,5,neutral,all,1000,0.0,0.007,1.0,0.0,0.007,0.007,0.001,0,7,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.007
decoded,5000,0.001,50000,0,5,selected,all,100,0.0,0.01,1.0,0.0,0.01,0.01,0.01,0,1,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,50000,0,5,selected,nonfixed,99,0.0,0.010101010101010102,1.0,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0,1,0.0,0.010101010101010102,0.0,0.0,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.0
decoded,5000,0.001,50000,0,10,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,10,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,10,selected,nonfixed,99,0.0,0.0,,0.0,0.0,0.0,0.010101010101010102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,20,selected,nonfixed,99,0.0,0.0,,0.0,0.0,0.0,0.010101010101010102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,1,neutral,all,1000,0.0,0.084,1.0,0.0,0.092,0.084,0.001,0,92,0.0,0.0,0.084,0.0,0.0,0.084,0.0,0.0,0.084,0.0,0.0,0.084
decoded,5000,0.001,50000,1,1,selected,all,100,0.0,0.12,1.0,0.0,0.13,0.12,0.01,0,13,0.0,0.02,0.1,0.0,0.02,0.1,0.03,0.04,0.08,0.04,0.04,0.08
decoded,5000,0.001,50000,1,1,selected,nonfixed,99,0.0,0.12121212121212122,1.0,0.0,0.13131313131313133,0.12121212121212122,0.010101010101010102,0,13,0.0,0.020202020202020204,0.10101010101010101,0.0,0.020202020202020204,0.10101010101010101,0.030303030303030304,0.04040404040404041,0.08080808080808081,0.04040404040404041,0.04040404040404041,0.08080808080808081
decoded,5000,0.001,50000,1,3,neutral,all,1000,0.0,0.025,1.0,0.0,0.025,0.025,0.001,0,25,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.0,0.025
decoded,5000,0.001,50000,1,3,selected,all,100,0.0,0.06,1.0,0.0,0.06,0.06,0.01,0,6,0.0,0.02,0.04,0.0,0.02,0.04,0.02,0.03,0.03,0.03,0.03,0.03
decoded,5000,0.001,50000,1,3,selected,nonfixed,99,0.0,0.06060606060606061,1.0,0.0,0.06060606060606061,0.06060606060606061,0.010101010101010102,0,6,0.0,0.020202020202020204,0.04040404040404041,0.0,0.020202020202020204,0.04040404040404041,0.020202020202020204,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304
decoded,5000,0.001,50000,1,5,neutral,all,1000,0.0,0.008,1.0,0.0,0.008,0.008,0.001,0,8,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.008
decoded,5000,0.001,50000,1,5,selected,all,100,0.0,0.02,1.0,0.0,0.02,0.02,0.01,0,2,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
decoded,5000,0.001,50000,1,5,selected,nonfixed,99,0.0,0.020202020202020204,1.0,0.0,0.020202020202020204,0.020202020202020204,0.010101010101010102,0,2,0.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102
decoded,5000,0.001,50000,1,10,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,10,selected,all,100,0.0,0.01,1.0,0.0,0.01,0.01,0.01,0,1,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,50000,1,10,selected,nonfixed,99,0.0,0.010101010101010102,1.0,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0,1,0.0,0.010101010101010102,0.0,0.0,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.0
decoded,5000,0.001,50000,1,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,selected,nonfixed,99,0.0,0.0,,0.0,0.0,0.0,0.010101010101010102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,10000,0,1,neutral,all,1000,0.0,0.552,1.0,0.0,1.496,0.552,0.01,0,1496,0.0,0.0,0.552,0.0,0.0,0.552,0.0,0.0,0.552,0.0,0.0,0.552
