source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
decoded,5000,0.01,10000,1,10,selected,0.0,0.0,0.12,0.04,0.04,0.03,0.27
decoded,5000,0.01,10000,1,20,neutral,0.0,0.002,0.005,0.006,0.016,0.028,0.074
decoded,5000,0.01,10000,1,20,selected,0.0,0.0,0.06,0.01,0.01,0.01,0.11
decoded,5000,0.01,20000,0,1,neutral,0.006,0.01,0.038,0.055,0.1,0.214,0.688
decoded,5000,0.01,20000,0,1,selected,0.06,0.05,0.19,0.13,0.13,0.16,0.8
decoded,5000,0.01,20000,0,3,neutral,0.002,0.006,0.018,0.017,0.053,0.112,0.365
decoded,5000,0.01,20000,0,3,selected,0.01,0.03,0.14,0.07,0.05,0.07,0.4
decoded,5000,0.01,20000,0,5,neutral,0.001,0.005,0.014,0.014,0.038,0.078,0.213
decoded,5000,0.01,20000,0,5,selected,0.0,0.02,0.12,0.05,0.04,0.04,0.26
decoded,5000,0.01,20000,0,10,neutral,0.0,0.002,0.006,0.006,0.016,0.031,0.076
decoded,5000,0.01,20000,0,10,selected,0.0,0.0,0.06,0.01,0.01,0.01,0.13
decoded,5000,0.01,20000,0,20,neutral,0.0,0.0,0.0,0.0,0.001,0.0,0.003
decoded,5000,0.01,20000,0,20,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.01,20000,1,1,neutral,0.006,0.009,0.032,0.043,0.094,0.187,0.599
decoded,5000,0.01,20000,1,1,selected,0.02,0.04,0.18,0.11,0.11,0.15,0.72
decoded,5000,0.01,20000,1,3,neutral,0.002,0.006,0.019,0.018,0.054,0.109,0.361
decoded,5000,0.01,20000,1,3,selected,0.01,0.03,0.13,0.07,0.06,0.08,0.38
decoded,5000,0.01,20000,1,5,neutral,0.001,0.005,0.017,0.014,0.038,0.08,0.226
decoded,5000,0.01,20000,1,5,selected,0.0,0.02,0.11,0.05,0.04,0.04,0.28
decoded,5000,0.01,20000,1,10,neutral,0.0,0.002,0.006,0.007,0.017,0.035,0.082
decoded,5000,0.01,20000,1,10,selected,0.0,0.0,0.07,0.01,0.01,0.01,0.14
decoded,5000,0.01,20000,1,20,neutral,0.0,0.0,0.0,0.0,0.001,0.0,0.004
decoded,5000,0.01,20000,1,20,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.01,50000,0,1,neutral,0.002,0.006,0.027,0.033,0.075,0.152,0.497
decoded,5000,0.01,50000,0,1,selected,0.02,0.03,0.14,0.12,0.09,0.11,0.55
decoded,5000,0.01,50000,0,3,neutral,0.0,0.003,0.011,0.015,0.027,0.061,0.166
decoded,5000,0.01,50000,0,3,selected,0.0,0.01,0.09,0.03,0.03,0.03,0.19
decoded,5000,0.01,50000,0,5,neutral,0.0,0.001,0.004,0.008,0.011,0.019,0.056
decoded,5000,0.01,50000,0,5,selected,0.0,0.0,0.07,0.01,0.01,0.0,0.1
decoded,5000,0.01,50000,0,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,50000,0,10,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.01,50000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,50000,0,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,50000,1,1,neutral,0.002,0.006,0.023,0.029,0.067,0.143,0.452
decoded,5000,0.01,50000,1,1,selected,0.02,0.03,0.13,0.12,0.09,0.11,0.5
decoded,5000,0.01,50000,1,3,neutral,0.0,0.003,0.015,0.014,0.028,0.063,0.18
decoded,5000,0.01,50000,1,3,selected,0.0,0.01,0.09,0.03,0.03,0.03,0.22
decoded,5000,0.01,50000,1,5,neutral,0.0,0.001,0.005,0.008,0.012,0.022,0.059
decoded,5000,0.01,50000,1,5,selected,0.0,0.0,0.07,0.01,0.01,0.0,0.11
decoded,5000,0.01,50000,1,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.001
decoded,5000,0.01,50000,1,10,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.01,50000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,50000,1,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.05,10000,0,1,neutral,0.05,0.07,0.178,0.311,0.605,1.214,3.705
decoded,5000,0.05,10000,0,1,selected,0.18,0.2,0.4,0.45,0.59,1.25,4.43
decoded,5000,0.05,10000,0,3,neutral,0.027,0.039,0.109,0.186,0.334,0.702,2.105
decoded,5000,0.05,10000,0,3,selected,0.13,0.14,0.28,0.24,0.32,0.72,2.44
decoded,5000,0.05,10000,0,5,neutral,0.022,0.03,0.084,0.141,0.264,0.528,1.566
decoded,5000,0.05,10000,0,5,selected,0.09,0.12,0.26,0.18,0.23,0.47,1.8
decoded,5000,0.05,10000,0,10,neutral,0.012,0.013,0.057,0.08,0.15,0.327,1.004
decoded,5000,0.05,10000,0,10,selected,0.04,0.08,0.21,0.11,0.15,0.27,1.1
decoded,5000,0.05,10000,0,20,neutral,0.006,0.006,0.025,0.033,0.074,0.138,0.455
decoded,5000,0.05,10000,0,20,selected,0.0,0.03,0.14,0.05,0.08,0.07,0.46
decoded,5000,0.05,10000,1,1,neutral,0.039,0.056,0.143,0.262,0.498,0.992,3.048
decoded,5000,0.05,10000,1,1,selected,0.13,0.14,0.31,0.35,0.47,1.08,3.56
decoded,5000,0.05,10000,1,3,neutral,0.024,0.034,0.099,0.181,0.316,0.66,2.016
decoded,5000,0.05,10000,1,3,selected,0.12,0.1,0.24,0.25,0.31,0.72,2.27
decoded,5000,0.05,10000,1,5,neutral,0.022,0.028,0.078,0.144,0.258,0.51,1.579
decoded,5000,0.05,10000,1,5,selected,0.09,0.1,0.24,0.18,0.24,0.48,1.77
decoded,5000,0.05,10000,1,10,neutral,0.013,0.017,0.058,0.084,0.156,0.336,1.042
decoded,5000,0.05,10000,1,10,selected,0.05,0.08,0.19,0.12,0.15,0.28,1.13
decoded,5000,0.05,10000,1,20,neutral,0.008,0.007,0.027,0.034,0.078,0.155,0.49
decoded,5000,0.05,10000,1,20,selected,0.0,0.03,0.12,0.06,0.08,0.09,0.51
decoded,5000,0.05,20000,0,1,neutral,0.038,0.05,0.142,0.233,0.463,0.929,2.865
decoded,5000,0.05,20000,0,1,selected,0.15,0.13,0.3,0.33,0.44,1.01,3.38
decoded,5000,0.05,20000,0,3,neutral,0.024,0.022,0.082,0.131,0.255,0.489,1.506
decoded,5000,0.05,20000,0,3,selected,0.08,0.1,0.23,0.18,0.23,0.45,1.77
decoded,5000,0.05,20000,0,5,neutral,0.015,0.016,0.064,0.084,0.16,0.354,1.052
decoded,5000,0.05,20000,0,5,selected,0.04,0.08,0.19,0.14,0.16,0.26,1.19
decoded,5000,0.05,20000,0,10,neutral,0.006,0.008,0.026,0.036,0.081,0.161,0.488
decoded,5000,0.05,20000,0,10,selected,0.0,0.03,0.12,0.08,0.08,0.08,0.49
decoded,5000,0.05,20000,0,20,neutral,0.001,0.002,0.005,0.007,0.011,0.025,0.054
decoded,5000,0.05,20000,0,20,selected,0.0,0.0,0.05,0.0,0.01,0.01,0.09
decoded,5000,0.05,20000,1,1,neutral,0.03,0.042,0.116,0.193,0.391,0.773,2.46
decoded,5000,0.05,20000,1,1,selected,0.12,0.1,0.26,0.28,0.39,0.85,2.79
decoded,5000,0.05,20000,1,3,neutral,0.022,0.02,0.076,0.122,0.247,0.476,1.489
decoded,5000,0.05,20000,1,3,selected,0.07,0.1,0.22,0.19,0.21,0.47,1.74
decoded,5000,0.05,20000,1,5,neutral,0.015,0.017,0.062,0.093,0.169,0.364,1.093
decoded,5000,0.05,20000,1,5,selected,0.05,0.08,0.18,0.13,0.16,0.3,1.22
decoded,5000,0.05,20000,1,10,neutral,0.008,0.01,0.028,0.04,0.086,0.177,0.52
decoded,5000,0.05,20000,1,10,selected,0.01,0.03,0.11,0.07,0.09,0.1,0.55
