source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,480000.0,neutral,20000,1000,0.07622791999999999,0.0006054383202550309
decoded,480000.0,neutral,30000,1000,0.13080545999999998,0.0010911855171423517
decoded,480000.0,neutral,40000,1000,0.17731565999999999,0.0014987180686218517
decoded,480000.0,neutral,50000,1000,0.21592933,0.0018058486189838244
decoded,480000.0,selected,5000,99,0.004878080808080809,7.729991451160791e-05
decoded,480000.0,selected,10000,99,0.022123030303030304,0.0005603441063425136
decoded,480000.0,selected,20000,99,0.0768110101010101,0.0019527768287010685
decoded,480000.0,selected,30000,99,0.12747989898989898,0.0030516690942618604
decoded,480000.0,selected,40000,99,0.1701509090909091,0.003973248467264571
decoded,480000.0,selected,50000,99,0.20512252525252522,0.0047031812642288895
decoded,530000.0,neutral,5000,1000,0.00475033,2.507341355234997e-05
decoded,530000.0,neutral,10000,1000,0.021376329999999995,0.00013340835063488013
decoded,530000.0,neutral,20000,1000,0.076803,0.0006037746885009959
decoded,530000.0,neutral,30000,1000,0.13153056999999999,0.0010646147687219452
decoded,530000.0,neutral,40000,1000,0.17757334,0.0014350388965735665
decoded,530000.0,neutral,50000,1000,0.21568677,0.001727578207992863
decoded,530000.0,selected,5000,99,0.004802828282828283,7.688885021674381e-05
decoded,530000.0,selected,10000,99,0.021547575757575755,0.0004303227586129671
decoded,530000.0,selected,20000,99,0.07552616161616162,0.001672889093802171
decoded,530000.0,selected,30000,99,0.12883525252525252,0.0028957668880261033
decoded,530000.0,selected,40000,99,0.17450939393939396,0.004048617836581629
decoded,530000.0,selected,50000,99,0.21278151515151517,0.005083648469734607
decoded,580000.0,neutral,5000,1000,0.004759800000000001,2.53177714175152e-05
decoded,580000.0,neutral,10000,1000,0.0213671,0.00013327511112449033
decoded,580000.0,neutral,20000,1000,0.07624964,0.0005702033232981901
decoded,580000.0,neutral,30000,1000,0.13087002,0.001022389520060887
decoded,580000.0,neutral,40000,1000,0.17671451999999999,0.0013939026722943856
decoded,580000.0,neutral,50000,1000,0.21469513,0.0016897949437535416
decoded,580000.0,selected,5000,99,0.004776969696969696,7.210565876891185e-05
decoded,580000.0,selected,10000,99,0.02114929292929293,0.0003636717303399722
