attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
38	910621	False	lost	0.0	4.870002157986164e-05	0.542351600015536	True
39	910631	False	lost	0.0	5.600001895800233e-05	0.808897299983073	True
40	910641	False	lost	0.0	5.5500015150755644e-05	0.5408007000223733	True
41	910651	False	lost	0.0	0.00043020001612603664	0.8397066000034101	True
42	910661	False	lost	0.0	5.0099974032491446e-05	0.5491484000231139	True
43	910671	False	lost	0.0	5.3499999921768904e-05	0.552047599980142	True
44	910681	False	lost	0.0	4.5300053898245096e-05	0.5493757000076585	True
45	910691	False	segregating	0.2032	4.819995956495404e-05	2.5081812999560498	True
46	910701	False	lost	0.0	5.089998012408614e-05	0.5939370999694802	True
47	910711	False	lost	0.0	4.449998959898949e-05	0.562951100000646	True
48	910721	False	lost	0.0	0.00021119997836649418	0.6052841999917291	True
49	910731	False	lost	0.0	3.42000275850296e-05	0.5968042999738827	True
50	910741	False	lost	0.0	4.4599990360438824e-05	0.6059568999917246	True
51	910751	False	lost	0.0	3.759999526664615e-05	0.7507239999831654	True
52	910761	False	lost	0.0	3.670004662126303e-05	0.6734871999942698	True
53	910771	False	lost	0.0	3.8700003642588854e-05	0.5096779000014067	True
54	910781	False	lost	0.0	3.3400021493434906e-05	0.5154416000004858	True
55	910791	False	lost	0.0	5.0399976316839457e-05	0.5537828000378795	True
56	910801	False	lost	0.0	3.619998460635543e-05	0.5374948999960907	True
57	910811	False	lost	0.0	0.0002229000092484057	0.5315269000129774	True
58	910821	False	lost	0.0	3.300001844763756e-05	0.4745934000238776	True
59	910831	False	lost	0.0	4.6600005589425564e-05	0.5847692000097595	True
60	910841	False	lost	0.0	4.109996370971203e-05	0.5625816999818198	True
61	910851	False	segregating	0.008825	4.499999340623617e-05	2.792392400035169	True
62	910861	False	lost	0.0	4.5199994929134846e-05	0.5268620999995619	True
63	910871	False	lost	0.0	5.329999839887023e-05	0.5551360999816097	True
64	910881	False	lost	0.0	5.4500007536262274e-05	0.5774579999851994	True
65	910891	False	lost	0.0	4.1300023440271616e-05	0.5734132000361569	True
66	910901	False	lost	0.0	3.539997851476073e-05	0.5171260999632068	True
67	910911	False	lost	0.0	7.890001870691776e-05	0.5295787999639288	True
68	910921	False	lost	0.0	6.290001329034567e-05	0.5287384000257589	True
69	910931	False	lost	0.0	4.800001624971628e-05	0.5154149999725632	True
70	910941	False	lost	0.0	4.5300053898245096e-05	0.5205762999830768	True
71	910951	False	lost	0.0	4.529999569058418e-05	0.7773644999833778	True
72	910961	False	segregating	0.134275	4.569999873638153e-05	2.718204000033438	True
73	910971	False	lost	0.0	4.050001734867692e-05	0.5339697999879718	True
74	910981	False	lost	0.0	4.229997284710407e-05	0.4822639999911189	True
75	910991	False	lost	0.0	6.240000948309898e-05	0.5039629000239074	True
76	911001	False	segregating	0.026725	5.530001362785697e-05	2.745405599998776	True
77	911011	False	lost	0.0	4.060001811012626e-05	0.42239699995843694	True
78	911021	False	lost	0.0	4.0199956856667995e-05	0.5357170999632217	True
79	911031	False	lost	0.0	4.510005237534642e-05	0.497882199997548	True
80	911041	False	lost	0.0	5.64999645575881e-05	0.5476268999627791	True
81	911051	False	lost	0.0	5.889998283237219e-05	0.5583266000030562	True
82	911061	False	lost	0.0	4.309997893869877e-05	0.5549534999881871	True
83	911071	False	lost	0.0	3.6699988413602114e-05	0.5377520000329241	True
84	911081	False	lost	0.0	4.6600005589425564e-05	0.816595199983567	True
85	911091	False	lost	0.0	3.950000973418355e-05	0.6188615999999456	True
86	911101	False	lost	0.0	3.519997699186206e-05	0.5838979000109248	True
87	911111	False	segregating	0.040575	4.079996142536402e-05	2.8040758999995887	True
88	911121	False	lost	0.0	5.2099989261478186e-05	0.603597900015302	True
89	911131	False	lost	0.0	4.040001658722758e-05	0.5628718999796547	True
90	911141	False	segregating	0.086625	3.9199949242174625e-05	2.842942400020547	True
91	911151	False	lost	0.0	6.280001252889633e-05	0.7837059000157751	True
92	911161	False	lost	0.0	4.96999709866941e-05	0.5407334000337869	True
93	911171	False	lost	0.0	4.2199972085654736e-05	0.5309732999885455	True
94	911181	False	lost	0.0	4.1899969801306725e-05	0.5786078000091948	True
95	911191	False	segregating	0.03265	5.740002961829305e-05	2.908021599985659	True
96	911201	False	lost	0.0	2.859998494386673e-05	0.5257898999843746	True
97	911211	False	lost	0.0	3.600004129111767e-05	0.47567190002882853	True
98	911221	False	segregating	0.007625	4.279997665435076e-05	2.912847800005693	True
99	911231	False	lost	0.0	5.229999078437686e-05	0.4887709000031464	True
100	911241	False	lost	0.0	4.210002953186631e-05	1.1111496000085026	True
101	911251	False	lost	0.0	4.0300015825778246e-05	0.5266327999997884	True
102	911261	False	lost	0.0	5.2799994591623545e-05	0.8660459999809973	True
103	911271	False	lost	0.0	4.549999721348286e-05	1.1029216999886557	True
104	911281	False	lost	0.0	4.499999340623617e-05	0.5627187000354752	True
105	911291	False	lost	0.0	0.0002998000127263367	0.5807963999686763	True
106	911301	False	lost	0.0	4.47999918833375e-05	0.5623752000392415	True
107	911311	False	lost	0.0	3.560003824532032e-05	0.5366312999976799	True
108	911321	False	lost	0.0	4.4599990360438824e-05	0.5625475000124425	True
109	911331	False	lost	0.0	4.299997817724943e-05	0.5181407000054605	True
110	911341	False	lost	0.0	5.1499984692782164e-05	0.8725693000014871	True
111	911351	False	lost	0.0	3.689998993650079e-05	0.531233899993822	True
112	911361	False	lost	0.0	3.920000744983554e-05	0.5330497000250034	True
113	911371	False	lost	0.0	6.389996269717813e-05	0.563485499995295	True
114	911381	False	lost	0.0	3.91000066883862e-05	0.5833290999871679	True
115	911391	False	lost	0.0	3.3299962524324656e-05	0.512950100004673	True
116	911401	False	segregating	0.014625	3.559998003765941e-05	2.41411379998317	True
117	911411	False	lost	0.0	5.0399976316839457e-05	0.5182078999932855	True
118	911421	False	lost	0.0	0.00022159999934956431	0.5070388000458479	True
119	911431	False	lost	0.0	0.00010980002116411924	0.5099671999923885	True
120	911441	False	lost	0.0	8.590001380071044e-05	0.5333400999661535	True
121	911451	False	lost	0.0	4.850002005696297e-05	0.8151025999686681	True
122	911461	False	lost	0.0	4.4599990360438824e-05	0.5266582000185736	True
123	911471	False	segregating	0.069075	5.779997445642948e-05	2.616325600014534	True
