replicate	statistic	leave_one_out_p	randomized_tie_p
165	0.0	1.0	0.8097618003274815
166	0.0	1.0	0.8428374113867483
167	0.02	0.195	0.188526455500757
168	0.01	0.54	0.40519611030866626
169	0.01	0.54	0.5127991724749851
170	0.0	1.0	0.9153381517895872
171	0.01	0.54	0.2652483049001987
172	0.01	0.54	0.4930491422324474
173	0.02	0.195	0.027452747284089578
174	0.02	0.195	0.03845440781712691
175	0.02	0.195	0.09226654840909569
176	0.02	0.195	0.17288598346005435
177	0.0	1.0	0.5440022641193939
178	0.01	0.54	0.3465560452765741
179	0.02	0.195	0.11180414988596057
180	0.0	1.0	0.8805347615700763
181	0.01	0.54	0.36870000383039225
182	0.01	0.54	0.21903485046911972
183	0.0	1.0	0.5622708952215929
184	0.02	0.195	0.05729233838701941
185	0.01	0.54	0.40961934819428136
186	0.01	0.54	0.2524765651394346
187	0.0	1.0	0.7086107473231329
188	0.0	1.0	0.6883561189396599
189	0.01	0.54	0.32560515801984236
190	0.0	1.0	0.8838264924269756
191	0.01	0.54	0.27725902429399146
192	0.0	1.0	0.9239407962006801
193	0.01	0.54	0.20031237064627355
194	0.0	1.0	0.7707527724473686
195	0.01	0.54	0.24565444976971557
196	0.0	1.0	0.6109987525684538
197	0.0	1.0	0.8535067595058357
198	0.01	0.54	0.258601321997708
199	0.0	1.0	0.6187788029808194
