source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_5000,0.01,1680000,-3320000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1690000,-3310000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1700000,-3300000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1710000,-3290000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,1720000,-3280000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1730000,-3270000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1740000,-3260000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1750000,-3250000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1760000,-3240000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1770000,-3230000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1780000,-3220000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1790000,-3210000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1800000,-3200000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,1810000,-3190000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1820000,-3180000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,1830000,-3170000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,1840000,-3160000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1850000,-3150000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,1860000,-3140000,100,2,0.02,1000,8,0.008
truth,all_5000,0.01,1870000,-3130000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,1880000,-3120000,100,1,0.01,1000,12,0.012
truth,all_5000,0.01,1890000,-3110000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,1900000,-3100000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,1910000,-3090000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,1920000,-3080000,100,2,0.02,1000,8,0.008
truth,all_5000,0.01,1930000,-3070000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1940000,-3060000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1950000,-3050000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1960000,-3040000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1970000,-3030000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1980000,-3020000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1990000,-3010000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2000000,-3000000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2010000,-2990000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2020000,-2980000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2030000,-2970000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2040000,-2960000,100,1,0.01,1000,6,0.006
truth,all_5000,0.01,2050000,-2950000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2060000,-2940000,100,2,0.02,1000,8,0.008
truth,all_5000,0.01,2070000,-2930000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2080000,-2920000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2090000,-2910000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2100000,-2900000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2110000,-2890000,100,0,0.0,1000,13,0.013
truth,all_5000,0.01,2120000,-2880000,100,2,0.02,1000,8,0.008
truth,all_5000,0.01,2130000,-2870000,100,2,0.02,1000,10,0.01
truth,all_5000,0.01,2140000,-2860000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2150000,-2850000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2160000,-2840000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2170000,-2830000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2180000,-2820000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2190000,-2810000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2200000,-2800000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,2210000,-2790000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2220000,-2780000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2230000,-2770000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2240000,-2760000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2250000,-2750000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2260000,-2740000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2270000,-2730000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2280000,-2720000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2290000,-2710000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2300000,-2700000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2310000,-2690000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2320000,-2680000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2330000,-2670000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,2340000,-2660000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,2350000,-2650000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2360000,-2640000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2370000,-2630000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2380000,-2620000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2390000,-2610000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2400000,-2600000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2410000,-2590000,100,1,0.01,1000,5,0.005
truth,all_5000,0.01,2420000,-2580000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2430000,-2570000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2440000,-2560000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2450000,-2550000,100,2,0.02,1000,9,0.009
truth,all_5000,0.01,2460000,-2540000,100,2,0.02,1000,13,0.013
truth,all_5000,0.01,2470000,-2530000,100,2,0.02,1000,7,0.007
truth,all_5000,0.01,2480000,-2520000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2490000,-2510000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2500000,-2500000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2510000,-2490000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2520000,-2480000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2530000,-2470000,100,1,0.01,1000,6,0.006
truth,all_5000,0.01,2540000,-2460000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2550000,-2450000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2560000,-2440000,100,0,0.0,1000,5,0.005
truth,all_5000,0.01,2570000,-2430000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,2580000,-2420000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,2590000,-2410000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2600000,-2400000,100,2,0.02,1000,9,0.009
truth,all_5000,0.01,2610000,-2390000,100,3,0.03,1000,13,0.013
truth,all_5000,0.01,2620000,-2380000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2630000,-2370000,100,2,0.02,1000,10,0.01
truth,all_5000,0.01,2640000,-2360000,100,1,0.01,1000,12,0.012
truth,all_5000,0.01,2650000,-2350000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,2660000,-2340000,100,2,0.02,1000,9,0.009
truth,all_5000,0.01,2670000,-2330000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,2680000,-2320000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2690000,-2310000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2700000,-2300000,100,1,0.01,1000,11,0.011
