source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_50000,0.05,0.006,94,85,0.9042553191489362,1000,54,0.054
truth,all_50000,0.05,0.007,94,88,0.9361702127659575,1000,54,0.054
truth,all_50000,0.05,0.008,95,91,0.9578947368421052,1000,54,0.054
truth,all_50000,0.05,0.009,95,94,0.9894736842105263,1000,54,0.054
truth,all_50000,0.05,0.01,95,95,1.0,1000,54,0.054
truth,mass_10000,0.01,0.001,92,19,0.20652173913043478,1000,11,0.011
truth,mass_10000,0.01,0.002,93,43,0.46236559139784944,1000,11,0.011
truth,mass_10000,0.01,0.003,95,61,0.6421052631578947,1000,11,0.011
truth,mass_10000,0.01,0.004,94,80,0.851063829787234,1000,11,0.011
truth,mass_10000,0.01,0.005,100,100,1.0,1000,11,0.011
truth,mass_10000,0.01,0.006,94,89,0.9468085106382979,1000,11,0.011
truth,mass_10000,0.01,0.007,94,92,0.9787234042553191,1000,11,0.011
truth,mass_10000,0.01,0.008,95,93,0.9789473684210527,1000,11,0.011
truth,mass_10000,0.01,0.009,95,95,1.0,1000,11,0.011
truth,mass_10000,0.01,0.01,95,95,1.0,1000,11,0.011
truth,mass_10000,0.05,0.001,92,48,0.5217391304347826,1000,43,0.043
truth,mass_10000,0.05,0.002,93,63,0.6774193548387096,1000,43,0.043
truth,mass_10000,0.05,0.003,95,77,0.8105263157894737,1000,43,0.043
truth,mass_10000,0.05,0.004,94,88,0.9361702127659575,1000,43,0.043
truth,mass_10000,0.05,0.005,100,100,1.0,1000,43,0.043
truth,mass_10000,0.05,0.006,94,92,0.9787234042553191,1000,43,0.043
truth,mass_10000,0.05,0.007,94,93,0.9893617021276596,1000,43,0.043
truth,mass_10000,0.05,0.008,95,94,0.9894736842105263,1000,43,0.043
truth,mass_10000,0.05,0.009,95,95,1.0,1000,43,0.043
truth,mass_10000,0.05,0.01,95,95,1.0,1000,43,0.043
truth,mass_20000,0.01,0.001,92,20,0.21739130434782608,1000,9,0.009
truth,mass_20000,0.01,0.002,93,38,0.40860215053763443,1000,9,0.009
truth,mass_20000,0.01,0.003,95,63,0.6631578947368421,1000,9,0.009
