source,alpha,s,method,n,af_called,mass_called,mass_only,af_only,power_difference,paired_exact_p,interpretation
truth,0.05,0.006,mass_50000,94,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_10000,94,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_20000,94,93,94,1,0,0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_30000,94,93,94,1,0,0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_40000,94,93,92,0,1,-0.010638297872340496,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_5000,94,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_50000,94,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_10000,95,93,94,1,0,0.010526315789473606,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_20000,95,93,94,1,0,0.010526315789473606,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_30000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_40000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_5000,95,93,94,1,0,0.010526315789473606,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_50000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_10000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_20000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_30000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_40000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_5000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_50000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_10000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_20000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_30000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_40000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_5000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_50000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
