arm_id	estimator	threshold_years	replicate_index	observed	percentile	p_value	census_af	n_null
chb_nea_selection	gamma_smc_frac	4500.0	56	0.03	0.99	0.0297029702970297	0.2572676666151229	100
chb_nea_selection	gamma_smc_frac	4500.0	57	0.0	0.31	1.0	0.4104298747487243	100
chb_nea_selection	gamma_smc_frac	4500.0	58	0.0	0.31	1.0	0.8376758929952064	100
chb_nea_selection	gamma_smc_frac	4500.0	59	0.07	1.0	0.009900990099009901	0.8131668470697386	100
chb_nea_selection	gamma_smc_frac	4500.0	60	0.0	0.31	1.0	0.5151925158496985	100
chb_nea_selection	gamma_smc_frac	4500.0	61	0.03	0.99	0.0297029702970297	0.9654399257770218	100
chb_nea_selection	gamma_smc_frac	4500.0	62	0.01	0.745	0.38613861386138615	0.8648909850007731	100
chb_nea_selection	gamma_smc_frac	4500.0	63	0.01	0.745	0.38613861386138615	0.5848538735116746	100
chb_nea_selection	gamma_smc_frac	4500.0	64	0.01	0.745	0.38613861386138615	0.8720813360136076	100
chb_nea_selection	gamma_smc_frac	4500.0	65	0.01	0.745	0.38613861386138615	0.9015772382866862	100
chb_nea_selection	gamma_smc_frac	4500.0	66	0.02	0.925	0.13861386138613863	0.9777331065409	100
chb_nea_selection	gamma_smc_frac	4500.0	67	0.0	0.31	1.0	0.9483145198701098	100
chb_nea_selection	gamma_smc_frac	4500.0	68	0.0	0.31	1.0	0.9216406370805628	100
chb_nea_selection	gamma_smc_frac	4500.0	69	0.01	0.745	0.38613861386138615	0.6320550487088294	100
chb_nea_selection	gamma_smc_frac	4500.0	70	0.0	0.31	1.0	0.199628885109015	100
chb_nea_selection	gamma_smc_frac	4500.0	71	0.01	0.745	0.38613861386138615	0.5279109324261636	100
chb_nea_selection	gamma_smc_frac	4500.0	72	0.01	0.745	0.38613861386138615	0.547085201793722	100
chb_nea_selection	gamma_smc_frac	4500.0	73	0.04	1.0	0.009900990099009901	0.6801453533323024	100
chb_nea_selection	gamma_smc_frac	4500.0	74	0.01	0.745	0.38613861386138615	0.4397711458172259	100
chb_nea_selection	gamma_smc_frac	4500.0	75	0.0	0.31	1.0	0.4208674810576774	100
chb_nea_selection	gamma_smc_frac	4500.0	76	0.0	0.31	1.0	0.8951213854955931	100
chb_nea_selection	gamma_smc_frac	4500.0	77	0.01	0.745	0.38613861386138615	0.6610097417658883	100
chb_nea_selection	gamma_smc_frac	4500.0	78	0.01	0.745	0.38613861386138615	0.6915107468687182	100
chb_nea_selection	gamma_smc_frac	4500.0	79	0.0	0.31	1.0	0.8746714086902737	100
chb_nea_selection	gamma_smc_frac	4500.0	80	0.0	0.31	1.0	0.7850239678367095	100
chb_nea_selection	gamma_smc_frac	4500.0	81	0.02	0.925	0.13861386138613863	0.2877300139168084	100
chb_nea_selection	gamma_smc_frac	4500.0	82	0.0	0.31	1.0	0.3602520488634606	100
chb_nea_selection	gamma_smc_frac	4500.0	83	0.0	0.31	1.0	0.8604066800680378	100
chb_nea_selection	gamma_smc_frac	4500.0	84	0.04	1.0	0.009900990099009901	0.9754909540745322	100
chb_nea_selection	gamma_smc_frac	4500.0	85	0.02	0.925	0.13861386138613863	0.6387041905056441	100
chb_nea_selection	gamma_smc_frac	4500.0	86	0.04	1.0	0.009900990099009901	0.4137931034482758	100
chb_nea_selection	gamma_smc_frac	4500.0	87	0.01	0.745	0.38613861386138615	0.4267048090304624	100
chb_nea_selection	gamma_smc_frac	4500.0	88	0.01	0.745	0.38613861386138615	0.5925467759393845	100
chb_nea_selection	gamma_smc_frac	4500.0	89	0.03	0.99	0.0297029702970297	0.9281738054739448	100
chb_nea_selection	gamma_smc_frac	4500.0	90	0.01	0.745	0.38613861386138615	0.6893072522034946	100
chb_nea_selection	gamma_smc_frac	4500.0	91	0.02	0.925	0.13861386138613863	0.4514458017627957	100
chb_nea_selection	gamma_smc_frac	4500.0	92	0.02	0.925	0.13861386138613863	0.9365238905211072	100
