haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,mean,maximum_standardized_frac_recent,20000,3,0.7,4.307583913109845,400,400,80,10000
400,mean,maximum_standardized_frac_recent,30000,3,0.7,4.666895658219756,400,400,80,10000
400,mean,maximum_standardized_frac_recent,40000,3,0.7,4.704755621174809,400,400,80,10000
400,mean,maximum_standardized_frac_recent,50000,3,0.7,4.766875391384744,400,400,80,10000
400,mean,maximum_frac_recent,5000,4,0.7,0.0072,400,400,80,10000
400,mean,maximum_frac_recent,10000,4,0.7,0.0404,400,400,80,10000
400,mean,maximum_frac_recent,20000,4,0.7,0.1854,400,400,80,10000
400,mean,maximum_frac_recent,30000,4,0.7,0.3409,400,400,80,10000
400,mean,maximum_frac_recent,40000,4,0.7,0.4762,400,400,80,10000
400,mean,maximum_frac_recent,50000,4,0.7,0.5878,400,400,80,10000
400,mean,maximum_standardized_frac_recent,5000,4,0.7,2.6876663199526516,400,400,80,10000
400,mean,maximum_standardized_frac_recent,10000,4,0.7,3.4661671231304174,400,400,80,10000
400,mean,maximum_standardized_frac_recent,20000,4,0.7,4.156811974007359,400,400,80,10000
400,mean,maximum_standardized_frac_recent,30000,4,0.7,4.3534004079813045,400,400,80,10000
400,mean,maximum_standardized_frac_recent,40000,4,0.7,4.56135089273676,400,400,80,10000
400,mean,maximum_standardized_frac_recent,50000,4,0.7,4.596210721063795,400,400,80,10000
400,median,maximum_frac_recent,5000,0,0.7,0.018,400,400,80,50000
400,median,maximum_frac_recent,10000,0,0.7,0.0954,400,400,80,50000
400,median,maximum_frac_recent,20000,0,0.7,0.3203,400,400,80,50000
400,median,maximum_frac_recent,30000,0,0.7,0.504,400,400,80,50000
400,median,maximum_frac_recent,40000,0,0.7,0.6533,400,400,80,50000
400,median,maximum_frac_recent,50000,0,0.7,0.7403,400,400,80,50000
400,median,maximum_standardized_frac_recent,5000,0,0.7,3.7494655478954892,400,400,80,50000
400,median,maximum_standardized_frac_recent,10000,0,0.7,4.369674298661492,400,400,80,50000
400,median,maximum_standardized_frac_recent,20000,0,0.7,5.089930681689066,400,400,80,50000
400,median,maximum_standardized_frac_recent,30000,0,0.7,5.15518760291076,400,400,80,50000
400,median,maximum_standardized_frac_recent,40000,0,0.7,5.249206770840876,400,400,80,50000
400,median,maximum_standardized_frac_recent,50000,0,0.7,4.870867262891362,400,400,80,50000
400,median,maximum_frac_recent,5000,1,0.7,0.0178,400,400,80,50000
400,median,maximum_frac_recent,10000,1,0.7,0.0959,400,400,80,50000
400,median,maximum_frac_recent,20000,1,0.7,0.3264,400,400,80,50000
400,median,maximum_frac_recent,30000,1,0.7,0.5112,400,400,80,50000
400,median,maximum_frac_recent,40000,1,0.7,0.6538,400,400,80,50000
400,median,maximum_frac_recent,50000,1,0.7,0.7404,400,400,80,50000
400,median,maximum_standardized_frac_recent,5000,1,0.7,3.7451777061149603,400,400,80,50000
400,median,maximum_standardized_frac_recent,10000,1,0.7,4.609010815755731,400,400,80,50000
400,median,maximum_standardized_frac_recent,20000,1,0.7,5.1810983330540274,400,400,80,50000
400,median,maximum_standardized_frac_recent,30000,1,0.7,5.1469176112141275,400,400,80,50000
400,median,maximum_standardized_frac_recent,40000,1,0.7,5.145521422667389,400,400,80,50000
400,median,maximum_standardized_frac_recent,50000,1,0.7,4.841310783371619,400,400,80,50000
400,median,maximum_frac_recent,5000,2,0.7,0.0173,400,400,80,50000
400,median,maximum_frac_recent,10000,2,0.7,0.0938,400,400,80,50000
400,median,maximum_frac_recent,20000,2,0.7,0.3211,400,400,80,50000
400,median,maximum_frac_recent,30000,2,0.7,0.5049,400,400,80,50000
400,median,maximum_frac_recent,40000,2,0.7,0.6573,400,400,80,50000
400,median,maximum_frac_recent,50000,2,0.7,0.7395,400,400,80,50000
400,median,maximum_standardized_frac_recent,5000,2,0.7,3.456204585138588,400,400,80,50000
400,median,maximum_standardized_frac_recent,10000,2,0.7,4.3690952575982,400,400,80,50000
400,median,maximum_standardized_frac_recent,20000,2,0.7,5.198255639890938,400,400,80,50000
400,median,maximum_standardized_frac_recent,30000,2,0.7,5.074805519643837,400,400,80,50000
400,median,maximum_standardized_frac_recent,40000,2,0.7,5.118336330463065,400,400,80,50000
400,median,maximum_standardized_frac_recent,50000,2,0.7,4.722766834949384,400,400,80,50000
400,median,maximum_frac_recent,5000,3,0.7,0.0174,400,400,80,50000
400,median,maximum_frac_recent,10000,3,0.7,0.0954,400,400,80,50000
400,median,maximum_frac_recent,20000,3,0.7,0.3327,400,400,80,50000
400,median,maximum_frac_recent,30000,3,0.7,0.5206,400,400,80,50000
400,median,maximum_frac_recent,40000,3,0.7,0.6573,400,400,80,50000
