source,onset_years,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,n,called,region_call_rate
mean,50000,5000,0.001,20000,1,1,selected,100,20,0.2
mean,50000,5000,0.001,20000,1,3,neutral,1000,55,0.055
mean,50000,5000,0.001,20000,1,3,selected,100,11,0.11
mean,50000,5000,0.001,20000,1,5,neutral,1000,34,0.034
mean,50000,5000,0.001,20000,1,5,selected,100,7,0.07
mean,50000,5000,0.001,20000,1,10,neutral,1000,8,0.008
mean,50000,5000,0.001,20000,1,10,selected,100,3,0.03
mean,50000,5000,0.001,20000,1,20,neutral,1000,0,0.0
mean,50000,5000,0.001,20000,1,20,selected,100,0,0.0
mean,50000,5000,0.001,50000,0,1,neutral,1000,95,0.095
mean,50000,5000,0.001,50000,0,1,selected,100,15,0.15
mean,50000,5000,0.001,50000,0,3,neutral,1000,19,0.019
mean,50000,5000,0.001,50000,0,3,selected,100,6,0.06
mean,50000,5000,0.001,50000,0,5,neutral,1000,2,0.002
mean,50000,5000,0.001,50000,0,5,selected,100,1,0.01
mean,50000,5000,0.001,50000,0,10,neutral,1000,0,0.0
mean,50000,5000,0.001,50000,0,10,selected,100,0,0.0
mean,50000,5000,0.001,50000,0,20,neutral,1000,0,0.0
mean,50000,5000,0.001,50000,0,20,selected,100,0,0.0
mean,50000,5000,0.001,50000,1,1,neutral,1000,95,0.095
mean,50000,5000,0.001,50000,1,1,selected,100,15,0.15
mean,50000,5000,0.001,50000,1,3,neutral,1000,20,0.02
mean,50000,5000,0.001,50000,1,3,selected,100,6,0.06
mean,50000,5000,0.001,50000,1,5,neutral,1000,2,0.002
mean,50000,5000,0.001,50000,1,5,selected,100,1,0.01
mean,50000,5000,0.001,50000,1,10,neutral,1000,0,0.0
mean,50000,5000,0.001,50000,1,10,selected,100,0,0.0
mean,50000,5000,0.001,50000,1,20,neutral,1000,0,0.0
mean,50000,5000,0.001,50000,1,20,selected,100,0,0.0
mean,50000,10000,0.05,10000,0,1,neutral,1000,991,0.991
mean,50000,10000,0.05,10000,0,1,selected,100,100,1.0
mean,50000,10000,0.05,10000,0,3,neutral,1000,973,0.973
mean,50000,10000,0.05,10000,0,3,selected,100,99,0.99
mean,50000,10000,0.05,10000,0,5,neutral,1000,951,0.951
mean,50000,10000,0.05,10000,0,5,selected,100,98,0.98
mean,50000,10000,0.05,10000,0,10,neutral,1000,857,0.857
mean,50000,10000,0.05,10000,0,10,selected,100,93,0.93
mean,50000,10000,0.05,10000,0,20,neutral,1000,341,0.341
mean,50000,10000,0.05,10000,0,20,selected,100,56,0.56
mean,50000,10000,0.05,10000,1,1,neutral,1000,991,0.991
mean,50000,10000,0.05,10000,1,1,selected,100,100,1.0
mean,50000,10000,0.05,10000,1,3,neutral,1000,975,0.975
mean,50000,10000,0.05,10000,1,3,selected,100,99,0.99
mean,50000,10000,0.05,10000,1,5,neutral,1000,953,0.953
mean,50000,10000,0.05,10000,1,5,selected,100,98,0.98
mean,50000,10000,0.05,10000,1,10,neutral,1000,860,0.86
mean,50000,10000,0.05,10000,1,10,selected,100,93,0.93
mean,50000,10000,0.05,10000,1,20,neutral,1000,366,0.366
mean,50000,10000,0.05,10000,1,20,selected,100,58,0.58
mean,50000,10000,0.05,20000,0,1,neutral,1000,985,0.985
mean,50000,10000,0.05,20000,0,1,selected,100,100,1.0
mean,50000,10000,0.05,20000,0,3,neutral,1000,950,0.95
