source,onset_years,cutoff_years,n,region_mean,average_position_sd,focal_mean,rmse_to_truth
median,50000,10000,100,0.04126496600000001,0.013302118807374056,0.080029,0.0367913325886351
median,50000,20000,100,0.115614431,0.04277744128401112,0.25051799999999996,0.08222739025862415
median,50000,30000,100,0.176066763,0.06707706535139614,0.378668,0.09855238413788094
median,50000,40000,100,0.222241625,0.08523573319144515,0.46078800000000003,0.1019961824336791
median,50000,50000,100,0.258543745,0.09910064015769106,0.514857,0.10155225133601911
prob80,0,5000,1000,0.0021565740999999997,0.0005051467001572768,0.0022214,0.0006989944263193914
prob80,0,10000,1000,0.0075594139,0.0016225029398275685,0.007651,0.0017307413807442474
prob80,0,20000,1000,0.033842488100000005,0.010161227253122275,0.033867600000000005,0.01629329828979771
prob80,0,30000,1000,0.0696134774,0.02386084529984813,0.06929579999999999,0.040772965115298036
prob80,0,40000,1000,0.10570023320000001,0.038456267186228514,0.1049981,0.06502239564235095
prob80,0,50000,1000,0.13895032000000002,0.052034950225411256,0.1380763,0.08429827066342875
prob80,10000,5000,100,0.0021182040000000003,0.0005021807597513364,0.002157,0.0006737471544190108
prob80,10000,10000,100,0.0076225170000000005,0.0016321405571195235,0.008371,0.0017365510245157428
prob80,10000,20000,100,0.034142708,0.009981163583748674,0.036209,0.016215650262944314
prob80,10000,30000,100,0.06989409300000002,0.023398160285126562,0.070582,0.04227060721241755
prob80,10000,40000,100,0.105748704,0.03769747379211776,0.102933,0.06588035045717561
prob80,10000,50000,100,0.138682922,0.05105272140183294,0.132297,0.08583895004644339
prob80,50000,5000,100,0.002124089,0.0004930580111187919,0.002273,0.0006641528636482624
prob80,50000,10000,100,0.007749396999999999,0.0017258342345313172,0.010623999999999998,0.0018866803854870181
prob80,50000,20000,100,0.034810258,0.010603432508967146,0.065628,0.017088106081535222
prob80,50000,30000,100,0.07127394299999999,0.02449090590933167,0.150365,0.04229934767110086
prob80,50000,40000,100,0.10771318899999999,0.03904236808688162,0.23622600000000002,0.06753248126222572
prob80,50000,50000,100,0.14113164100000003,0.052530833624702664,0.31032,0.09002297017825174
prob90,0,5000,1000,0.0014458411999999999,0.0003969384027184271,0.0014984000000000002,0.0013122015891536554
prob90,0,10000,1000,0.003761075,0.0007745210687225455,0.0038363000000000004,0.003852167449035534
prob90,0,20000,1000,0.016663393900000004,0.004200191071865324,0.0168523,0.030079751565958053
prob90,0,30000,1000,0.0389200438,0.01192072522846071,0.0389492,0.06563160791835534
prob90,0,40000,1000,0.0651861938,0.021983845164444283,0.0649292,0.09829716710146931
prob90,0,50000,1000,0.0920131001,0.03272949868717875,0.09149270000000001,0.1232019808768631
prob90,10000,5000,100,0.001402536,0.00039554018005470096,0.001384,0.0012881940505024053
prob90,10000,10000,100,0.00375946,0.0007766961138873161,0.004043,0.003916278548978771
prob90,10000,20000,100,0.016842106,0.0041292644972627,0.018186,0.030126755935418855
prob90,10000,30000,100,0.03925415,0.01171613145085233,0.041106,0.06751892744216041
prob90,10000,40000,100,0.06550555400000001,0.021555406515339263,0.06642,0.09894694382634767
prob90,10000,50000,100,0.092173161,0.032079237201659026,0.090542,0.12455859917531525
prob90,50000,5000,100,0.001402142,0.00038050951664276135,0.0014530000000000003,0.0012745064936557251
prob90,50000,10000,100,0.0037919420000000004,0.0007869116311055838,0.004421,0.0038695631473579994
prob90,50000,20000,100,0.017189308,0.004450219878529476,0.027981,0.03059876174964468
prob90,50000,30000,100,0.040035908,0.012429881862631234,0.077103,0.06715531644725466
prob90,50000,40000,100,0.066784486,0.022589508154332784,0.13996599999999998,0.10118922718864821
prob90,50000,50000,100,0.093971284,0.03336162615042493,0.20551299999999997,0.1298964553801187
truth,0,5000,1000,0.00268521,0.0005599055589880559,0.0026967,0.0
truth,0,10000,1000,0.0074615715,0.0011339464010032053,0.0074391,0.0
truth,0,20000,1000,0.045685963499999996,0.008543094888245015,0.045594300000000004,0.0
truth,0,30000,1000,0.1007468203,0.02511934567699474,0.10018990000000001,0.0
truth,0,40000,1000,0.15582006040000002,0.045428810183640485,0.1563337,0.0
truth,0,50000,1000,0.20360659199999998,0.06438730446020544,0.20236759999999998,0.0
truth,10000,5000,100,0.0026198610000000002,0.0005498408542114328,0.002624,0.0
truth,10000,10000,100,0.007526949999999999,0.0011317568706327558,0.008131999999999999,0.0
truth,10000,20000,100,0.045930699000000005,0.008483247411039755,0.049856999999999985,0.0
truth,10000,30000,100,0.102789683,0.026412854899757164,0.10826299999999998,0.0
truth,10000,40000,100,0.156761434,0.045279195288729014,0.158241,0.0
truth,10000,50000,100,0.204636086,0.06582958439861604,0.206591,0.0
truth,50000,5000,100,0.0026023590000000003,0.0005434002206574035,0.00261,0.0
truth,50000,10000,100,0.007504525000000001,0.001118639237586846,0.007923,0.0
