task_id,mode,s,replicate,onset_years,sample_af,fixed
neutral/rep0061,neutral,0.0,61,0,0.005,False
onset50000/rep0061,selected,0.005,61,50000,0.875,False
neutral/rep0062,neutral,0.0,62,0,0.0025,False
onset50000/rep0062,selected,0.005,62,50000,0.7475,False
neutral/rep0063,neutral,0.0,63,0,0.0025,False
onset50000/rep0063,selected,0.005,63,50000,0.9275,False
neutral/rep0064,neutral,0.0,64,0,0.0025,False
onset50000/rep0064,selected,0.005,64,50000,0.73,False
neutral/rep0065,neutral,0.0,65,0,0.0025,False
onset50000/rep0065,selected,0.005,65,50000,0.9725,False
neutral/rep0066,neutral,0.0,66,0,0.0025,False
onset50000/rep0066,selected,0.005,66,50000,0.6175,False
neutral/rep0067,neutral,0.0,67,0,0.0975,False
onset50000/rep0067,selected,0.005,67,50000,0.4775,False
neutral/rep0068,neutral,0.0,68,0,0.005,False
onset50000/rep0068,selected,0.005,68,50000,0.7525,False
neutral/rep0069,neutral,0.0,69,0,0.01,False
onset50000/rep0069,selected,0.005,69,50000,0.5725,False
neutral/rep0070,neutral,0.0,70,0,0.365,False
onset50000/rep0070,selected,0.005,70,50000,0.98,False
neutral/rep0071,neutral,0.0,71,0,0.07,False
onset50000/rep0071,selected,0.005,71,50000,0.95,False
neutral/rep0072,neutral,0.0,72,0,0.0025,False
onset50000/rep0072,selected,0.005,72,50000,0.59,False
neutral/rep0073,neutral,0.0,73,0,0.3375,False
onset50000/rep0073,selected,0.005,73,50000,0.935,False
neutral/rep0074,neutral,0.0,74,0,0.2275,False
onset50000/rep0074,selected,0.005,74,50000,0.9175,False
neutral/rep0075,neutral,0.0,75,0,0.6925,False
onset50000/rep0075,selected,0.005,75,50000,0.7575,False
neutral/rep0076,neutral,0.0,76,0,0.645,False
onset50000/rep0076,selected,0.005,76,50000,0.3625,False
neutral/rep0077,neutral,0.0,77,0,0.0025,False
onset50000/rep0077,selected,0.005,77,50000,0.8525,False
neutral/rep0078,neutral,0.0,78,0,0.28,False
onset50000/rep0078,selected,0.005,78,50000,0.895,False
neutral/rep0079,neutral,0.0,79,0,0.2475,False
onset50000/rep0079,selected,0.005,79,50000,0.9375,False
neutral/rep0080,neutral,0.0,80,0,0.005,False
onset50000/rep0080,selected,0.005,80,50000,0.9175,False
neutral/rep0081,neutral,0.0,81,0,0.0525,False
onset50000/rep0081,selected,0.005,81,50000,0.835,False
neutral/rep0082,neutral,0.0,82,0,0.0025,False
onset50000/rep0082,selected,0.005,82,50000,0.895,False
neutral/rep0083,neutral,0.0,83,0,0.045,False
onset50000/rep0083,selected,0.005,83,50000,0.78,False
neutral/rep0084,neutral,0.0,84,0,0.0025,False
onset50000/rep0084,selected,0.005,84,50000,0.81,False
neutral/rep0085,neutral,0.0,85,0,0.0025,False
onset50000/rep0085,selected,0.005,85,50000,0.9675,False
neutral/rep0086,neutral,0.0,86,0,0.0025,False
onset50000/rep0086,selected,0.005,86,50000,0.93,False
neutral/rep0087,neutral,0.0,87,0,0.0025,False
onset50000/rep0087,selected,0.005,87,50000,0.8875,False
neutral/rep0088,neutral,0.0,88,0,0.0075,False
onset50000/rep0088,selected,0.005,88,50000,0.88,False
neutral/rep0089,neutral,0.0,89,0,0.095,False
onset50000/rep0089,selected,0.005,89,50000,0.9775,False
neutral/rep0090,neutral,0.0,90,0,0.0025,False
onset50000/rep0090,selected,0.005,90,50000,0.99,False
neutral/rep0091,neutral,0.0,91,0,0.8325,False
onset50000/rep0091,selected,0.005,91,50000,0.71,False
neutral/rep0092,neutral,0.0,92,0,0.0875,False
onset50000/rep0092,selected,0.005,92,50000,0.9575,False
neutral/rep0093,neutral,0.0,93,0,0.005,False
onset50000/rep0093,selected,0.005,93,50000,0.4825,False
neutral/rep0094,neutral,0.0,94,0,0.0025,False
onset50000/rep0094,selected,0.005,94,50000,0.72,False
neutral/rep0095,neutral,0.0,95,0,0.815,False
onset50000/rep0095,selected,0.005,95,50000,0.605,False
neutral/rep0096,neutral,0.0,96,0,0.0025,False
onset50000/rep0096,selected,0.005,96,50000,0.9375,False
neutral/rep0097,neutral,0.0,97,0,0.14,False
onset50000/rep0097,selected,0.005,97,50000,0.72,False
neutral/rep0098,neutral,0.0,98,0,0.0025,False
onset50000/rep0098,selected,0.005,98,50000,0.82,False
neutral/rep0099,neutral,0.0,99,0,0.285,False
onset50000/rep0099,selected,0.005,99,50000,0.7,False
neutral/rep0100,neutral,0.0,100,0,0.005,False
neutral/rep0101,neutral,0.0,101,0,0.0025,False
neutral/rep0102,neutral,0.0,102,0,0.0875,False
neutral/rep0103,neutral,0.0,103,0,0.135,False
neutral/rep0104,neutral,0.0,104,0,0.005,False
neutral/rep0105,neutral,0.0,105,0,0.005,False
neutral/rep0106,neutral,0.0,106,0,0.0025,False
neutral/rep0107,neutral,0.0,107,0,0.0025,False
neutral/rep0108,neutral,0.0,108,0,0.0025,False
neutral/rep0109,neutral,0.0,109,0,0.13,False
neutral/rep0110,neutral,0.0,110,0,0.0125,False
neutral/rep0111,neutral,0.0,111,0,0.0025,False
neutral/rep0112,neutral,0.0,112,0,0.0025,False
neutral/rep0113,neutral,0.0,113,0,0.7525,False
neutral/rep0114,neutral,0.0,114,0,0.03,False
neutral/rep0115,neutral,0.0,115,0,0.0025,False
neutral/rep0116,neutral,0.0,116,0,0.0025,False
neutral/rep0117,neutral,0.0,117,0,0.0025,False
neutral/rep0118,neutral,0.0,118,0,0.0025,False
neutral/rep0119,neutral,0.0,119,0,0.0025,False
neutral/rep0120,neutral,0.0,120,0,0.015,False
neutral/rep0121,neutral,0.0,121,0,0.0025,False
neutral/rep0122,neutral,0.0,122,0,0.055,False
neutral/rep0123,neutral,0.0,123,0,0.33,False
neutral/rep0124,neutral,0.0,124,0,0.23,False
neutral/rep0125,neutral,0.0,125,0,0.1625,False
neutral/rep0126,neutral,0.0,126,0,0.0025,False
neutral/rep0127,neutral,0.0,127,0,0.005,False
neutral/rep0128,neutral,0.0,128,0,0.0225,False
neutral/rep0129,neutral,0.0,129,0,0.0025,False
neutral/rep0130,neutral,0.0,130,0,0.0525,False
neutral/rep0131,neutral,0.0,131,0,0.9275,False
neutral/rep0132,neutral,0.0,132,0,0.39,False
neutral/rep0133,neutral,0.0,133,0,0.0025,False
neutral/rep0134,neutral,0.0,134,0,0.0025,False
neutral/rep0135,neutral,0.0,135,0,0.21,False
neutral/rep0136,neutral,0.0,136,0,0.1975,False
neutral/rep0137,neutral,0.0,137,0,0.0025,False
neutral/rep0138,neutral,0.0,138,0,0.27,False
neutral/rep0139,neutral,0.0,139,0,0.325,False
neutral/rep0140,neutral,0.0,140,0,0.0075,False
neutral/rep0141,neutral,0.0,141,0,0.3925,False
neutral/rep0142,neutral,0.0,142,0,0.0025,False
neutral/rep0143,neutral,0.0,143,0,0.0025,False
neutral/rep0144,neutral,0.0,144,0,0.05,False
neutral/rep0145,neutral,0.0,145,0,0.0025,False
neutral/rep0146,neutral,0.0,146,0,0.0025,False
neutral/rep0147,neutral,0.0,147,0,0.0025,False
neutral/rep0148,neutral,0.0,148,0,0.2425,False
neutral/rep0149,neutral,0.0,149,0,0.445,False
neutral/rep0150,neutral,0.0,150,0,0.12,False
neutral/rep0151,neutral,0.0,151,0,0.9525,False
neutral/rep0152,neutral,0.0,152,0,0.5975,False
neutral/rep0153,neutral,0.0,153,0,0.0075,False
neutral/rep0154,neutral,0.0,154,0,0.1825,False
neutral/rep0155,neutral,0.0,155,0,0.6525,False
neutral/rep0156,neutral,0.0,156,0,0.0025,False
neutral/rep0157,neutral,0.0,157,0,0.765,False
neutral/rep0158,neutral,0.0,158,0,0.025,False
neutral/rep0159,neutral,0.0,159,0,0.1,False
neutral/rep0160,neutral,0.0,160,0,0.0475,False
neutral/rep0161,neutral,0.0,161,0,0.4975,False
neutral/rep0162,neutral,0.0,162,0,0.1075,False
neutral/rep0163,neutral,0.0,163,0,0.01,False
neutral/rep0164,neutral,0.0,164,0,0.1,False
neutral/rep0165,neutral,0.0,165,0,0.14,False
neutral/rep0166,neutral,0.0,166,0,0.5725,False
neutral/rep0167,neutral,0.0,167,0,0.0025,False
neutral/rep0168,neutral,0.0,168,0,0.01,False
neutral/rep0169,neutral,0.0,169,0,0.75,False
neutral/rep0170,neutral,0.0,170,0,0.0025,False
neutral/rep0171,neutral,0.0,171,0,0.0025,False
neutral/rep0172,neutral,0.0,172,0,0.0875,False
neutral/rep0173,neutral,0.0,173,0,0.895,False
neutral/rep0174,neutral,0.0,174,0,0.0525,False
neutral/rep0175,neutral,0.0,175,0,0.5875,False
neutral/rep0176,neutral,0.0,176,0,0.13,False
neutral/rep0177,neutral,0.0,177,0,0.0275,False
neutral/rep0178,neutral,0.0,178,0,0.4325,False
neutral/rep0179,neutral,0.0,179,0,0.0025,False
neutral/rep0180,neutral,0.0,180,0,0.005,False
neutral/rep0181,neutral,0.0,181,0,0.0025,False
neutral/rep0182,neutral,0.0,182,0,0.0025,False
neutral/rep0183,neutral,0.0,183,0,0.155,False
neutral/rep0184,neutral,0.0,184,0,0.2275,False
neutral/rep0185,neutral,0.0,185,0,0.1725,False
neutral/rep0186,neutral,0.0,186,0,0.0025,False
neutral/rep0187,neutral,0.0,187,0,0.15,False
neutral/rep0188,neutral,0.0,188,0,0.015,False
neutral/rep0189,neutral,0.0,189,0,0.01,False
neutral/rep0190,neutral,0.0,190,0,0.055,False
neutral/rep0191,neutral,0.0,191,0,0.065,False
neutral/rep0192,neutral,0.0,192,0,0.1075,False
neutral/rep0193,neutral,0.0,193,0,0.165,False
neutral/rep0194,neutral,0.0,194,0,0.0225,False
neutral/rep0195,neutral,0.0,195,0,0.085,False
neutral/rep0196,neutral,0.0,196,0,0.11,False
neutral/rep0197,neutral,0.0,197,0,0.005,False
neutral/rep0198,neutral,0.0,198,0,0.0075,False
neutral/rep0199,neutral,0.0,199,0,0.0075,False
neutral/rep0200,neutral,0.0,200,0,0.0025,False
neutral/rep0201,neutral,0.0,201,0,0.19,False
neutral/rep0202,neutral,0.0,202,0,0.0025,False
neutral/rep0203,neutral,0.0,203,0,0.65,False
neutral/rep0204,neutral,0.0,204,0,0.145,False
neutral/rep0205,neutral,0.0,205,0,0.0025,False
neutral/rep0206,neutral,0.0,206,0,0.6675,False
neutral/rep0207,neutral,0.0,207,0,0.7,False
neutral/rep0208,neutral,0.0,208,0,0.005,False
neutral/rep0209,neutral,0.0,209,0,0.0025,False
neutral/rep0210,neutral,0.0,210,0,0.095,False
neutral/rep0211,neutral,0.0,211,0,0.01,False
neutral/rep0212,neutral,0.0,212,0,0.025,False
neutral/rep0213,neutral,0.0,213,0,0.0725,False
neutral/rep0214,neutral,0.0,214,0,0.0025,False
neutral/rep0215,neutral,0.0,215,0,0.0025,False
neutral/rep0216,neutral,0.0,216,0,0.235,False
neutral/rep0217,neutral,0.0,217,0,0.0025,False
neutral/rep0218,neutral,0.0,218,0,0.005,False
neutral/rep0219,neutral,0.0,219,0,0.2375,False
neutral/rep0220,neutral,0.0,220,0,0.215,False
neutral/rep0221,neutral,0.0,221,0,0.0025,False
neutral/rep0222,neutral,0.0,222,0,0.315,False
neutral/rep0223,neutral,0.0,223,0,0.015,False
neutral/rep0224,neutral,0.0,224,0,0.0025,False
neutral/rep0225,neutral,0.0,225,0,0.7975,False
neutral/rep0226,neutral,0.0,226,0,0.3975,False
neutral/rep0227,neutral,0.0,227,0,0.17,False
neutral/rep0228,neutral,0.0,228,0,0.0825,False
neutral/rep0229,neutral,0.0,229,0,0.1825,False
neutral/rep0230,neutral,0.0,230,0,0.545,False
neutral/rep0231,neutral,0.0,231,0,0.91,False
neutral/rep0232,neutral,0.0,232,0,0.0025,False
neutral/rep0233,neutral,0.0,233,0,0.2625,False
neutral/rep0234,neutral,0.0,234,0,0.195,False
neutral/rep0235,neutral,0.0,235,0,0.635,False
neutral/rep0236,neutral,0.0,236,0,0.3025,False
neutral/rep0237,neutral,0.0,237,0,0.08,False
neutral/rep0238,neutral,0.0,238,0,0.5275,False
neutral/rep0239,neutral,0.0,239,0,0.0025,False
neutral/rep0240,neutral,0.0,240,0,0.005,False
neutral/rep0241,neutral,0.0,241,0,0.0025,False
neutral/rep0242,neutral,0.0,242,0,0.3875,False
neutral/rep0243,neutral,0.0,243,0,0.0025,False
neutral/rep0244,neutral,0.0,244,0,0.0025,False
neutral/rep0245,neutral,0.0,245,0,0.01,False
neutral/rep0246,neutral,0.0,246,0,0.25,False
neutral/rep0247,neutral,0.0,247,0,0.005,False
neutral/rep0248,neutral,0.0,248,0,0.0025,False
neutral/rep0249,neutral,0.0,249,0,0.7025,False
neutral/rep0250,neutral,0.0,250,0,0.005,False
neutral/rep0251,neutral,0.0,251,0,0.0025,False
neutral/rep0252,neutral,0.0,252,0,0.04,False
neutral/rep0253,neutral,0.0,253,0,0.0025,False
neutral/rep0254,neutral,0.0,254,0,0.065,False
neutral/rep0255,neutral,0.0,255,0,0.2,False
neutral/rep0256,neutral,0.0,256,0,0.0025,False
neutral/rep0257,neutral,0.0,257,0,0.0225,False
neutral/rep0258,neutral,0.0,258,0,0.0025,False
neutral/rep0259,neutral,0.0,259,0,0.345,False
neutral/rep0260,neutral,0.0,260,0,0.33,False
neutral/rep0261,neutral,0.0,261,0,0.6575,False
neutral/rep0262,neutral,0.0,262,0,0.015,False
neutral/rep0263,neutral,0.0,263,0,0.025,False
neutral/rep0264,neutral,0.0,264,0,0.695,False
neutral/rep0265,neutral,0.0,265,0,0.385,False
neutral/rep0266,neutral,0.0,266,0,0.0025,False
neutral/rep0267,neutral,0.0,267,0,0.0125,False
neutral/rep0268,neutral,0.0,268,0,0.0025,False
neutral/rep0269,neutral,0.0,269,0,0.0025,False
neutral/rep0270,neutral,0.0,270,0,0.0025,False
neutral/rep0271,neutral,0.0,271,0,0.0025,False
neutral/rep0272,neutral,0.0,272,0,0.2175,False
neutral/rep0273,neutral,0.0,273,0,0.4375,False
neutral/rep0274,neutral,0.0,274,0,0.09,False
neutral/rep0275,neutral,0.0,275,0,0.005,False
neutral/rep0276,neutral,0.0,276,0,0.025,False
neutral/rep0277,neutral,0.0,277,0,0.105,False
neutral/rep0278,neutral,0.0,278,0,0.005,False
neutral/rep0279,neutral,0.0,279,0,0.0025,False
neutral/rep0280,neutral,0.0,280,0,0.0025,False
neutral/rep0281,neutral,0.0,281,0,0.0025,False
neutral/rep0282,neutral,0.0,282,0,0.16,False
neutral/rep0283,neutral,0.0,283,0,0.46,False
neutral/rep0284,neutral,0.0,284,0,0.0025,False
neutral/rep0285,neutral,0.0,285,0,0.0025,False
neutral/rep0286,neutral,0.0,286,0,0.0025,False
neutral/rep0287,neutral,0.0,287,0,0.0025,False
neutral/rep0288,neutral,0.0,288,0,0.005,False
neutral/rep0289,neutral,0.0,289,0,0.0325,False
neutral/rep0290,neutral,0.0,290,0,0.005,False
neutral/rep0291,neutral,0.0,291,0,0.3225,False
neutral/rep0292,neutral,0.0,292,0,0.79,False
neutral/rep0293,neutral,0.0,293,0,0.005,False
neutral/rep0294,neutral,0.0,294,0,0.0025,False
neutral/rep0295,neutral,0.0,295,0,0.0025,False
neutral/rep0296,neutral,0.0,296,0,0.2325,False
neutral/rep0297,neutral,0.0,297,0,0.0225,False
neutral/rep0298,neutral,0.0,298,0,0.0025,False
neutral/rep0299,neutral,0.0,299,0,0.0025,False
neutral/rep0300,neutral,0.0,300,0,0.5875,False
neutral/rep0301,neutral,0.0,301,0,0.0025,False
neutral/rep0302,neutral,0.0,302,0,0.2025,False
neutral/rep0303,neutral,0.0,303,0,0.0025,False
neutral/rep0304,neutral,0.0,304,0,0.005,False
neutral/rep0305,neutral,0.0,305,0,0.2475,False
neutral/rep0306,neutral,0.0,306,0,0.615,False
neutral/rep0307,neutral,0.0,307,0,0.005,False
neutral/rep0308,neutral,0.0,308,0,0.0025,False
neutral/rep0309,neutral,0.0,309,0,0.0025,False
neutral/rep0310,neutral,0.0,310,0,0.7575,False
neutral/rep0311,neutral,0.0,311,0,0.0025,False
neutral/rep0312,neutral,0.0,312,0,0.005,False
neutral/rep0313,neutral,0.0,313,0,0.0075,False
neutral/rep0314,neutral,0.0,314,0,0.005,False
neutral/rep0315,neutral,0.0,315,0,0.415,False
neutral/rep0316,neutral,0.0,316,0,0.0075,False
neutral/rep0317,neutral,0.0,317,0,0.015,False
neutral/rep0318,neutral,0.0,318,0,0.0075,False
neutral/rep0319,neutral,0.0,319,0,0.0025,False
neutral/rep0320,neutral,0.0,320,0,0.02,False
neutral/rep0321,neutral,0.0,321,0,0.005,False
neutral/rep0322,neutral,0.0,322,0,0.925,False
neutral/rep0323,neutral,0.0,323,0,0.0025,False
neutral/rep0324,neutral,0.0,324,0,0.0075,False
neutral/rep0325,neutral,0.0,325,0,0.005,False
neutral/rep0326,neutral,0.0,326,0,0.5725,False
neutral/rep0327,neutral,0.0,327,0,0.7075,False
neutral/rep0328,neutral,0.0,328,0,0.0025,False
neutral/rep0329,neutral,0.0,329,0,0.0025,False
neutral/rep0330,neutral,0.0,330,0,0.4325,False
neutral/rep0331,neutral,0.0,331,0,0.005,False
neutral/rep0332,neutral,0.0,332,0,0.0025,False
neutral/rep0333,neutral,0.0,333,0,0.0425,False
neutral/rep0334,neutral,0.0,334,0,0.02,False
neutral/rep0335,neutral,0.0,335,0,0.0025,False
neutral/rep0336,neutral,0.0,336,0,0.005,False
neutral/rep0337,neutral,0.0,337,0,0.025,False
neutral/rep0338,neutral,0.0,338,0,0.0025,False
neutral/rep0339,neutral,0.0,339,0,0.835,False
neutral/rep0340,neutral,0.0,340,0,0.1625,False
neutral/rep0341,neutral,0.0,341,0,0.4575,False
neutral/rep0342,neutral,0.0,342,0,0.01,False
neutral/rep0343,neutral,0.0,343,0,0.0025,False
neutral/rep0344,neutral,0.0,344,0,0.0025,False
neutral/rep0345,neutral,0.0,345,0,0.0025,False
neutral/rep0346,neutral,0.0,346,0,0.0075,False
neutral/rep0347,neutral,0.0,347,0,0.1025,False
neutral/rep0348,neutral,0.0,348,0,0.235,False
neutral/rep0349,neutral,0.0,349,0,0.03,False
neutral/rep0350,neutral,0.0,350,0,0.595,False
neutral/rep0351,neutral,0.0,351,0,0.545,False
neutral/rep0352,neutral,0.0,352,0,0.8875,False
neutral/rep0353,neutral,0.0,353,0,0.0025,False
neutral/rep0354,neutral,0.0,354,0,0.4475,False
neutral/rep0355,neutral,0.0,355,0,0.165,False
neutral/rep0356,neutral,0.0,356,0,0.0075,False
neutral/rep0357,neutral,0.0,357,0,0.45,False
neutral/rep0358,neutral,0.0,358,0,0.0025,False
neutral/rep0359,neutral,0.0,359,0,0.0025,False
neutral/rep0360,neutral,0.0,360,0,0.015,False
neutral/rep0361,neutral,0.0,361,0,0.0625,False
neutral/rep0362,neutral,0.0,362,0,0.0025,False
neutral/rep0363,neutral,0.0,363,0,0.3425,False
neutral/rep0364,neutral,0.0,364,0,0.0025,False
neutral/rep0365,neutral,0.0,365,0,0.0025,False
neutral/rep0366,neutral,0.0,366,0,0.7275,False
neutral/rep0367,neutral,0.0,367,0,0.0025,False
neutral/rep0368,neutral,0.0,368,0,0.0025,False
neutral/rep0369,neutral,0.0,369,0,0.04,False
neutral/rep0370,neutral,0.0,370,0,0.025,False
neutral/rep0371,neutral,0.0,371,0,0.0075,False
neutral/rep0372,neutral,0.0,372,0,0.0725,False
neutral/rep0373,neutral,0.0,373,0,0.0225,False
neutral/rep0374,neutral,0.0,374,0,0.495,False
neutral/rep0375,neutral,0.0,375,0,0.6925,False
neutral/rep0376,neutral,0.0,376,0,0.0025,False
neutral/rep0377,neutral,0.0,377,0,0.0075,False
neutral/rep0378,neutral,0.0,378,0,0.0675,False
neutral/rep0379,neutral,0.0,379,0,0.98,False
neutral/rep0380,neutral,0.0,380,0,0.525,False
neutral/rep0381,neutral,0.0,381,0,0.44,False
neutral/rep0382,neutral,0.0,382,0,0.0025,False
neutral/rep0383,neutral,0.0,383,0,0.9,False
neutral/rep0384,neutral,0.0,384,0,0.0025,False
neutral/rep0385,neutral,0.0,385,0,0.0025,False
neutral/rep0386,neutral,0.0,386,0,0.235,False
neutral/rep0387,neutral,0.0,387,0,0.015,False
neutral/rep0388,neutral,0.0,388,0,0.6675,False
neutral/rep0389,neutral,0.0,389,0,0.2075,False
neutral/rep0390,neutral,0.0,390,0,0.01,False
neutral/rep0391,neutral,0.0,391,0,0.03,False
neutral/rep0392,neutral,0.0,392,0,0.0075,False
neutral/rep0393,neutral,0.0,393,0,0.005,False
neutral/rep0394,neutral,0.0,394,0,0.0925,False
neutral/rep0395,neutral,0.0,395,0,0.5725,False
neutral/rep0396,neutral,0.0,396,0,0.0075,False
neutral/rep0397,neutral,0.0,397,0,0.0125,False
neutral/rep0398,neutral,0.0,398,0,0.2175,False
neutral/rep0399,neutral,0.0,399,0,0.1875,False
neutral/rep0400,neutral,0.0,400,0,0.515,False
