replicate	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	focal_allele_outcome	focal_population_allele_frequency	ancestry_seconds	slim_seconds
37	0.0085	17	13208.415504854389	lost	0.0	27.885821599978954	5.7014658999978565
38	0.006	12	18088.128804024796	lost	0.0	31.790119500015862	4.867634799971711
39	0.0045	9	24220.31105278421	lost	0.0	30.816660100012086	4.857238799973857
40	0.0085	17	10516.139830437067	lost	0.0	23.17853189999005	3.6267914999625646
41	0.0095	19	29227.221298046068	lost	0.0	22.1349901999929	3.4755281999823637
42	0.0045	9	9767.538319200385	lost	0.0	16.94684949994553	4.38191579998238
43	0.009	18	11824.494808443565	lost	0.0	19.092924600001425	3.589682799996808
44	0.005	10	29360.818274408568	lost	0.0	23.759843899984844	6.111118000000715
45	0.006	12	17610.87774939107	lost	0.0	22.143211799964774	4.675910199992359
46	0.008	16	16337.178174716179	lost	0.0	22.37168290000409	4.571266399987508
47	0.008	16	41823.842751600045	lost	0.0	24.08946930000093	4.981672299967613
48	0.006	12	14424.944244089174	lost	0.0	29.572395199968014	3.202930799976457
49	0.0065	13	22548.779838712508	lost	0.0	30.569114700017963	3.5320549000171013
50	0.008	16	32402.888147039404	lost	0.0	32.87064909999026	4.820828899974003
51	0.007	14	14616.617343018406	lost	0.0	29.402199000003748	3.9770432999939658
52	0.0065	13	14961.59540010075	lost	0.0	31.754797599976882	5.41009939997457
53	0.0065	13	16547.933943487136	lost	0.0	32.46907440002542	5.851518800016493
54	0.0065	13	19246.093298435302	lost	0.0	32.885464199993294	5.62216750002699
55	0.005	10	22881.47652752492	lost	0.0	31.9114266000106	5.466848099953495
56	0.0065	13	18650.179057918616	lost	0.0	32.15773580002133	5.238004699989688
57	0.0065	13	29651.863949578365	lost	0.0	31.405597100034356	5.171834299981128
58	0.0075	15	16160.726127604441	lost	0.0	30.010395999997854	5.638804699992761
59	0.006	12	14677.183136088926	lost	0.0	29.997125399997458	5.149625000020023
60	0.0075	15	20637.52493249347	lost	0.0	29.86333600000944	5.350392599997576
61	0.0045	9	19281.749892081276	lost	0.0	29.478213700000197	4.967401699977927
62	0.0085	17	17065.901910801545	lost	0.0	21.20564540004125	3.3055145000107586
63	0.006	12	14155.645801466637	lost	0.0	20.051105100021232	3.3742464000242762
64	0.0075	15	24665.427972907542	lost	0.0	19.532855099998415	4.241214399982709
65	0.0075	15	12305.5149441323	lost	0.0	19.533864600001834	4.202002799953334
66	0.005	10	21976.000468226746	lost	0.0	20.478549299994484	5.507824799977243
67	0.004	8	29088.182791917745	lost	0.0	18.538833099999465	3.917838199995458
68	0.008	16	21366.35622349558	lost	0.0	17.371746200020425	3.9716382999904454
69	0.0045	9	15327.021473925695	lost	0.0	21.659961999976076	4.927385599992704
70	0.0115	23	9999.42607229279	lost	0.0	27.162221600010525	3.360848599986639
71	0.006	12	9189.793463218526	lost	0.0	28.35905869997805	4.160459299979266
72	0.0055	11	21528.898568306646	lost	0.0	29.82461010001134	4.294475200003944
73	0.007	14	17764.753443892947	lost	0.0	27.37553439999465	4.832823299977463
74	0.004	8	15730.868238692132	lost	0.0	26.512028499972075	3.7473370999796316
75	0.0115	23	22646.777286020166	lost	0.0	28.494702299998607	4.603255599969998
76	0.007	14	22785.62999799256	lost	0.0	28.181863899983	5.389735299977474
77	0.0065	13	13030.912003319658	lost	0.0	28.754260500019882	3.949565499962773
78	0.0055	11	14834.849012031003	lost	0.0	28.044077300000936	4.3274988000048324
79	0.0045	9	13159.855787315415	lost	0.0	24.046728300047107	3.8027366999886
80	0.005	10	10103.06630759827	lost	0.0	27.603818500007037	4.648029699979816
81	0.0075	15	23142.706926394516	lost	0.0	28.624572600005195	5.1741907999967225
82	0.005	10	8999.118727781699	lost	0.0	26.395575000031386	4.040242799965199
83	0.005	10	23548.706408602913	lost	0.0	26.999434700002894	3.515527200012002
84	0.0045	9	24987.34878334888	lost	0.0	24.907262999971863	4.042886900017038
85	0.0045	9	21656.776530944077	lost	0.0	23.898624300025403	4.060890400025528
86	0.0055	11	8783.173804055832	lost	0.0	24.717247100023087	3.9954547000234015
87	0.0075	15	60767.537067232624	lost	0.0	24.37792110000737	4.512624699971639
88	0.0075	15	20142.46870167328	lost	0.0	22.819169800030068	5.573688700038474
89	0.006	12	24347.283316958226	lost	0.0	24.496143999975175	4.180997799965553
90	0.006	12	12105.70045621262	lost	0.0	22.561776700022165	4.529823500022758
91	0.006	12	34451.21141102582	lost	0.0	24.06169990001945	4.001376100000925
92	0.004	8	13743.489911964205	lost	0.0	22.82113430002937	4.179950200021267
93	0.006	12	22049.25591155754	lost	0.0	21.81660770002054	4.3091582000488415
