position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations	selected_attempt	population_focal_allele_frequency	sample_focal_allele_frequency
1950000.0	2	hom_alt	21	10137.626197668738	2503.527698582116	6056.407345660476	16969.047664420577	8	0.102125	0.10275
2000000.0	0	hom_ref	1610	12033.085129319816	141.35955551220297	11758.98695395159	12313.572444333695	8	0.102125	0.10275
2000000.0	2	hom_alt	21	7540.655836906342	1306.4487344185504	5253.569038748882	10823.40215409276	8	0.102125	0.10275
2050000.0	0	hom_ref	1610	26244.44549783001	756.2944078477852	24802.165090678296	27770.596517295144	8	0.102125	0.10275
2050000.0	2	hom_alt	21	29771.80447668034	7350.364240339358	17788.604062924678	49827.42539337594	8	0.102125	0.10275
2100000.0	0	hom_ref	1610	44523.88552018772	937.8559196524773	42721.82127510106	46401.96327421419	8	0.102125	0.10275
2100000.0	2	hom_alt	21	31504.149079852592	8220.893260126662	18279.76426041582	54295.6350588626	8	0.102125	0.10275
2150000.0	0	hom_ref	1610	25494.655153566982	926.069525078824	23741.424062251917	27377.35696456146	8	0.102125	0.10275
2150000.0	2	hom_alt	21	14157.519099682691	6056.851711680695	5799.84767533938	34558.72606967245	8	0.102125	0.10275
2200000.0	0	hom_ref	1610	25155.129163941074	667.378500912131	23879.582909137152	26498.809701254668	8	0.102125	0.10275
2200000.0	2	hom_alt	21	19471.34239586305	5207.043479425836	11146.366689288092	34014.059044126836	8	0.102125	0.10275
2250000.0	0	hom_ref	1610	29876.503017416533	625.6449727068025	28674.199373472577	31129.21902103663	8	0.102125	0.10275
2250000.0	2	hom_alt	21	24154.880337008995	5695.098623689174	14771.061927329809	39500.08787219922	8	0.102125	0.10275
2300000.0	0	hom_ref	1610	16430.204941338972	239.13271337117123	15967.792411078799	16906.008511677628	8	0.102125	0.10275
2300000.0	2	hom_alt	21	12341.261901765341	2138.6024995412427	8597.523235838737	17715.18856652515	8	0.102125	0.10275
2350000.0	0	hom_ref	1610	24117.201423960378	386.776893751694	23370.369850045252	24887.899004420342	8	0.102125	0.10275
2350000.0	2	hom_alt	21	19438.170961704	3851.055170171697	12858.067225798422	29385.63655806135	8	0.102125	0.10275
2400000.0	0	hom_ref	1610	10080.85981854713	109.4088191391333	9868.52908401631	10297.759049602868	8	0.102125	0.10275
2400000.0	2	hom_alt	21	8603.60347551862	1117.221200285701	6562.08426055537	11280.256367462638	8	0.102125	0.10275
2450000.0	0	hom_ref	1610	13967.809509338336	243.1402751890895	13498.954224634725	14452.949409452624	8	0.102125	0.10275
2450000.0	2	hom_alt	21	15053.85995490315	2396.351178819976	10800.36574093377	20982.50235016984	8	0.102125	0.10275
2500000.0	0	hom_ref	1610	32078.285970732457	706.9908382160443	30721.112382712276	33495.41572586904	8	0.102125	0.10275
2500000.0	2	hom_alt	21	39301.23030771102	6266.234791148551	28181.545163818737	54808.44626230012	8	0.102125	0.10275
2550000.0	0	hom_ref	1610	6418.018672037168	97.99199092039211	6228.66285948601	6613.131036926408	8	0.102125	0.10275
2550000.0	2	hom_alt	21	5654.346145258109	518.6518179526506	4669.663107894012	6846.66743439105	8	0.102125	0.10275
2600000.0	0	hom_ref	1610	19575.70409064578	264.67132213579504	19063.3904782687	20101.78572806154	8	0.102125	0.10275
2600000.0	2	hom_alt	21	22280.159242133035	2368.860126386285	17848.39848111861	27812.32704883531	8	0.102125	0.10275
2650000.0	0	hom_ref	1610	28301.234591025812	967.3954155016415	26465.958552265234	30263.777440538663	8	0.102125	0.10275
2650000.0	2	hom_alt	21	32047.919447412038	8319.836843425292	18647.33676219252	55078.59669216644	8	0.102125	0.10275
2700000.0	0	hom_ref	1610	17597.987831826442	371.9291305203953	16883.385450937356	18342.83631260209	8	0.102125	0.10275
2700000.0	2	hom_alt	21	20192.959014780186	3285.473690009452	14381.45514775969	28352.87455846299	8	0.102125	0.10275
2750000.0	0	hom_ref	1610	14332.5515947567	310.6679027739536	13735.967230797058	14955.046977382952	8	0.102125	0.10275
2750000.0	2	hom_alt	21	12701.341714639046	2497.140557886005	8428.323645469643	19140.70794359495	8	0.102125	0.10275
2800000.0	0	hom_ref	1610	26138.947574795046	731.5926917337139	24742.6503973141	27614.041719316065	8	0.102125	0.10275
2800000.0	2	hom_alt	21	21631.851030224556	5490.823560715638	12739.223120120816	36731.987075000645	8	0.102125	0.10275
2850000.0	0	hom_ref	1610	14350.961628156849	270.67539499271743	13829.748800553007	14891.817821347197	8	0.102125	0.10275
2850000.0	2	hom_alt	21	14523.779433066762	2732.8659676907696	9808.821139568465	21505.149907306117	8	0.102125	0.10275
2900000.0	0	hom_ref	1610	28544.35788157427	555.2211765421289	27475.83801151707	29654.431887750212	8	0.102125	0.10275
2900000.0	2	hom_alt	21	23566.473147363857	5319.7022149469585	14716.315931887424	37738.97347514965	8	0.102125	0.10275
2950000.0	0	hom_ref	1610	45149.476105440976	876.7856132365665	43462.05549677867	46902.41106398831	8	0.102125	0.10275
2950000.0	2	hom_alt	21	30843.792630099215	7349.932802149879	18762.498164202287	50704.311093480144	8	0.102125	0.10275
3000000.0	0	hom_ref	1610	19545.01137879851	299.90289319057473	18965.533947745138	20142.194300982555	8	0.102125	0.10275
3000000.0	2	hom_alt	21	20101.720417109376	2378.6689246071783	15704.856454743998	25729.56746800261	8	0.102125	0.10275
3050000.0	0	hom_ref	1610	18899.75574943709	269.9333439367851	18377.645188994728	19436.699518080066	8	0.102125	0.10275
3050000.0	2	hom_alt	21	16925.795762642338	2623.8136968771464	12249.383824039938	23387.50800154103	8	0.102125	0.10275
3100000.0	0	hom_ref	1610	10767.645928480077	220.25612348212744	10344.178848462521	11208.448784539947	8	0.102125	0.10275
3100000.0	2	hom_alt	21	8442.021278729042	982.6858806509164	6622.063791323037	10762.161996067876	8	0.102125	0.10275
3150000.0	0	hom_ref	1610	11661.746645536721	153.55499002692264	11364.413974340407	11966.85857552811	8	0.102125	0.10275
3150000.0	2	hom_alt	21	10525.745313744896	1538.9675865453366	7758.8629722737605	14279.323504711267	8	0.102125	0.10275
3200000.0	0	hom_ref	1610	16437.206315808573	209.70515350478777	16030.986170122278	16853.719952176616	8	0.102125	0.10275
3200000.0	2	hom_alt	21	14327.19810273303	2061.533055690023	10612.276640315704	19342.56073717	8	0.102125	0.10275
3250000.0	0	hom_ref	1610	24458.80740017774	446.8314332292428	23597.891324386746	25351.132065802743	8	0.102125	0.10275
3250000.0	2	hom_alt	21	26216.203749962628	3961.916865251101	19127.689714506334	35931.64408863858	8	0.102125	0.10275
3300000.0	0	hom_ref	1610	17815.254459892418	296.90807082513777	17242.30295196108	18407.244806855608	8	0.102125	0.10275
3300000.0	2	hom_alt	21	21584.734709590604	2496.4532552798587	16957.791392913256	27474.142221026945	8	0.102125	0.10275
3350000.0	0	hom_ref	1610	12855.124851104427	309.2263531508329	12262.682256279593	13476.189913740742	8	0.102125	0.10275
3350000.0	2	hom_alt	21	23022.375716140592	3519.3685934071873	16736.48361266151	31669.124523514678	8	0.102125	0.10275
3400000.0	0	hom_ref	1610	16482.169908718268	279.026918189334	15943.862280350118	17038.652248938793	8	0.102125	0.10275
