attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds
862	939397	False	lost	0.0	9.489999996503684e-06	0.5846577199999956
863	939407	False	segregating	0.017425	1.1314000005313574e-05	2.996738424
864	939417	False	lost	0.0	7.164999999531574e-06	0.5289626340000098
865	939427	False	lost	0.0	8.828999995103004e-06	0.5262835470000198
866	939437	False	lost	0.0	1.2876999988975513e-05	0.5491259989999833
867	939447	False	lost	0.0	9.849999997868508e-06	0.5458476960000098
868	939457	False	lost	0.0	1.1515000011286247e-05	0.5402506550000226
869	939467	False	lost	0.0	1.227500001732551e-05	0.5019458440000051
870	939477	False	lost	0.0	1.228600001468294e-05	0.5279543270000033
871	939487	False	lost	0.0	3.539400000818205e-05	0.5131969910000009
872	939497	False	lost	0.0	2.0442999982606125e-05	0.536085780999997
873	939507	False	lost	0.0	9.028999983229369e-06	0.5168322780000096
874	939517	False	lost	0.0	1.4310000011619195e-05	0.5003758680000203
875	939527	False	lost	0.0	9.169000009023875e-06	0.5215537409999911
876	939537	False	segregating	0.098925	2.819899998485198e-05	3.0130668649999848
877	939547	False	lost	0.0	0.00020318800000040937	0.5545232270000042
878	939557	False	lost	0.0	2.1384999996598708e-05	0.5487379869999813
879	939567	False	lost	0.0	2.2518000008631134e-05	0.5382176239999978
880	939577	False	segregating	0.10455	9.013999999751832e-06	3.231649231999995
881	939587	False	lost	0.0	9.094000006371061e-06	0.5112126239999952
882	939597	False	lost	0.0	9.464000015668717e-06	0.5223158429999728
883	939607	False	lost	0.0	9.443999999803054e-06	0.5389993879999793
884	939617	False	lost	0.0	1.2840000010783115e-05	0.5185204020000072
885	939627	False	lost	0.0	7.882000005565715e-06	0.5476279860000091
886	939637	False	lost	0.0	7.301000010784264e-06	0.5283773669999903
887	939647	False	lost	0.0	7.941999996319282e-06	0.5473949150000124
888	939657	False	lost	0.0	1.2479000019993691e-05	0.4930535750000047
889	939667	False	lost	0.0	1.940999999305859e-05	0.5171028200000194
890	939677	False	lost	0.0	1.256000001603752e-05	0.5181820800000025
891	939687	False	lost	0.0	9.363999993183825e-06	0.7545765030000098
892	939697	False	lost	0.0	1.0776999999961845e-05	0.4907210750000104
893	939707	False	lost	0.0	2.0921999976053485e-05	0.536226733999996
894	939717	False	segregating	0.036575	1.7396999993479767e-05	3.0237299500000177
895	939727	False	lost	0.0	1.708600001393279e-05	0.5051233089999982
896	939737	False	lost	0.0	2.4387999985719944e-05	0.5088098139999886
897	939747	False	lost	0.0	2.1413000013126293e-05	0.5542345949999969
898	939757	False	lost	0.0	1.1567999990802491e-05	0.5620092239999792
899	939767	False	lost	0.0	1.834900001540518e-05	0.5139345329999969
900	939777	False	lost	0.0	1.4924999987897536e-05	0.5652234529999873
901	939787	False	lost	0.0	7.869000000937376e-06	0.5213602120000189
902	939797	False	lost	0.0	7.768000017449594e-06	0.5244952459999865
903	939807	False	lost	0.0	9.452999989889577e-06	0.5703907969999875
904	939817	False	lost	0.0	1.1798000002727349e-05	0.5874250600000153
905	939827	False	lost	0.0	9.914000003163892e-06	0.5415197220000039
906	939837	False	lost	0.0	9.992999991936813e-06	0.544567537000006
907	939847	False	lost	0.0	9.001999984548092e-06	0.4905422280000096
908	939857	False	lost	0.0	1.2749999996231054e-05	0.4927516740000044
909	939867	False	lost	0.0	9.041999987857707e-06	0.521262551999996
910	939877	False	segregating	0.12115	1.347200000623161e-05	2.8207163390000005
911	939887	False	lost	0.0	2.277400000139096e-05	0.4947394709999742
912	939897	False	lost	0.0	2.1510999999918567e-05	0.5266390430000172
913	939907	False	lost	0.0	2.1169999996573097e-05	0.5444748349999884
914	939917	False	lost	0.0	1.9395999999005653e-05	0.5784209409999903
915	939927	False	lost	0.0	2.1420999985366507e-05	0.5105234050000149
916	939937	False	lost	0.0	2.3124000023244662e-05	0.5551135089999946
917	939947	False	lost	0.0	2.0497999997814986e-05	0.5141452179999817
918	939957	False	lost	0.0	1.4894999992520752e-05	0.5138492449999887
919	939967	False	lost	0.0	1.85339999916323e-05	0.5508227309999825
920	939977	False	lost	0.0	8.293000007597584e-06	0.5416261370000086
921	939987	False	lost	0.0	1.130799998350085e-05	0.7472514250000017
922	939997	False	lost	0.0	8.273999981156521e-06	0.5283928320000086
923	940007	False	lost	0.0	8.474000026126305e-06	0.5266469590000042
924	940017	False	lost	0.0	8.653999998387008e-06	0.5278931729999954
925	940027	False	lost	0.0	8.233000016844016e-06	0.5276176129999897
926	940037	False	lost	0.0	7.691999996950472e-06	0.5109221619999857
927	940047	False	lost	0.0	7.713000002240733e-06	0.5237302419999992
928	940057	False	lost	0.0	9.33500001565335e-06	0.5024914920000185
929	940067	False	lost	0.0	1.2269999984937385e-05	0.522260225999986
930	940077	False	lost	0.0	1.2370000007422277e-05	0.5024545500000102
931	940087	False	lost	0.0	2.1164000003182082e-05	0.5174916800000062
932	940097	False	lost	0.0	1.198000001068067e-05	0.49580804199999307
933	940107	False	lost	0.0	2.1914999990713113e-05	0.5254322049999871
934	940117	False	lost	0.0	1.4002000000346015e-05	0.4888899049999793
935	940127	False	lost	0.0	2.2426000015229874e-05	0.5074310990000015
936	940137	False	lost	0.0	1.0738000014498539e-05	0.545715174999998
937	940147	False	lost	0.0	2.0793000004459827e-05	0.5170175700000073
938	940157	False	lost	0.0	1.0567000003902649e-05	0.5196999400000095
939	940167	False	segregating	0.045	2.3147000007384122e-05	2.7938003149999986
940	940177	False	segregating	0.082425	1.3390999981766072e-05	2.6972875920000092
941	940187	False	lost	0.0	9.215000005724505e-06	0.531903686999982
942	940197	False	lost	0.0	9.00400002024071e-06	0.5181201500000157
943	940207	False	lost	0.0	1.048699999728342e-05	0.5338161709999838
944	940217	False	lost	0.0	8.75399999245019e-06	0.5327396280000016
945	940227	False	lost	0.0	9.705000024951005e-06	0.528770030000004
