arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	20000.0	0.01	0.045883375000000004	0.036568750000000004	0.9886501418732266
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	30000.0	0.08	0.10039962499999999	0.31454375	0.7388782640216998
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	50000.0	0.16	0.203113625	0.30378125	0.7271784102698716
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	20000.0	0.04	0.045883375000000004	0.42896249999999997	0.6607917401032487
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	30000.0	0.06	0.10039962499999999	0.1332125	0.903263709203635
recent 5 kya, s=0.05	recent5k_s0p05	6	0.005	50000.0	0.11	0.203113625	0.06848125	0.946425669679129
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	15000.0	0.0	0.02339975	0.04785625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	20000.0	0.04	0.045883375000000004	0.42896249999999997	0.6607917401032487
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	30000.0	0.11	0.10039962499999999	0.63904375	0.4095198810014875
recent 5 kya, s=0.05	recent5k_s0p05	7	0.005	50000.0	0.31	0.203113625	0.91655	0.09031137110786115
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	7500.0	0.01	0.004046	0.804	0.3238084523943451
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	15000.0	0.02	0.02339975	0.4556125	0.6759665504181198
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	20000.0	0.06	0.045883375000000004	0.748875	0.3144210697366283
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	30000.0	0.09	0.10039962499999999	0.42465625	0.6320420994737566
recent 5 kya, s=0.05	recent5k_s0p05	8	0.025	50000.0	0.15	0.203113625	0.2441	0.7846276921538481
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	3000.0	0.01	0.001476625	0.92623125	0.136198297521281
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	5000.0	0.01	0.002681	0.8691	0.2277971525355933
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	7500.0	0.02	0.004046	0.9601124999999999	0.06821164735440807
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	10000.0	0.02	0.007332625000000001	0.8952187500000001	0.16704791190110124
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	15000.0	0.06	0.02339975	0.9782437500000001	0.03323708453644329
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	20000.0	0.07	0.045883375000000004	0.8548250000000001	0.1878476519043512
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	30000.0	0.22	0.10039962499999999	0.993925	0.007387407657404282
recent 5 kya, s=0.05	recent5k_s0p05	9	0.01	50000.0	0.34	0.203113625	0.94943125	0.05498681266484169
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	15000.0	0.02	0.02339975	0.4556125	0.6759665504181198
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	20000.0	0.05	0.045883375000000004	0.60215	0.48129398382520217
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	30000.0	0.07	0.10039962499999999	0.21540625	0.8303146210672366
recent 5 kya, s=0.05	recent5k_s0p05	10	0.01	50000.0	0.16	0.203113625	0.30378125	0.7271784102698716
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	10000.0	0.0	0.007332625000000001	0.24276875	1.0
