position_0based	origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_statistic	auc_vs_neutral
1320000.0	introgressed	0.002	unconditional	20000.0	80	0.04874999999999998	0.5537142187499999
1330000.0	introgressed	0.002	unconditional	20000.0	80	0.04774999999999999	0.5382532812499999
1340000.0	introgressed	0.002	unconditional	20000.0	80	0.04649999999999998	0.5196406250000001
1350000.0	introgressed	0.002	unconditional	20000.0	80	0.048749999999999974	0.5419501562500001
1360000.0	introgressed	0.002	unconditional	20000.0	80	0.048999999999999974	0.544639921875
1370000.0	introgressed	0.002	unconditional	20000.0	80	0.05012499999999999	0.5566690624999999
1380000.0	introgressed	0.002	unconditional	20000.0	80	0.051124999999999976	0.5718546093749999
1390000.0	introgressed	0.002	unconditional	20000.0	80	0.049874999999999975	0.5580735937500001
1400000.0	introgressed	0.002	unconditional	20000.0	80	0.05062499999999996	0.561433828125
1410000.0	introgressed	0.002	unconditional	20000.0	80	0.05012499999999996	0.5557040625
1420000.0	introgressed	0.002	unconditional	20000.0	80	0.048499999999999974	0.5260442187499998
1430000.0	introgressed	0.002	unconditional	20000.0	80	0.04949999999999997	0.5392747656249999
1440000.0	introgressed	0.002	unconditional	20000.0	80	0.051624999999999976	0.55847328125
1450000.0	introgressed	0.002	unconditional	20000.0	80	0.04987499999999999	0.535770703125
1460000.0	introgressed	0.002	unconditional	20000.0	80	0.049749999999999975	0.5339742968749998
1470000.0	introgressed	0.002	unconditional	20000.0	80	0.048874999999999974	0.5340074218749999
1480000.0	introgressed	0.002	unconditional	20000.0	80	0.046874999999999986	0.504500078125
1490000.0	introgressed	0.002	unconditional	20000.0	80	0.04774999999999999	0.5141456250000002
1500000.0	introgressed	0.002	unconditional	20000.0	80	0.04862499999999999	0.5260241406249999
1510000.0	introgressed	0.002	unconditional	20000.0	80	0.049999999999999975	0.54204421875
1520000.0	introgressed	0.002	unconditional	20000.0	80	0.04999999999999998	0.5423501562499999
1530000.0	introgressed	0.002	unconditional	20000.0	80	0.049874999999999996	0.5480124999999998
1540000.0	introgressed	0.002	unconditional	20000.0	80	0.04974999999999999	0.545673515625
1550000.0	introgressed	0.002	unconditional	20000.0	80	0.04774999999999997	0.5227718749999999
1560000.0	introgressed	0.002	unconditional	20000.0	80	0.04749999999999998	0.5219587499999998
1570000.0	introgressed	0.002	unconditional	20000.0	80	0.04587499999999998	0.4925540625
1580000.0	introgressed	0.002	unconditional	20000.0	80	0.04437499999999998	0.48907531250000014
1590000.0	introgressed	0.002	unconditional	20000.0	80	0.04399999999999999	0.48307101562500004
1600000.0	introgressed	0.002	unconditional	20000.0	80	0.04375	0.48412960937499994
1610000.0	introgressed	0.002	unconditional	20000.0	80	0.04587499999999999	0.5104814062500002
1620000.0	introgressed	0.002	unconditional	20000.0	80	0.04599999999999999	0.515997109375
1630000.0	introgressed	0.002	unconditional	20000.0	80	0.045875	0.512513671875
1640000.0	introgressed	0.002	unconditional	20000.0	80	0.04537499999999999	0.5061028125000001
1650000.0	introgressed	0.002	unconditional	20000.0	80	0.044124999999999984	0.47980007812500014
1660000.0	introgressed	0.002	unconditional	20000.0	80	0.04312499999999999	0.46283835937499995
1670000.0	introgressed	0.002	unconditional	20000.0	80	0.04474999999999999	0.48052164062499986
1680000.0	introgressed	0.002	unconditional	20000.0	80	0.044749999999999984	0.48333640624999996
1690000.0	introgressed	0.002	unconditional	20000.0	80	0.04437499999999999	0.47108890625
1700000.0	introgressed	0.002	unconditional	20000.0	80	0.045124999999999985	0.4850514062500001
1710000.0	introgressed	0.002	unconditional	20000.0	80	0.044374999999999984	0.47310578125
1720000.0	introgressed	0.002	unconditional	20000.0	80	0.04424999999999997	0.47709515625000015
1730000.0	introgressed	0.002	unconditional	20000.0	80	0.04337499999999999	0.4677766406250001
1740000.0	introgressed	0.002	unconditional	20000.0	80	0.04299999999999998	0.465643125
1750000.0	introgressed	0.002	unconditional	20000.0	80	0.04224999999999998	0.45951281250000015
1760000.0	introgressed	0.002	unconditional	20000.0	80	0.04124999999999998	0.4378516406250002
1770000.0	introgressed	0.002	unconditional	20000.0	80	0.03987499999999998	0.420435546875
1780000.0	introgressed	0.002	unconditional	20000.0	80	0.03812499999999998	0.40125289062500025
1790000.0	introgressed	0.002	unconditional	20000.0	80	0.037999999999999985	0.39821101562500016
1800000.0	introgressed	0.002	unconditional	20000.0	80	0.03924999999999999	0.4133474218749999
1810000.0	introgressed	0.002	unconditional	20000.0	80	0.040499999999999994	0.43899078124999996
1820000.0	introgressed	0.002	unconditional	20000.0	80	0.04174999999999999	0.44945765625000006
1830000.0	introgressed	0.002	unconditional	20000.0	80	0.04124999999999998	0.44274703124999987
1840000.0	introgressed	0.002	unconditional	20000.0	80	0.04224999999999998	0.45474562500000015
1850000.0	introgressed	0.002	unconditional	20000.0	80	0.04062499999999998	0.4306900781249999
1860000.0	introgressed	0.002	unconditional	20000.0	80	0.040124999999999994	0.42174921875000004
1870000.0	introgressed	0.002	unconditional	20000.0	80	0.039624999999999994	0.4073552343750002
1880000.0	introgressed	0.002	unconditional	20000.0	80	0.03937499999999999	0.4079085937500003
1890000.0	introgressed	0.002	unconditional	20000.0	80	0.039	0.40153554687500026
1900000.0	introgressed	0.002	unconditional	20000.0	80	0.040374999999999994	0.4197803125000001
1910000.0	introgressed	0.002	unconditional	20000.0	80	0.039874999999999994	0.4151488281250003
1920000.0	introgressed	0.002	unconditional	20000.0	80	0.04037499999999999	0.42547906250000017
1930000.0	introgressed	0.002	unconditional	20000.0	80	0.042499999999999996	0.45631250000000023
1940000.0	introgressed	0.002	unconditional	20000.0	80	0.044	0.471300703125
1950000.0	introgressed	0.002	unconditional	20000.0	80	0.04312499999999998	0.4591439843750001
1960000.0	introgressed	0.002	unconditional	20000.0	80	0.045624999999999985	0.4933158593750001
1970000.0	introgressed	0.002	unconditional	20000.0	80	0.04649999999999997	0.5062153125
1980000.0	introgressed	0.002	unconditional	20000.0	80	0.04612499999999998	0.5055174218750002
1990000.0	introgressed	0.002	unconditional	20000.0	80	0.046249999999999986	0.49880695312500023
2000000.0	introgressed	0.002	unconditional	20000.0	80	0.045124999999999985	0.49383898437500007
2010000.0	introgressed	0.002	unconditional	20000.0	80	0.04499999999999998	0.4878710937500001
2020000.0	introgressed	0.002	unconditional	20000.0	80	0.04399999999999998	0.4828442187500001
2030000.0	introgressed	0.002	unconditional	20000.0	80	0.04349999999999998	0.4742010156250003
2040000.0	introgressed	0.002	unconditional	20000.0	80	0.04387499999999999	0.4729275000000001
2050000.0	introgressed	0.002	unconditional	20000.0	80	0.04637499999999998	0.5093172656249998
2060000.0	introgressed	0.002	unconditional	20000.0	80	0.046374999999999986	0.5138996093750001
2070000.0	introgressed	0.002	unconditional	20000.0	80	0.044624999999999984	0.4923938281249999
2080000.0	introgressed	0.002	unconditional	20000.0	80	0.045374999999999985	0.5060762499999998
2090000.0	introgressed	0.002	unconditional	20000.0	80	0.04699999999999998	0.5233268749999999
2100000.0	introgressed	0.002	unconditional	20000.0	80	0.045374999999999985	0.4998592187500003
2110000.0	introgressed	0.002	unconditional	20000.0	80	0.046374999999999986	0.510895
2120000.0	introgressed	0.002	unconditional	20000.0	80	0.04524999999999999	0.5012725781249999
2130000.0	introgressed	0.002	unconditional	20000.0	80	0.045249999999999985	0.4993532812500002
2140000.0	introgressed	0.002	unconditional	20000.0	80	0.04462499999999999	0.4882603125000002
2150000.0	introgressed	0.002	unconditional	20000.0	80	0.04399999999999997	0.47872101562500013
2160000.0	introgressed	0.002	unconditional	20000.0	80	0.043249999999999976	0.4593593750000002
2170000.0	introgressed	0.002	unconditional	20000.0	80	0.04224999999999998	0.45002703125000015
2180000.0	introgressed	0.002	unconditional	20000.0	80	0.04312499999999997	0.464213984375
2190000.0	introgressed	0.002	unconditional	20000.0	80	0.040749999999999974	0.43717046874999993
2200000.0	introgressed	0.002	unconditional	20000.0	80	0.042249999999999996	0.4566374218749999
2210000.0	introgressed	0.002	unconditional	20000.0	80	0.04162499999999999	0.4498859375000002
2220000.0	introgressed	0.002	unconditional	20000.0	80	0.04149999999999998	0.45303164062500023
