arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.1	recent5k_s0p1	10	0.565	50000.0	1.0	0.20292083333333336	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	500.0	0.0	4.154411764705882e-05	0.49929375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	1000.0	0.0	0.0003595588235294117	0.4938875	1.0
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	2000.0	0.0	0.001013235294117647	0.4830125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	3000.0	0.08823529411764706	0.001470220588235294	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	5000.0	1.0	0.0026922794117647058	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	7500.0	1.0	0.004072058823529412	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	10000.0	1.0	0.00725625	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	15000.0	1.0	0.023413970588235293	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	20000.0	1.0	0.04584926470588235	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	30000.0	1.0	0.10048161764705883	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	11	0.59	50000.0	1.0	0.20288014705882354	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	500.0	0.0	4.5138888888888894e-05	0.4991875	1.0
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	1000.0	0.0	0.0003479166666666667	0.4937375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	2000.0	0.0	0.0010020833333333333	0.48219375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	3000.0	0.0	0.0015034722222222224	0.473675	1.0
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	5000.0	1.0	0.002705902777777778	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	7500.0	1.0	0.004013888888888889	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	10000.0	1.0	0.00729826388888889	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	15000.0	1.0	0.023437500000000007	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	20000.0	1.0	0.045899652777777786	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	30000.0	1.0	0.1003982638888889	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	13	0.6	50000.0	1.0	0.20313055555555556	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	500.0	0.029411764705882353	4.154411764705882e-05	0.99929375	0.0014249821877226534
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	1000.0	0.029411764705882353	0.0003595588235294117	0.9938874999999999	0.012237347033162085
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	2000.0	0.029411764705882353	0.001013235294117647	0.9827750000000001	0.03398707516156048
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	3000.0	0.058823529411764705	0.001470220588235294	0.9994062499999999	0.0011999850001874976
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	5000.0	0.47058823529411764	0.0026922794117647058	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	7500.0	1.0	0.004072058823529412	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	10000.0	1.0	0.00725625	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	15000.0	1.0	0.023413970588235293	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	20000.0	1.0	0.04584926470588235	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	30000.0	1.0	0.10048161764705883	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	16	0.56	50000.0	1.0	0.20288014705882354	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	500.0	0.0	3.4166666666666666e-05	0.4994875	1.0
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	1000.0	0.0	0.0003233333333333333	0.49515	1.0
