origin	arm_id	selection_coefficient	replicate_index	sample_af	hom_carrier_diploids	genotype_class	n_pairs	threshold_years	statistic	null_mean	p_value	percentile
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	30000.0	0.11	0.10039962499999999	0.4095198810014875	0.63904375
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	40000.0	0.16	0.15611	0.451494356320546	0.5839624999999999
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	50000.0	0.17	0.203113625	0.665266684166448	0.3659875
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	100000.0	0.26	0.34436500000000003	0.7408157398032524	0.27808750000000004
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	1000.0	0.0	0.0003692307692307692	1.0	0.4976
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	4500.0	0.0	0.002375	1.0	0.4849375
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	10000.0	0.0	0.007346153846153845	1.0	0.45420625
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	20000.0	0.23076923076923078	0.04583173076923077	0.021387232659591755	0.98801875
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	30000.0	0.46153846153846156	0.10020865384615385	0.0016874789065136687	0.9990187500000001
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	40000.0	0.8461538461538461	0.15630576923076925	2.49996875039062e-05	0.99999375
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	50000.0	0.8461538461538461	0.20334615384615382	0.00023749703128710892	0.9998625
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	hom_carrier	13	100000.0	0.8461538461538461	0.3436009615384616	0.014774815314808565	0.9891375
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	4500.0	0.01	0.00241125	0.20712241096986286	0.8822375
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	10000.0	0.01	0.007332625000000001	0.5144685691428857	0.65925
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	20000.0	0.07	0.045883375000000004	0.1878476519043512	0.8548250000000001
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	30000.0	0.12	0.10039962499999999	0.31240859489256384	0.7288625
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	40000.0	0.22	0.15611	0.13672329095886301	0.87711875
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	50000.0	0.23	0.203113625	0.32223347208159897	0.6999
introgressed	eas_introgressed_s0p002	0.002	7	0.05	0	unconditional	100	100000.0	0.31	0.34436500000000003	0.5535805802427469	0.46531875
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	10000.0	0.0	0.007332625000000001	1.0	0.24276875
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	20000.0	0.04	0.045883375000000004	0.6607917401032487	0.42896249999999997
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	30000.0	0.17	0.10039962499999999	0.05667429157135536	0.95235625
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	40000.0	0.2	0.15611	0.21245984425194686	0.8083437499999999
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	50000.0	0.31	0.203113625	0.09031137110786115	0.91655
