origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_sample_af	mean_statistic	mean_null	auc	power	median_p
de_novo	0.05	unconditional	30000.0	20	1.0	0.094	0.10039962499999999	0.45302718749999993	0.05	0.6320420994737566
de_novo	0.05	unconditional	40000.0	20	1.0	0.159	0.15611	0.502439375	0.1	0.48965637929525885
de_novo	0.05	unconditional	50000.0	20	1.0	0.22000000000000003	0.203113625	0.5456496875	0.15	0.45239434507068665
de_novo	0.05	unconditional	100000.0	20	1.0	1.0	0.34436500000000003	0.9996124999999999	1.0	0.0007874901563730453
introgressed	0.002	hom_carrier	1000.0	35	0.5398571428571428	0.0010826865957650666	0.0003520894870877014	0.5230189285714286	0.05714285714285714	1.0
introgressed	0.002	hom_carrier	4500.0	35	0.5398571428571428	0.005411579027624724	0.0024046667691884132	0.5512848214285714	0.05714285714285714	1.0
introgressed	0.002	hom_carrier	10000.0	35	0.5398571428571428	0.018899690033499547	0.007331229101884377	0.6642798214285714	0.0	0.4443819452256847
introgressed	0.002	hom_carrier	20000.0	35	0.5398571428571428	0.14082607044564346	0.045921579338154314	0.8471735714285714	0.45714285714285713	0.05454931813352333
introgressed	0.002	hom_carrier	30000.0	35	0.5398571428571428	0.301638729888107	0.1004609823515863	0.917533392857143	0.6571428571428571	0.022199722503468706
introgressed	0.002	hom_carrier	40000.0	35	0.5398571428571428	0.5894490773260828	0.15616873616200808	0.9811325000000001	0.9142857142857143	0.0011624854689316383
introgressed	0.002	hom_carrier	50000.0	35	0.5398571428571428	0.7993141074957854	0.2030819621944535	0.9954892857142857	0.9714285714285714	6.24992187597655e-05
introgressed	0.002	hom_carrier	100000.0	35	0.5398571428571428	0.9055309238643414	0.3443366164231161	0.9679560714285713	0.8857142857142857	0.00213747328158398
introgressed	0.002	unconditional	1000.0	80	0.314875	0.0008750000000000001	0.00034862500000000003	0.52631875	0.0875	1.0
introgressed	0.002	unconditional	4500.0	80	0.314875	0.0032500000000000003	0.00241125	0.53989015625	0.0375	1.0
introgressed	0.002	unconditional	10000.0	80	0.314875	0.00975	0.007332625000000001	0.584306640625	0.0375	0.5144685691428857
introgressed	0.002	unconditional	20000.0	80	0.314875	0.052875000000000005	0.045883375000000004	0.5936828125	0.075	0.48129398382520217
introgressed	0.002	unconditional	30000.0	80	0.314875	0.111125	0.10039962499999999	0.58211828125	0.0375	0.4095198810014875
introgressed	0.002	unconditional	40000.0	80	0.314875	0.183875	0.15611	0.61259515625	0.125	0.380595242559468
introgressed	0.002	unconditional	50000.0	80	0.314875	0.246	0.203113625	0.62705328125	0.15	0.32223347208159897
introgressed	0.002	unconditional	100000.0	80	0.314875	0.331625	0.34436500000000003	0.46882250000000003	0.05	0.5535805802427469
introgressed	0.003	hom_carrier	1000.0	59	0.6471186440677966	0.0014428339248399615	0.0003498434357306811	0.5091273305084746	0.03389830508474576	1.0
introgressed	0.003	hom_carrier	4500.0	59	0.6471186440677966	0.005889160978101978	0.002401401660542122	0.5511917372881356	0.03389830508474576	1.0
introgressed	0.003	hom_carrier	10000.0	59	0.6471186440677966	0.016455741606097748	0.007338263525572519	0.6038742584745763	0.06779661016949153	1.0
introgressed	0.003	hom_carrier	20000.0	59	0.6471186440677966	0.11670009824213405	0.045903751930745175	0.7721268008474577	0.3389830508474576	0.10072374095323808
