position_0based	arm	threshold_years	genotype_class	method	n_replicates	mean_statistic
2040000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
2050000.0	neutral	1000.0	overall	truth	100	0.00045100000000000034
2060000.0	neutral	1000.0	overall	truth	100	0.00045300000000000044
2070000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
2080000.0	neutral	1000.0	overall	truth	100	0.0004570000000000003
2090000.0	neutral	1000.0	overall	truth	100	0.0004580000000000003
2100000.0	neutral	1000.0	overall	truth	100	0.00045900000000000026
2110000.0	neutral	1000.0	overall	truth	100	0.0004610000000000003
2120000.0	neutral	1000.0	overall	truth	100	0.0004600000000000003
2130000.0	neutral	1000.0	overall	truth	100	0.00046100000000000036
2140000.0	neutral	1000.0	overall	truth	100	0.00046000000000000034
2150000.0	neutral	1000.0	overall	truth	100	0.0004580000000000003
2160000.0	neutral	1000.0	overall	truth	100	0.0004580000000000003
2170000.0	neutral	1000.0	overall	truth	100	0.0004560000000000003
2180000.0	neutral	1000.0	overall	truth	100	0.0004520000000000002
2190000.0	neutral	1000.0	overall	truth	100	0.0004520000000000002
2200000.0	neutral	1000.0	overall	truth	100	0.0004510000000000002
2210000.0	neutral	1000.0	overall	truth	100	0.0004510000000000002
2220000.0	neutral	1000.0	overall	truth	100	0.0004530000000000002
2230000.0	neutral	1000.0	overall	truth	100	0.0004520000000000002
2240000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
2250000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
2260000.0	neutral	1000.0	overall	truth	100	0.00045400000000000025
2270000.0	neutral	1000.0	overall	truth	100	0.0004510000000000003
2280000.0	neutral	1000.0	overall	truth	100	0.0004490000000000003
2290000.0	neutral	1000.0	overall	truth	100	0.00044700000000000024
2300000.0	neutral	1000.0	overall	truth	100	0.0004440000000000002
2310000.0	neutral	1000.0	overall	truth	100	0.0004440000000000002
2320000.0	neutral	1000.0	overall	truth	100	0.0004460000000000002
2330000.0	neutral	1000.0	overall	truth	100	0.0004480000000000002
2340000.0	neutral	1000.0	overall	truth	100	0.0004520000000000002
2350000.0	neutral	1000.0	overall	truth	100	0.00045500000000000027
2360000.0	neutral	1000.0	overall	truth	100	0.0004540000000000001
2370000.0	neutral	1000.0	overall	truth	100	0.0004540000000000001
2380000.0	neutral	1000.0	overall	truth	100	0.0004550000000000002
2390000.0	neutral	1000.0	overall	truth	100	0.00045700000000000016
2400000.0	neutral	1000.0	overall	truth	100	0.00045400000000000025
2410000.0	neutral	1000.0	overall	truth	100	0.0004530000000000002
2420000.0	neutral	1000.0	overall	truth	100	0.00044900000000000023
2430000.0	neutral	1000.0	overall	truth	100	0.00044900000000000023
2440000.0	neutral	1000.0	overall	truth	100	0.00044800000000000026
2450000.0	neutral	1000.0	overall	truth	100	0.00044700000000000024
2460000.0	neutral	1000.0	overall	truth	100	0.00044600000000000027
