onset_years,source,pair_class,position_0based,mean_tmrca_years,mean_tmrca_years_n_regions,mean_tmrca_years_lower95,mean_tmrca_years_upper95,frac_recent_5000,frac_recent_5000_n_regions,frac_recent_5000_lower95,frac_recent_5000_upper95,frac_recent_10000,frac_recent_10000_n_regions,frac_recent_10000_lower95,frac_recent_10000_upper95,frac_recent_20000,frac_recent_20000_n_regions,frac_recent_20000_lower95,frac_recent_20000_upper95,frac_recent_30000,frac_recent_30000_n_regions,frac_recent_30000_lower95,frac_recent_30000_upper95,frac_recent_40000,frac_recent_40000_n_regions,frac_recent_40000_lower95,frac_recent_40000_upper95,frac_recent_50000,frac_recent_50000_n_regions,frac_recent_50000_lower95,frac_recent_50000_upper95
10000,truth,ref/ref,8230000,503473.199,100,440059.569,566886.829,0.00272773331,100,0.00259235416,0.00286311247,0.00757116739,100,0.0073044615,0.00783787327,0.0463786599,100,0.0448040133,0.0479533064,0.104114652,100,0.0984272204,0.109802084,0.157029061,100,0.148550393,0.165507729,0.203478576,100,0.187402183,0.219554968
10000,truth,ref/ref,8240000,523456.295,100,454064.893,592847.697,0.00273367639,100,0.00259746504,0.00286988773,0.00753540012,100,0.00725956194,0.0078112383,0.0466715036,100,0.0450380343,0.0483049729,0.103381609,100,0.0981757597,0.108587458,0.156609497,100,0.147739074,0.16547992,0.201755605,100,0.186091904,0.217419305
10000,truth,ref/ref,8250000,506406.264,100,443493.507,569319.021,0.00270175767,100,0.00256710659,0.00283640876,0.00750540089,100,0.00722267679,0.007788125,0.0465899806,100,0.044873169,0.0483067921,0.103575437,100,0.0988138781,0.108336997,0.158306782,100,0.150019871,0.166593692,0.202541019,100,0.186451581,0.218630456
10000,truth,ref/ref,8260000,497160.327,100,429842.519,564478.136,0.00271428475,100,0.00257760031,0.0028509692,0.00756307325,100,0.00728267585,0.00784347065,0.0468971555,100,0.0451790643,0.0486152467,0.1037861,100,0.0988358259,0.108736374,0.159155197,100,0.150631477,0.167678917,0.203141181,100,0.187712283,0.218570079
10000,truth,ref/ref,8270000,485830.506,100,430091.424,541569.588,0.00268430967,100,0.00254870801,0.00281991133,0.00760361538,100,0.00732896593,0.00787826484,0.0471211116,100,0.0453318264,0.0489103967,0.103747971,100,0.0988730118,0.108622931,0.161551712,100,0.152191468,0.170911957,0.203193891,100,0.188222603,0.21816518
10000,truth,ref/ref,8280000,454448.27,100,403087.329,505809.21,0.00270279225,100,0.00256558737,0.00283999713,0.00770868027,100,0.00742071649,0.00799664405,0.046870884,100,0.0451409167,0.0486008513,0.104124515,100,0.0989862358,0.109262794,0.163755283,100,0.153763163,0.173747403,0.205615259,100,0.189374766,0.221855751
10000,truth,ref/ref,8290000,551325.68,100,476752.305,625899.056,0.00271035057,100,0.0025751924,0.00284550873,0.0075928953,100,0.0073091947,0.0078765959,0.0467233339,100,0.0449656003,0.0484810675,0.103325536,100,0.0980716134,0.108579459,0.163266875,100,0.153628405,0.172905345,0.204574127,100,0.190706133,0.218442122
10000,truth,ref/ref,8300000,545892.696,100,478685.075,613100.317,0.00270344373,100,0.00257039317,0.00283649428,0.00754618249,100,0.00724263997,0.00784972502,0.0466243333,100,0.044952712,0.0482959547,0.102403797,100,0.0970914942,0.1077161,0.158762572,100,0.149188719,0.168336424,0.20093995,100,0.187282673,0.214597227
10000,truth,ref/ref,8310000,528691.505,100,462905.808,594477.201,0.00271903197,100,0.00258358991,0.00285447403,0.0075901398,100,0.00728635694,0.00789392266,0.0465612284,100,0.0449024996,0.0482199572,0.101836828,100,0.0967892629,0.106884394,0.15917705,100,0.149573523,0.168780577,0.200349205,100,0.187841428,0.212856982
10000,truth,ref/ref,8320000,466702.761,100,412513.851,520891.671,0.00270799377,100,0.00257599225,0.00283999528,0.00757756803,100,0.00727207982,0.00788305623,0.0466419496,100,0.0449030082,0.048380891,0.102371958,100,0.0968940936,0.107849822,0.158278415,100,0.149175595,0.167381234,0.19741093,100,0.186573536,0.208248324
