source,pair_class,position_0based,n_pairs,mean_tmrca_years,count_recent_5000,frac_recent_5000,count_recent_10000,frac_recent_10000,count_recent_20000,frac_recent_20000,count_recent_30000,frac_recent_30000,count_recent_40000,frac_recent_40000,count_recent_50000,frac_recent_50000,replicate,onset_years,sample_af
truth,ref/ref,5000000,2672,51553.84543413173,10,0.0037425149700598,32,0.0119760479041916,161,0.060254491017964,522,0.1953592814371257,538,0.2013473053892215,683,0.2556137724550898,6,50000,0.48
truth,alt/ref,5000000,5020,728250.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,50000,0.48
truth,alt/alt,5000000,2308,32853.01126516464,9,0.003899480069324,27,0.0116984402079722,218,0.0944540727902946,558,0.2417677642980935,2308,1.0,2308,1.0,6,50000,0.48
truth,all pairs,5000000,10000,386939.1625,19,0.0019,59,0.0059,379,0.0379,1080,0.108,2846,0.2846,2991,0.2991,6,50000,0.48
decoded,ref/ref,5000000,2034,336733.97962128854,13,0.0063913470993117,64,0.031465093411996,244,0.119960668633235,412,0.2025565388397247,537,0.2640117994100295,677,0.3328416912487709,7,50000,0.55
decoded,alt/ref,5000000,4910,1726989.857190488,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,50000,0.55
decoded,alt/alt,5000000,3056,51779.09216512794,55,0.0179973821989528,242,0.0791884816753926,966,0.3160994764397906,1777,0.581479057591623,2109,0.6901178010471204,2249,0.7359293193717278,7,50000,0.55
decoded,all pairs,5000000,10000,932267.4019011628,68,0.0068,306,0.0306,1210,0.121,2189,0.2189,2646,0.2646,2926,0.2926,7,50000,0.55
truth,ref/ref,5000000,2034,187874.4469026549,10,0.0049164208456243,24,0.0117994100294985,139,0.0683382497541789,432,0.2123893805309734,476,0.2340216322517207,947,0.4655850540806293,7,50000,0.55
truth,alt/ref,5000000,4910,1694484.9883774002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,50000,0.55
truth,alt/alt,5000000,3056,31982.043520942407,31,0.0101439790575916,59,0.019306282722513,460,0.1505235602094241,774,0.2532722513089005,3056,1.0,3056,1.0,7,50000,0.55
truth,all pairs,5000000,10000,879979.5042933035,41,0.0041,83,0.0083,599,0.0599,1206,0.1206,3532,0.3532,4003,0.4003,7,50000,0.55
decoded,ref/ref,5000000,1,11756.77733191815,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,8,50000,0.99
decoded,alt/ref,5000000,181,818567.5953362902,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,50000,0.99
decoded,alt/alt,5000000,9818,61552.22950529597,55,0.0056019555917702,372,0.0378895905479731,1475,0.150234263597474,2660,0.2709309431656141,4012,0.4086371969851293,5147,0.5242411896516602,8,50000,0.99
decoded,all pairs,5000000,10000,75249.22808161961,55,0.0055,372,0.0372,1476,0.1476,2661,0.2661,4013,0.4013,5148,0.5148,8,50000,0.99
truth,ref/ref,5000000,1,8125.0,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,8,50000,0.99
truth,alt/ref,5000000,181,761625.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,50000,0.99
truth,alt/alt,5000000,9818,38903.45538806274,36,0.0036667345691586,76,0.0077408840904461,490,0.049908331635771,1390,0.1415766958647382,3263,0.3323487471990222,9818,1.0,8,50000,0.99
truth,all pairs,5000000,10000,51981.6375,36,0.0036,77,0.0077,491,0.0491,1391,0.1391,3264,0.3264,9819,0.9819,8,50000,0.99
decoded,ref/ref,5000000,57,541886.6309944706,0,0.0,3,0.0526315789473684,8,0.1403508771929824,11,0.1929824561403508,12,0.2105263157894736,13,0.2280701754385964,9,50000,0.9225
decoded,alt/ref,5000000,1437,1268381.5513118494,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0006958942240779,1,0.0006958942240779,9,50000,0.9225
decoded,alt/alt,5000000,8506,35178.573447848335,69,0.0081119209969433,582,0.0684222901481307,2472,0.2906183870209264,4608,0.5417352457089114,6020,0.707735715965201,7062,0.8302374794262873,9,50000,0.9225
decoded,all pairs,5000000,10000,215278.077294921,69,0.0069,585,0.0585,2480,0.248,4619,0.4619,6033,0.6033,7076,0.7076,9,50000,0.9225
truth,ref/ref,5000000,57,368401.3157894737,0,0.0,0,0.0,5,0.087719298245614,9,0.1578947368421052,13,0.2280701754385964,14,0.2456140350877192,9,50000,0.9225
truth,alt/ref,5000000,1437,741000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,50000,0.9225
truth,alt/alt,5000000,8506,37776.93686809311,36,0.0042323066071008,78,0.0091699976487185,478,0.056195626616506,1378,0.1620032917940277,3251,0.3822007994356924,8506,1.0,9,50000,0.9225
truth,all pairs,5000000,10000,140714.65,36,0.0036,78,0.0078,483,0.0483,1387,0.1387,3264,0.3264,8520,0.852,9,50000,0.9225
