attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
10164	1032417	False	lost	0.0	4.250003257766366e-05	0.4827516000368632	True
10165	1032427	False	lost	0.0	4.600000102072954e-05	0.4990941000287421	True
10166	1032437	False	lost	0.0	3.819999983534217e-05	0.4756973999901674	True
10167	1032447	False	lost	0.0	4.6399945858865976e-05	0.4774703999864869	True
10168	1032457	False	lost	0.0	3.7299992982298136e-05	0.4921179999946616	True
10169	1032467	False	lost	0.0	5.91999851167202e-05	0.5380110000260174	True
10170	1032477	False	lost	0.0	6.75999908708036e-05	0.4815330999554135	True
10171	1032487	False	lost	0.0	5.920004332438111e-05	0.5643362000118941	True
10172	1032497	False	lost	0.0	4.880002234131098e-05	0.4935609999811277	True
10173	1032507	False	lost	0.0	3.3100019209086895e-05	0.501381499983836	True
10174	1032517	False	lost	0.0	3.6400044336915016e-05	0.4521286999806762	True
10175	1032527	False	lost	0.0	4.6200002543628216e-05	0.4877132999827154	True
10176	1032537	False	lost	0.0	2.899998798966408e-05	0.4897934000473469	True
10177	1032547	False	lost	0.0	3.779999678954482e-05	0.482768899993971	True
10178	1032557	False	lost	0.0	3.659998765215278e-05	0.4729674999834969	True
10179	1032567	False	lost	0.0	4.220003029331565e-05	0.4909388999803923	True
10180	1032577	False	lost	0.0	4.060001811012626e-05	0.4792354999808594	True
10181	1032587	False	lost	0.0	8.09000339359045e-05	0.5006107999943197	True
10182	1032597	False	lost	0.0	4.549999721348286e-05	0.497011500003282	True
10183	1032607	False	lost	0.0	3.740005195140839e-05	0.5003667999990284	True
10184	1032617	False	lost	0.0	4.549999721348286e-05	0.487260999972932	True
10185	1032627	False	lost	0.0	0.0001966999843716	0.6113497999613173	True
10186	1032637	False	lost	0.0	4.740001168102026e-05	0.5849078000173904	True
10187	1032647	False	lost	0.0	3.769999602809549e-05	0.4789621999952942	True
10188	1032657	False	lost	0.0	3.0100054573267695e-05	0.5007993999752216	True
10189	1032667	False	lost	0.0	4.020001506432891e-05	0.754226099990774	True
10190	1032677	False	lost	0.0	2.899998798966408e-05	0.4855188999790698	True
10191	1032687	False	lost	0.0	3.940000897273421e-05	0.5003212000010535	True
10192	1032697	False	lost	0.0	4.890002310276032e-05	0.4996593000250868	True
10193	1032707	False	lost	0.0	3.219995414838195e-05	0.4840860000113025	True
10194	1032717	False	lost	0.0	4.75000124424696e-05	0.4418206000118516	True
10195	1032727	False	lost	0.0	6.089999806135893e-05	0.4894691000226885	True
10196	1032737	False	lost	0.0	4.07000188715756e-05	0.4874203000217676	True
10197	1032747	False	lost	0.0	0.0001488999696448	0.4762279000133276	True
10198	1032757	False	lost	0.0	6.3000014051795e-05	0.4428075999603607	True
10199	1032767	False	lost	0.0	3.999995533376932e-05	0.4326882999739609	True
10200	1032777	False	lost	0.0	5.589995998889208e-05	0.56283909996273	True
10201	1032787	False	lost	0.0	4.970002919435501e-05	0.5364140999736264	True
10202	1032797	False	lost	0.0	6.539997411891818e-05	0.5135362000437453	True
10203	1032807	False	lost	0.0	0.00031049997778609395	1.200309100036975	True
10204	1032817	False	lost	0.0	3.840000135824084e-05	0.5209296999964863	True
10205	1032827	False	lost	0.0	2.9800052288919687e-05	0.5358740999945439	True
10206	1032837	False	lost	0.0	5.219999002292752e-05	0.5406069000018761	True
10207	1032847	False	lost	0.0	4.379998426884413e-05	0.5034181000082754	True
10208	1032857	False	lost	0.0	0.0002620000159367919	0.512467699998524	True
10209	1032867	False	lost	0.0	9.689998114481568e-05	0.5574430999695323	True
10210	1032877	False	lost	0.0	3.489997470751405e-05	0.5160620000096969	True
10211	1032887	False	lost	0.0	3.0499999411404133e-05	0.5790179999894463	True
10212	1032897	False	lost	0.0	4.579999949783087e-05	0.4827194000245072	True
10213	1032907	False	lost	0.0	4.4899992644786835e-05	0.5077748000039719	True
10214	1032917	False	lost	0.0	4.110002191737294e-05	0.49343779997434467	True
10215	1032927	False	lost	0.0	0.00013450003461912274	0.5052354999934323	True
10216	1032937	False	lost	0.0	0.0003063000040128827	0.4839382999925874	True
10217	1032947	False	lost	0.0	0.0003782999701797962	0.5047080999938771	True
10218	1032957	False	lost	0.0	5.509995389729738e-05	0.49418570002308115	True
10219	1032967	False	lost	0.0	4.3199979700148106e-05	0.47356449998915195	True
10220	1032977	False	lost	0.0	0.000179499969817698	0.5026125000440516	True
10221	1032987	False	lost	0.0	4.12999652326107e-05	0.4973215999780223	True
10222	1032997	False	lost	0.0	3.69000481441617e-05	0.4607415000209585	True
10223	1033007	False	lost	0.0	2.9699993319809437e-05	0.5193174000014551	True
10224	1033017	False	lost	0.0	4.67000063508749e-05	0.5422175999847241	True
10225	1033027	False	lost	0.0	0.00010760000441223383	0.477747900004033	True
10226	1033037	False	lost	0.0	4.039995837956667e-05	0.5518692000187002	True
10227	1033047	False	lost	0.0	5.2799994591623545e-05	0.4877820999827236	True
10228	1033057	False	lost	0.0	8.619995787739754e-05	0.4584980999934487	True
10229	1033067	False	lost	0.0	3.850000211969018e-05	0.47277849999954924	True
10230	1033077	False	lost	0.0	0.0012753999908454716	0.5583487000549212	True
10231	1033087	False	lost	0.0	3.93999507650733e-05	0.5153099999879487	True
10232	1033097	False	lost	0.0	3.749999450519681e-05	0.44289810000918806	True
10233	1033107	False	lost	0.0	4.0899962186813354e-05	0.45280149998143315	True
10234	1033117	False	lost	0.0	4.190002800896764e-05	0.46786099998280406	True
10235	1033127	False	lost	0.0	3.5100034438073635e-05	0.570482200011611	True
10236	1033137	False	lost	0.0	3.809999907389283e-05	0.5152983999578282	True
10237	1033147	False	lost	0.0	5.030003376305103e-05	0.5183601999888197	True
10238	1033157	False	lost	0.0	6.32999581284821e-05	0.5352273000171408	True
10239	1033167	False	lost	0.0	3.980001201853156e-05	0.5600866999593563	True
10240	1033177	False	lost	0.0	0.00020080001559108496	0.5479956999770366	True
10241	1033187	False	lost	0.0	3.880000440403819e-05	0.5535658000153489	True
10242	1033197	False	lost	0.0	4.080001963302493e-05	0.50109519995749	True
10243	1033207	False	lost	0.0	2.9999995604157448e-05	0.5660909999860451	True
10244	1033217	False	lost	0.0	0.00020130001939833164	0.5854649000102654	True
10245	1033227	False	lost	0.0	4.549999721348286e-05	0.5063449000008404	True
10246	1033237	False	lost	0.0	4.0300015825778246e-05	0.5342294000438415	True
10247	1033247	False	lost	0.0	3.840000135824084e-05	0.502515800006222	True
10248	1033257	False	lost	0.0	5.660002352669835e-05	0.47976849996484816	True
10249	1033267	False	lost	0.0	5.010003224015236e-05	0.5149001999525353	True
10250	1033277	False	lost	0.0	3.890000516548753e-05	0.49841990001732484	True
10251	1033287	False	lost	0.0	6.000004941597581e-05	0.5146777000045404	True
10252	1033297	False	lost	0.0	6.130000110715628e-05	0.5093522999668494	True
10253	1033307	False	lost	0.0	5.520001286640763e-05	0.5366868000128306	True
10254	1033317	False	lost	0.0	5.600001895800233e-05	0.5205660000210628	True
10255	1033327	False	lost	0.0	3.790005575865507e-05	0.4978156000142917	True
10256	1033337	False	lost	0.0	3.6999990697950125e-05	0.5026631000218913	True
10257	1033347	False	lost	0.0	4.6900007873773575e-05	0.523289000033401	True
10258	1033357	False	lost	0.0	3.890000516548753e-05	0.5299224000191316	True
10259	1033367	False	lost	0.0	3.479997394606471e-05	0.5187359999981709	True
10260	1033377	False	lost	0.0	5.420000525191426e-05	0.5161270000389777	True
10261	1033387	False	lost	0.0	4.020001506432891e-05	0.5098877999698743	True
10262	1033397	False	lost	0.0	4.880002234131098e-05	0.5455099000246264	True
10263	1033407	False	lost	0.0	0.00011869997251778841	0.5422346999985166	True
10264	1033417	False	lost	0.0	3.479997394606471e-05	0.5159338000230491	True
10265	1033427	False	lost	0.0	4.850002005696297e-05	0.4960605999804102	True
10266	1033437	False	lost	0.0	4.429998807609081e-05	0.4921037000021897	True
10267	1033447	False	lost	0.0	6.680004298686981e-05	0.49565629998687655	True
10268	1033457	False	lost	0.0	4.1300023440271616e-05	0.49140279996208847	True
10269	1033467	False	lost	0.0	3.880000440403819e-05	0.5285555000300519	True
10270	1033477	False	lost	0.0	5.189998773857951e-05	0.47333939996315166	True
10271	1033487	False	lost	0.0	4.859996261075139e-05	0.49712149996776134	True
10272	1033497	False	lost	0.0	3.929995000362396e-05	0.46784280001884326	True
10273	1033507	False	segregating	0.0013	3.91000066883862e-05	3.926785999967251	True
10274	1033517	False	lost	0.0	5.500001134350896e-05	0.47333120001712814	True
10275	1033527	False	lost	0.0	3.8700003642588854e-05	0.5010320000001229	True
10276	1033537	False	lost	0.0	5.8299978263676167e-05	0.46130189998075366	True
10277	1033547	False	lost	0.0	3.609998384490609e-05	0.4477618000237271	True
10278	1033557	False	lost	0.0	3.749999450519681e-05	0.4825838999822736	True
10279	1033567	False	lost	0.0	5.299999611452222e-05	0.49207530001876876	True
