subset,s,method,years,alpha,selected_regions,selected_site_called,regional_power_lower_bound,wilson_low,wilson_high
all_saved,0.005,mass_g0_r1_T20000,20000,0.05,100,71,0.71,0.6146110882442888,0.7898516425087772
all_saved,0.005,mass_g0_r1_T30000,30000,0.01,100,34,0.34,0.25461520797348164,0.43722271145275377
all_saved,0.005,mass_g0_r1_T30000,30000,0.05,100,58,0.58,0.4820648670304296,0.6720161732564526
all_saved,0.005,mass_g0_r1_T40000,40000,0.01,100,29,0.29,0.2101483574912227,0.3853889117557111
all_saved,0.005,mass_g0_r1_T40000,40000,0.05,100,63,0.63,0.5322052958094291,0.7181763946567546
all_saved,0.005,mass_g0_r1_T5000,5000,0.01,100,23,0.23,0.15843265880303448,0.3215438302287378
all_saved,0.005,mass_g0_r1_T5000,5000,0.05,100,42,0.42,0.3279838267435473,0.5179351329695703
all_saved,0.005,mass_g0_r1_T50000,50000,0.01,100,57,0.57,0.47215389549212305,0.6626670147588988
all_saved,0.005,mass_g0_r1_T50000,50000,0.05,100,77,0.77,0.6784561697712622,0.8415673411969654
all_saved,0.006,af_r1,0,0.01,94,74,0.7872340425531915,0.6940820730069563,0.8578312023149222
all_saved,0.006,af_r1,0,0.05,94,78,0.8297872340425532,0.7412544169093981,0.8924237880897957
all_saved,0.006,all_r1_T10000,10000,0.01,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.006,all_r1_T10000,10000,0.05,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.006,all_r1_T20000,20000,0.01,94,3,0.031914893617021274,0.010912627468307706,0.08967314608122352
all_saved,0.006,all_r1_T20000,20000,0.05,94,6,0.06382978723404255,0.029579735297574024,0.13232973550994373
all_saved,0.006,all_r1_T30000,30000,0.01,94,7,0.07446808510638298,0.03653858086656638,0.14581212236028018
all_saved,0.006,all_r1_T30000,30000,0.05,94,11,0.11702127659574468,0.06661362828276755,0.19750200462139433
all_saved,0.006,all_r1_T40000,40000,0.01,94,15,0.1595744680851064,0.09915613688605254,0.24672442569542472
all_saved,0.006,all_r1_T40000,40000,0.05,94,24,0.2553191489361702,0.17799345615469594,0.3518581982007408
all_saved,0.006,all_r1_T5000,5000,0.01,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.006,all_r1_T5000,5000,0.05,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.006,all_r1_T50000,50000,0.01,94,26,0.2765957446808511,0.1963001972899988,0.37443392190409563
all_saved,0.006,all_r1_T50000,50000,0.05,94,45,0.4787234042553192,0.3805716814684006,0.5785458536929418
all_saved,0.006,mass_g0_r1_T10000,10000,0.01,94,49,0.5212765957446809,0.42145414630705824,0.6194283185315994
all_saved,0.006,mass_g0_r1_T10000,10000,0.05,94,77,0.8191489361702128,0.7293303791966494,0.8839065933832155
all_saved,0.006,mass_g0_r1_T20000,20000,0.01,94,36,0.3829787234042553,0.29114203155133633,0.4840044118360465
all_saved,0.006,mass_g0_r1_T20000,20000,0.05,94,68,0.723404255319149,0.6255660780959044,0.8036998027100012
all_saved,0.006,mass_g0_r1_T30000,30000,0.01,94,36,0.3829787234042553,0.29114203155133633,0.4840044118360465
all_saved,0.006,mass_g0_r1_T30000,30000,0.05,94,63,0.6702127659574468,0.570134654466759,0.7569250642425024
all_saved,0.006,mass_g0_r1_T40000,40000,0.01,94,42,0.44680851063829785,0.3503637013365734,0.5474301365667823
all_saved,0.006,mass_g0_r1_T40000,40000,0.05,94,70,0.7446808510638298,0.6481418017992592,0.822006543845304
all_saved,0.006,mass_g0_r1_T5000,5000,0.01,94,28,0.2978723404255319,0.21484443612303344,0.39677214790971865
all_saved,0.006,mass_g0_r1_T5000,5000,0.05,94,53,0.5638297872340425,0.4630290566620046,0.6596183378539684
all_saved,0.006,mass_g0_r1_T50000,50000,0.01,94,62,0.6595744680851063,0.5592082220071468,0.7474102642827856
all_saved,0.006,mass_g0_r1_T50000,50000,0.05,94,77,0.8191489361702128,0.7293303791966494,0.8839065933832155
all_saved,0.007,af_r1,0,0.01,94,84,0.8936170212765957,0.8151444897581666,0.9411811097570002
all_saved,0.007,af_r1,0,0.05,94,87,0.925531914893617,0.8541878776397197,0.9634614191334335
all_saved,0.007,all_r1_T10000,10000,0.01,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.007,all_r1_T10000,10000,0.05,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.007,all_r1_T20000,20000,0.01,94,3,0.031914893617021274,0.010912627468307706,0.08967314608122352
all_saved,0.007,all_r1_T20000,20000,0.05,94,5,0.05319148936170213,0.022931748685590003,0.11853648970259889
all_saved,0.007,all_r1_T30000,30000,0.01,94,9,0.09574468085106383,0.05119196076308952,0.17204120730241473
all_saved,0.007,all_r1_T30000,30000,0.05,94,14,0.14893617021276595,0.0908404795865941,0.2345988505755543
all_saved,0.007,all_r1_T40000,40000,0.01,94,17,0.18085106382978725,0.1160934066167844,0.2706696208033505
all_saved,0.007,all_r1_T40000,40000,0.05,94,25,0.26595744680851063,0.18711610480785898,0.3631767819669066
all_saved,0.007,all_r1_T5000,5000,0.01,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.007,all_r1_T5000,5000,0.05,94,0,0.0,-3.469446951953614e-18,0.03926207629154474
all_saved,0.007,all_r1_T50000,50000,0.01,94,42,0.44680851063829785,0.3503637013365734,0.5474301365667823
all_saved,0.007,all_r1_T50000,50000,0.05,94,51,0.5425531914893617,0.44215447666238733,0.6396104530149279
all_saved,0.007,mass_g0_r1_T10000,10000,0.01,94,54,0.574468085106383,0.4735323762443877,0.6695562506909143
all_saved,0.007,mass_g0_r1_T10000,10000,0.05,94,83,0.8829787234042553,0.8024979953786057,0.9333863717172325
all_saved,0.007,mass_g0_r1_T20000,20000,0.01,94,35,0.3723404255319149,0.2814318660117187,0.4732733449563353
all_saved,0.007,mass_g0_r1_T20000,20000,0.05,94,72,0.7659574468085106,0.6709730100166705,0.8400578004665503
all_saved,0.007,mass_g0_r1_T30000,30000,0.01,94,39,0.4148936170212766,0.32055034593510945,0.5159197947102598
all_saved,0.007,mass_g0_r1_T30000,30000,0.05,94,63,0.6702127659574468,0.570134654466759,0.7569250642425024
all_saved,0.007,mass_g0_r1_T40000,40000,0.01,94,53,0.5638297872340425,0.4630290566620046,0.6596183378539684
all_saved,0.007,mass_g0_r1_T40000,40000,0.05,94,69,0.7340425531914894,0.6368232180330934,0.812883895192141
all_saved,0.007,mass_g0_r1_T5000,5000,0.01,94,30,0.3191489361702128,0.23361158142653254,0.4188874674448773
all_saved,0.007,mass_g0_r1_T5000,5000,0.05,94,53,0.5638297872340425,0.4630290566620046,0.6596183378539684
all_saved,0.007,mass_g0_r1_T50000,50000,0.01,94,63,0.6702127659574468,0.570134654466759,0.7569250642425024
all_saved,0.007,mass_g0_r1_T50000,50000,0.05,94,87,0.925531914893617,0.8541878776397197,0.9634614191334335
all_saved,0.008,af_r1,0,0.01,95,92,0.968421052631579,0.9112290135269181,0.9892028605255756
all_saved,0.008,af_r1,0,0.05,95,93,0.9789473684210527,0.9264588050529105,0.9942074931355945
all_saved,0.008,all_r1_T10000,10000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.008,all_r1_T10000,10000,0.05,95,0,0.0,0.0,0.038864853539472964
all_saved,0.008,all_r1_T20000,20000,0.01,95,1,0.010526315789473684,0.001860576262347903,0.05723870141313616
all_saved,0.008,all_r1_T20000,20000,0.05,95,1,0.010526315789473684,0.001860576262347903,0.05723870141313616
all_saved,0.008,all_r1_T30000,30000,0.01,95,4,0.042105263157894736,0.016493772862549924,0.10330877722096742
all_saved,0.008,all_r1_T30000,30000,0.05,95,13,0.1368421052631579,0.08174793559632484,0.22016443171129238
all_saved,0.008,all_r1_T40000,40000,0.01,95,17,0.17894736842105263,0.1148357456826421,0.2680143181690195
all_saved,0.008,all_r1_T40000,40000,0.05,95,23,0.24210526315789474,0.16708840091876592,0.3371682077489622
all_saved,0.008,all_r1_T5000,5000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.008,all_r1_T5000,5000,0.05,95,0,0.0,0.0,0.038864853539472964
all_saved,0.008,all_r1_T50000,50000,0.01,95,58,0.6105263157894737,0.5100024053334903,0.7024590480946263
all_saved,0.008,all_r1_T50000,50000,0.05,95,68,0.7157894736842105,0.6180898964168235,0.7967157983714039
all_saved,0.008,mass_g0_r1_T10000,10000,0.01,95,63,0.6631578947368421,0.563426095592386,0.750207478515786
all_saved,0.008,mass_g0_r1_T10000,10000,0.05,95,88,0.9263157894736842,0.8556431471175041,0.9638510303909453
all_saved,0.008,mass_g0_r1_T20000,20000,0.01,95,37,0.3894736842105263,0.2975409519053737,0.4899975946665098
all_saved,0.008,mass_g0_r1_T20000,20000,0.05,95,68,0.7157894736842105,0.6180898964168235,0.7967157983714039
all_saved,0.008,mass_g0_r1_T30000,30000,0.01,95,34,0.35789473684210527,0.2687504166729956,0.4580848574908546
all_saved,0.008,mass_g0_r1_T30000,30000,0.05,95,51,0.5368421052631579,0.4370969126824784,0.6337235717935605
all_saved,0.008,mass_g0_r1_T40000,40000,0.01,95,48,0.5052631578947369,0.4064930002803157,0.6036242117876898
all_saved,0.008,mass_g0_r1_T40000,40000,0.05,95,70,0.7368421052631579,0.6403397907589585,0.8149347523012911
all_saved,0.008,mass_g0_r1_T5000,5000,0.01,95,45,0.47368421052631576,0.37626742136015695,0.5731465182998152
all_saved,0.008,mass_g0_r1_T5000,5000,0.05,95,66,0.6947368421052632,0.5960660393008851,0.7782708072153203
all_saved,0.008,mass_g0_r1_T50000,50000,0.01,95,78,0.8210526315789474,0.7319856818309805,0.8851642543173579
all_saved,0.008,mass_g0_r1_T50000,50000,0.05,95,90,0.9473684210526315,0.882651138829621,0.9773118869508504
all_saved,0.009,af_r1,0,0.01,95,95,1.0,0.9611351464605271,1.0
all_saved,0.009,af_r1,0,0.05,95,95,1.0,0.9611351464605271,1.0
all_saved,0.009,all_r1_T10000,10000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.009,all_r1_T10000,10000,0.05,95,0,0.0,0.0,0.038864853539472964
all_saved,0.009,all_r1_T20000,20000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.009,all_r1_T20000,20000,0.05,95,1,0.010526315789473684,0.001860576262347903,0.05723870141313616
all_saved,0.009,all_r1_T30000,30000,0.01,95,5,0.05263157894736842,0.02268811304914955,0.11734886117037888
all_saved,0.009,all_r1_T30000,30000,0.05,95,9,0.09473684210526316,0.05064423402767533,0.17033043673589748
all_saved,0.009,all_r1_T40000,40000,0.01,95,7,0.07368421052631578,0.036148969609054685,0.14435685288249595
all_saved,0.009,all_r1_T40000,40000,0.05,95,17,0.17894736842105263,0.1148357456826421,0.2680143181690195
all_saved,0.009,all_r1_T5000,5000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.009,all_r1_T5000,5000,0.05,95,0,0.0,0.0,0.038864853539472964
all_saved,0.009,all_r1_T50000,50000,0.01,95,51,0.5368421052631579,0.4370969126824784,0.6337235717935605
all_saved,0.009,all_r1_T50000,50000,0.05,95,58,0.6105263157894737,0.5100024053334903,0.7024590480946263
all_saved,0.009,mass_g0_r1_T10000,10000,0.01,95,54,0.5684210526315789,0.46808208987214145,0.6634416670119307
all_saved,0.009,mass_g0_r1_T10000,10000,0.05,95,82,0.8631578947368421,0.7798355682887077,0.9182520644036751
all_saved,0.009,mass_g0_r1_T20000,20000,0.01,95,20,0.21052631578947367,0.1406218600651598,0.30293147619453503
all_saved,0.009,mass_g0_r1_T20000,20000,0.05,95,67,0.7052631578947368,0.6070505934821107,0.7875206771701055
all_saved,0.009,mass_g0_r1_T30000,30000,0.01,95,27,0.28421052631578947,0.20328420162859612,0.3819101035831764
all_saved,0.009,mass_g0_r1_T30000,30000,0.05,95,39,0.4105263157894737,0.31696158583207545,0.5110458090118303
all_saved,0.009,mass_g0_r1_T40000,40000,0.01,95,41,0.43157894736842106,0.3365583329880693,0.5319179101278586
all_saved,0.009,mass_g0_r1_T40000,40000,0.05,95,61,0.6421052631578947,0.5419151425091454,0.7312495833270044
all_saved,0.009,mass_g0_r1_T5000,5000,0.01,95,40,0.42105263157894735,0.3267381838783353,0.5215036351015815
all_saved,0.009,mass_g0_r1_T5000,5000,0.05,95,63,0.6631578947368421,0.563426095592386,0.750207478515786
all_saved,0.009,mass_g0_r1_T50000,50000,0.01,95,74,0.7789473684210526,0.6855857690767467,0.8506264705275474
all_saved,0.009,mass_g0_r1_T50000,50000,0.05,95,90,0.9473684210526315,0.882651138829621,0.9773118869508504
all_saved,0.01,af_r1,0,0.01,95,95,1.0,0.9611351464605271,1.0
all_saved,0.01,af_r1,0,0.05,95,95,1.0,0.9611351464605271,1.0
all_saved,0.01,all_r1_T10000,10000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.01,all_r1_T10000,10000,0.05,95,0,0.0,0.0,0.038864853539472964
all_saved,0.01,all_r1_T20000,20000,0.01,95,2,0.021052631578947368,0.005792506864405536,0.07354119494708962
all_saved,0.01,all_r1_T20000,20000,0.05,95,2,0.021052631578947368,0.005792506864405536,0.07354119494708962
all_saved,0.01,all_r1_T30000,30000,0.01,95,7,0.07368421052631578,0.036148969609054685,0.14435685288249595
all_saved,0.01,all_r1_T30000,30000,0.05,95,10,0.10526315789473684,0.05818852425158532,0.1830205706479986
all_saved,0.01,all_r1_T40000,40000,0.01,95,16,0.16842105263157894,0.10641255003021141,0.25620308968543903
all_saved,0.01,all_r1_T40000,40000,0.05,95,24,0.25263157894736843,0.17604541982403177,0.34844561297970755
all_saved,0.01,all_r1_T5000,5000,0.01,95,0,0.0,0.0,0.038864853539472964
all_saved,0.01,all_r1_T5000,5000,0.05,95,0,0.0,0.0,0.038864853539472964
all_saved,0.01,all_r1_T50000,50000,0.01,95,66,0.6947368421052632,0.5960660393008851,0.7782708072153203
all_saved,0.01,all_r1_T50000,50000,0.05,95,70,0.7368421052631579,0.6403397907589585,0.8149347523012911
all_saved,0.01,mass_g0_r1_T10000,10000,0.01,95,55,0.5789473684210527,0.4784963648984185,0.6732618161216647
all_saved,0.01,mass_g0_r1_T10000,10000,0.05,95,88,0.9263157894736842,0.8556431471175041,0.9638510303909453
all_saved,0.01,mass_g0_r1_T20000,20000,0.01,95,24,0.25263157894736843,0.17604541982403177,0.34844561297970755
all_saved,0.01,mass_g0_r1_T20000,20000,0.05,95,69,0.7263157894736842,0.6291856625957802,0.8058544563284583
all_saved,0.01,mass_g0_r1_T30000,30000,0.01,95,30,0.3157894736842105,0.23103226162043158,0.41486531599937426
all_saved,0.01,mass_g0_r1_T30000,30000,0.05,95,42,0.4421052631578947,0.34642163684925137,0.5422890304026875
