scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,truth,mass_g0_r1_T30000,0.05,50000,71,100,48,1000,0.71,0.048,0.6146110882442888,0.7898516425087772,0.036393301020807914,0.06306608865013393,0.0633245382585752,0.8077360637087599,0.3782837127845885,0.6629318394024276,0.8700109849871841,0.21974620860414731
archaic_sites,truth,mass_g0_r1_T30000,0.1,50000,87,100,98,1000,0.87,0.098,0.7901964855992357,0.9224283257275948,0.08108201152335034,0.11799470229903597,0.10123966942148761,0.8841463414634145,0.5034246575342465,0.6322674418604651,0.9177071509648127,0.1503629450397511
archaic_sites,truth,mass_g0_r1_T40000,0.01,50000,38,100,10,1000,0.38,0.01,0.29097599252478734,0.47790244704488916,0.005440754445529249,0.018309468870314774,0.02564102564102564,0.5467625899280576,0.19148936170212766,0.5170068027210886,0.7226277372262774,0.3206751054852321
archaic_sites,truth,mass_g0_r1_T40000,0.05,50000,72,100,45,1000,0.72,0.045,0.6251197129007884,0.7986031478881379,0.03379951228563171,0.059682837936223455,0.058823529411764705,0.8158640226628895,0.36000000000000004,0.6776470588235293,0.8608695652173913,0.23319838056680162
archaic_sites,truth,mass_g0_r1_T40000,0.1,50000,89,100,103,1000,0.89,0.103,0.8136870349691969,0.9374580364293543,0.08565481000508716,0.1233836362324436,0.10372608257804632,0.8931259407927746,0.5101816180517336,0.6318778842740504,0.9197258049968431,0.14726565731777944
archaic_sites,truth,mass_g0_r1_T5000,0.01,50000,31,100,7,1000,0.31,0.007,0.22779697212376038,0.40626055719489407,0.0033948684009907646,0.014378315465766588,0.022082018927444796,0.47076689445709946,0.16890080428954424,0.4515659140568099,0.6909272183449651,0.30953569645531703
archaic_sites,truth,mass_g0_r1_T5000,0.05,50000,55,100,43,1000,0.55,0.043,0.45244602997442135,0.6438546202048803,0.03207865341171336,0.057419003844084014,0.07251264755480606,0.6905210295040805,0.4130202774813233,0.5678884873515746,0.88558352402746,0.18942655415877394
archaic_sites,truth,mass_g0_r1_T5000,0.1,50000,71,100,84,1000,0.71,0.084,0.6146110882442888,0.7898516425087772,0.0683588136777643,0.10282504938221758,0.1057934508816121,0.7915273132664437,0.5156889495225102,0.575831305758313,0.9213383558608464,0.1416317574306802
archaic_sites,truth,mass_g0_r1_T50000,0.01,50000,62,100,10,1000,0.62,0.01,0.5220975529551107,0.7090240074752127,0.005440754445529249,0.018309468870314774,0.015873015873015872,0.7607361963190183,0.1267605633802817,0.7251461988304092,0.6149068322981367,0.4750957854406129
archaic_sites,truth,mass_g0_r1_T50000,0.05,50000,81,100,51,1000,0.81,0.051,0.7222115462093562,0.8748524849023126,0.03900094277526684,0.06643548634476165,0.05923344947735191,0.8704997313272435,0.3617021276595744,0.7139709122961658,0.8617511520737327,0.23618603294940957
