source	estimand	unit_id	replicate_index	statistic	n_null	n_thresholds	thresholds_years	observed_min_marginal_p_upper	most_extreme_threshold_years	observed_score_at_most_extreme_threshold	neutral_minp_exceedance_count	omnibus_p_upper	omnibus_method	correlation_handling	inference_scope
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.623762376238	4500	-0.0153846153846	95	0.950495049505	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.247524752475	30000	0.625	61	0.613861386139	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.722772277228	4500	-0.030303030303	98	0.980198019802	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.029702970297	1000	0.333333333333	15	0.158415841584	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	9	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.683168316832	4500	-0.015873015873	96	0.960396039604	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep010	10	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.49504950495	20000	0.203125	86	0.861386138614	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep001	1	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.386138613861	10000	0.04	71	0.712871287129	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep002	2	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.029702970297	4500	0.04	9	0.0990099009901	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.207920792079	30000	0.12	46	0.465346534653	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.326732673267	40000	0.13	67	0.673267326733	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.207920792079	30000	0.12	46	0.465346534653	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.267326732673	30000	0.11	57	0.574257425743	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.0891089108911	10000	0.06	30	0.306930693069	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.316831683168	1000	0.01	67	0.673267326733	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	9	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.80198019802	10000	0.02	95	0.950495049505	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep010	10	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.356435643564	30000	0.1	68	0.683168316832	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
