source	estimand	unit_id	replicate_index	threshold_years	statistic	observed_selection_score	n_null	null_mean	null_median	null_sd	null_q025	null_q05	null_q95	null_q975	null_upper_exceedance_count	mc_p_upper	neutral_bank_scope	inference_scope	bh_q_upper
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	30000	p_hom_alt_minus_hom_ref	0.48157812136	100	0.297552365688	0.283828366226	0.266722245367	-0.169163722446	-0.111077311424	0.752355854355	0.802375699805	25	0.257425742574	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.415841584158
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	40000	p_hom_alt_minus_hom_ref	0.519484803737	100	0.32550499247	0.337033778566	0.279131391209	-0.188630049715	-0.134565248651	0.798588911683	0.813758493156	24	0.247524752475	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.415841584158
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	50000	p_hom_alt_minus_hom_ref	0.536921924768	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	28	0.287128712871	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.415841584158
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	1000	p_hom_alt_minus_hom_ref	-0.0164398418101	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	89	0.891089108911	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	4500	p_hom_alt_minus_hom_ref	-0.0162935049394	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	84	0.841584158416	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	10000	p_hom_alt_minus_hom_ref	-0.0055996865848	100	0.1858550775	0.144749367481	0.203921957603	-0.104132240131	-0.056986765496	0.570278115575	0.643292855559	81	0.811881188119	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	20000	p_hom_alt_minus_hom_ref	0.027217701784	100	0.256582720711	0.240220138923	0.246853503638	-0.144362494574	-0.0839820384151	0.705907466775	0.749723411303	81	0.811881188119	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	30000	p_hom_alt_minus_hom_ref	0.066103171782	100	0.297552365688	0.283828366226	0.266722245367	-0.169163722446	-0.111077311424	0.752355854355	0.802375699805	78	0.782178217822	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	40000	p_hom_alt_minus_hom_ref	0.104694164482	100	0.32550499247	0.337033778566	0.279131391209	-0.188630049715	-0.134565248651	0.798588911683	0.813758493156	74	0.742574257426	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	50000	p_hom_alt_minus_hom_ref	0.140181527098	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	74	0.742574257426	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.891089108911
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	1000	p_hom_alt_minus_hom_ref	-0.0208048509093	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	94	0.940594059406	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	4500	p_hom_alt_minus_hom_ref	-0.0664187750576	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	96	0.960396039604	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	10000	p_hom_alt_minus_hom_ref	-0.09470713631	100	0.1858550775	0.144749367481	0.203921957603	-0.104132240131	-0.056986765496	0.570278115575	0.643292855559	97	0.970297029703	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	20000	p_hom_alt_minus_hom_ref	-0.093956543772	100	0.256582720711	0.240220138923	0.246853503638	-0.144362494574	-0.0839820384151	0.705907466775	0.749723411303	96	0.960396039604	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	30000	p_hom_alt_minus_hom_ref	-0.05096973703	100	0.297552365688	0.283828366226	0.266722245367	-0.169163722446	-0.111077311424	0.752355854355	0.802375699805	91	0.910891089109	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	40000	p_hom_alt_minus_hom_ref	0.013820357096	100	0.32550499247	0.337033778566	0.279131391209	-0.188630049715	-0.134565248651	0.798588911683	0.813758493156	91	0.910891089109	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	50000	p_hom_alt_minus_hom_ref	0.085897437052	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	81	0.811881188119	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.970297029703
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	1000	p_hom_alt_minus_hom_ref	-0.0235036735361	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	96	0.960396039604	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	4500	p_hom_alt_minus_hom_ref	-0.0396910503672	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	95	0.950495049505	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	10000	p_hom_alt_minus_hom_ref	-0.0337329257462	100	0.1858550775	0.144749367481	0.203921957603	-0.104132240131	-0.056986765496	0.570278115575	0.643292855559	88	0.881188118812	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	20000	p_hom_alt_minus_hom_ref	0.0044998124177	100	0.256582720711	0.240220138923	0.246853503638	-0.144362494574	-0.0839820384151	0.705907466775	0.749723411303	83	0.831683168317	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	30000	p_hom_alt_minus_hom_ref	0.046984273767	100	0.297552365688	0.283828366226	0.266722245367	-0.169163722446	-0.111077311424	0.752355854355	0.802375699805	81	0.811881188119	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	40000	p_hom_alt_minus_hom_ref	0.085428173731	100	0.32550499247	0.337033778566	0.279131391209	-0.188630049715	-0.134565248651	0.798588911683	0.813758493156	79	0.792079207921	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	50000	p_hom_alt_minus_hom_ref	0.118830886833	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	76	0.762376237624	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.960396039604
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	1000	p_hom_alt_minus_hom_ref	0.386595716012	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	0	0.00990099009901	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	4500	p_hom_alt_minus_hom_ref	0.532728275359	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	0	0.00990099009901	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	10000	p_hom_alt_minus_hom_ref	0.666878248226	100	0.1858550775	0.144749367481	0.203921957603	-0.104132240131	-0.056986765496	0.570278115575	0.643292855559	1	0.019801980198	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	20000	p_hom_alt_minus_hom_ref	0.775518725641	100	0.256582720711	0.240220138923	0.246853503638	-0.144362494574	-0.0839820384151	0.705907466775	0.749723411303	2	0.029702970297	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	30000	p_hom_alt_minus_hom_ref	0.819655606929	100	0.297552365688	0.283828366226	0.266722245367	-0.169163722446	-0.111077311424	0.752355854355	0.802375699805	2	0.029702970297	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	40000	p_hom_alt_minus_hom_ref	0.840847579146	100	0.32550499247	0.337033778566	0.279131391209	-0.188630049715	-0.134565248651	0.798588911683	0.813758493156	2	0.029702970297	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	50000	p_hom_alt_minus_hom_ref	0.851663057056	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	2	0.029702970297	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.029702970297
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	9	1000	p_hom_alt_minus_hom_ref	-0.00859498232659	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	84	0.841584158416	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.910891089109
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	9	4500	p_hom_alt_minus_hom_ref	-0.0236001684111	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	87	0.871287128713	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.910891089109
