source	unit_id	simulation_class	selection_coefficient	target_allele_frequency	replicate_index	panel_n_diploid_samples	threshold_years	p_overall	p_hom_ref	p_hom_alt	p_hom_alt_minus_hom_ref	bank_role	score_scope
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	50000	0.242082375977	0.380668368451	0.0753767951138	-0.305291573337	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	1000	0.00308181256855	0.00214433035707	0.0576961481201	0.055551817763	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	4500	0.0149681007248	0.0118702155007	0.249662165311	0.23779194981	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	10000	0.0320689042622	0.0283056930154	0.474543922082	0.446238229067	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	20000	0.0545801209558	0.0528144870431	0.710233137287	0.657418650244	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	30000	0.0696662551366	0.0711918978837	0.827178648996	0.755986751112	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	40000	0.0812098005671	0.086531058633	0.889841120945	0.803310062312	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep007	neutral	0	0.2	7	100	50000	0.0910263997788	0.100372875269	0.926382945308	0.826010070039	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	1000	0.00082619938071	0.00130643441942	0.00010485654919	-0.00120157787023	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	4500	0.00450325295225	0.00698795070698	0.00336146689518	-0.0036264838118	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	10000	0.0103196988847	0.015500507638	0.0184793024259	0.0029787947879	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	20000	0.0194927445223	0.0277321399922	0.0673832109062	0.039651070914	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	30000	0.0277921838038	0.038141934543	0.12542550139	0.087283566847	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	40000	0.0363019726033	0.0490899384297	0.179177046419	0.130087107989	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep008	neutral	0	0.2	8	100	50000	0.0435447384373	0.0584852694513	0.223300622765	0.164815353314	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	1000	0.01141107679	0.0175555027539	3.08159648625e-17	-0.0175555027539	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	4500	0.0300421730817	0.0462187278163	2.33833130661e-11	-0.0462187277929	matched_af_sensitivity	focal_nearest_within_diploid
