arm_id	mode	unit_id	replicate_index	seed	status	elapsed_seconds	error
eas_phlash	selected	eas_phlash__selected__rep036	36	40260855	completed	97.31819565600017	
eas_phlash	selected	eas_phlash__selected__rep037	37	40260856	completed	95.92201742199995	
eas_phlash	selected	eas_phlash__selected__rep038	38	40260857	completed	98.35996556000009	
eas_phlash	selected	eas_phlash__selected__rep039	39	40260858	completed	94.51931220000006	
eas_phlash	selected	eas_phlash__selected__rep040	40	40260859	completed	82.05596049099995	
eas_phlash	selected	eas_phlash__selected__rep041	41	40260860	completed	84.34669857800009	
eas_phlash	selected	eas_phlash__selected__rep042	42	40260861	completed	86.70875310300016	
eas_phlash	selected	eas_phlash__selected__rep043	43	40260862	completed	87.9874785789998	
eas_phlash	selected	eas_phlash__selected__rep044	44	40260863	completed	85.13775991700004	
eas_phlash	selected	eas_phlash__selected__rep045	45	40260864	completed	87.3677811739999	
eas_phlash	selected	eas_phlash__selected__rep046	46	40260865	completed	89.84080923300007	
eas_phlash	selected	eas_phlash__selected__rep047	47	40260866	completed	86.252058089	
eas_phlash	selected	eas_phlash__selected__rep048	48	40260867	completed	90.8061983749999	
eas_phlash	selected	eas_phlash__selected__rep049	49	40260868	completed	87.80613321999999	
eas_phlash	selected	eas_phlash__selected__rep050	50	40260869	completed	90.02347751000025	
eas_phlash	selected	eas_phlash__selected__rep051	51	40260870	completed	90.66987529900007	
eas_phlash	selected	eas_phlash__selected__rep052	52	40260871	completed	92.27092752800036	
eas_phlash	selected	eas_phlash__selected__rep053	53	40260872	completed	93.25929873399991	
eas_phlash	selected	eas_phlash__selected__rep054	54	40260873	completed	98.37204864099976	
eas_phlash	selected	eas_phlash__selected__rep055	55	40260874	completed	91.76938130400004	
eas_phlash	selected	eas_phlash__selected__rep056	56	40260875	completed	90.50785409399987	
eas_phlash	selected	eas_phlash__selected__rep057	57	40260876	completed	91.91170796899996	
eas_phlash	selected	eas_phlash__selected__rep058	58	40260877	completed	90.41793089999965	
