arm_id	mode	unit_id	replicate_index	genotype_class	n_pairs	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_tmrca_generations	median_tmrca_generations	seed
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	1000.0	40.0	0.0	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	4500.0	180.0	0.0	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	10000.0	400.0	0.01	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	20000.0	800.0	0.03	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	30000.0	1200.0	0.12	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	40000.0	1600.0	0.13	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep004	4	overall	100	50000.0	2000.0	0.32	10828.95	11115.0	41260823
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	1000.0	40.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	4500.0	180.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	10000.0	400.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	20000.0	800.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	30000.0	1200.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	40000.0	1600.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	het	0	50000.0	2000.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	1000.0	40.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	4500.0	180.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	10000.0	400.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	20000.0	800.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	30000.0	1200.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	40000.0	1600.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_carrier	0	50000.0	2000.0				41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	1000.0	40.0	0.0	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	4500.0	180.0	0.0	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	10000.0	400.0	0.01	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	20000.0	800.0	0.02	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	30000.0	1200.0	0.17	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	40000.0	1600.0	0.24	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	hom_noncarrier	100	50000.0	2000.0	0.27	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	1000.0	40.0	0.0	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	4500.0	180.0	0.0	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	10000.0	400.0	0.01	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	20000.0	800.0	0.02	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	30000.0	1200.0	0.17	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	40000.0	1600.0	0.24	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep005	5	overall	100	50000.0	2000.0	0.27	3381.05	2830.0	41260824
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	1000.0	40.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	4500.0	180.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	10000.0	400.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	20000.0	800.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	30000.0	1200.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	40000.0	1600.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	het	0	50000.0	2000.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	1000.0	40.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	4500.0	180.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	10000.0	400.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	20000.0	800.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	30000.0	1200.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	40000.0	1600.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_carrier	0	50000.0	2000.0				41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	1000.0	40.0	0.0	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	4500.0	180.0	0.0	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	10000.0	400.0	0.01	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	20000.0	800.0	0.02	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	30000.0	1200.0	0.04	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	40000.0	1600.0	0.11	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	hom_noncarrier	100	50000.0	2000.0	0.12	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	1000.0	40.0	0.0	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	4500.0	180.0	0.0	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	10000.0	400.0	0.01	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	20000.0	800.0	0.02	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	30000.0	1200.0	0.04	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	40000.0	1600.0	0.11	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep006	6	overall	100	50000.0	2000.0	0.12	12078.3	5380.0	41260825
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	1000.0	40.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	4500.0	180.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	10000.0	400.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	20000.0	800.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	30000.0	1200.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	40000.0	1600.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	het	0	50000.0	2000.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	1000.0	40.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	4500.0	180.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	10000.0	400.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	20000.0	800.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	30000.0	1200.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	40000.0	1600.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_carrier	0	50000.0	2000.0				41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	1000.0	40.0	0.0	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	4500.0	180.0	0.0	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	10000.0	400.0	0.01	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	20000.0	800.0	0.04	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	30000.0	1200.0	0.11	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	40000.0	1600.0	0.2	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	hom_noncarrier	100	50000.0	2000.0	0.29	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	1000.0	40.0	0.0	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	4500.0	180.0	0.0	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	10000.0	400.0	0.01	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	20000.0	800.0	0.04	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	30000.0	1200.0	0.11	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	40000.0	1600.0	0.2	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep007	7	overall	100	50000.0	2000.0	0.29	7516.45	10040.0	41260826
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	1000.0	40.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	4500.0	180.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	10000.0	400.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	20000.0	800.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	30000.0	1200.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	40000.0	1600.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	het	0	50000.0	2000.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	1000.0	40.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	4500.0	180.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	10000.0	400.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	20000.0	800.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	30000.0	1200.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	40000.0	1600.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_carrier	0	50000.0	2000.0				41260827
eas_phlash	neutral	eas_phlash__neutral__rep008	8	hom_noncarrier	100	1000.0	40.0	0.0	22371.410761666164	8425.0	41260827
