replicate	model	history_id	ancestry_seed	mutation_seed	n_diploids	n_sites	n_trees	summary	elapsed_seconds_total
38	StandardCoalescent	-1	2547702943	3467282087	2000	925	648	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00038.tsv	19.369067499996163
39	StandardCoalescent	-1	2388689284	1101083035	2000	933	701	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00039.tsv	19.369067499996163
40	StandardCoalescent	-1	2704898684	1522388656	2000	941	631	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00040.tsv	19.369067499996163
41	StandardCoalescent	-1	2105405737	2217482534	2000	872	658	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00041.tsv	19.369067499996163
42	StandardCoalescent	-1	3519268166	1465646102	2000	790	614	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00042.tsv	19.369067499996163
43	StandardCoalescent	-1	2980512099	3550129984	2000	971	682	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00043.tsv	19.369067499996163
44	StandardCoalescent	-1	240863966	2946695406	2000	959	668	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00044.tsv	19.369067499996163
45	StandardCoalescent	-1	2958744302	1980532646	2000	910	631	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00045.tsv	19.369067499996163
46	StandardCoalescent	-1	1007107138	3848651112	2000	916	704	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00046.tsv	19.369067499996163
47	StandardCoalescent	-1	3584287111	4126322312	2000	906	621	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00047.tsv	19.369067499996163
48	StandardCoalescent	-1	252008512	1082083442	2000	923	664	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00048.tsv	19.369067499996163
49	StandardCoalescent	-1	737220197	1273852327	2000	923	688	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00049.tsv	19.369067499996163
50	StandardCoalescent	-1	2967191390	3015116026	2000	892	659	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00050.tsv	19.369067499996163
51	StandardCoalescent	-1	4270365580	596966798	2000	881	629	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00051.tsv	19.369067499996163
52	StandardCoalescent	-1	2945167118	4020868324	2000	949	717	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00052.tsv	19.369067499996163
53	StandardCoalescent	-1	461840755	285029911	2000	859	670	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00053.tsv	19.369067499996163
54	StandardCoalescent	-1	2957538317	3088754711	2000	872	677	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00054.tsv	19.369067499996163
55	StandardCoalescent	-1	2425350635	558659062	2000	881	637	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00055.tsv	19.369067499996163
56	StandardCoalescent	-1	1928396469	2872057661	2000	808	612	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00056.tsv	19.369067499996163
57	StandardCoalescent	-1	3834155356	1416186851	2000	876	638	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00057.tsv	19.369067499996163
58	StandardCoalescent	-1	30890578	3324228974	2000	868	701	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00058.tsv	19.369067499996163
59	StandardCoalescent	-1	3098880241	499649170	2000	914	648	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00059.tsv	19.369067499996163
60	StandardCoalescent	-1	1400289523	1481178885	2000	827	669	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00060.tsv	19.369067499996163
61	StandardCoalescent	-1	3788035580	2550002647	2000	971	655	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00061.tsv	19.369067499996163
62	StandardCoalescent	-1	292718135	1513813559	2000	888	671	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00062.tsv	19.369067499996163
63	StandardCoalescent	-1	2902675623	2210571832	2000	792	621	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00063.tsv	19.369067499996163
64	StandardCoalescent	-1	2191346392	3570996436	2000	832	657	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00064.tsv	19.369067499996163
65	StandardCoalescent	-1	1629680694	3196609090	2000	893	658	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00065.tsv	19.369067499996163
66	StandardCoalescent	-1	504462996	329198802	2000	833	627	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00066.tsv	19.369067499996163
67	StandardCoalescent	-1	4241645654	678703342	2000	789	579	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00067.tsv	19.369067499996163
68	StandardCoalescent	-1	2360273707	3963739916	2000	898	679	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00068.tsv	19.369067499996163
69	StandardCoalescent	-1	3087651965	3193538355	2000	919	688	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00069.tsv	19.369067499996163
70	StandardCoalescent	-1	4123170439	2557657215	2000	904	635	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00070.tsv	19.369067499996163
71	StandardCoalescent	-1	2893157526	595172419	2000	886	658	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00071.tsv	19.369067499996163
72	StandardCoalescent	-1	951905273	385170168	2000	896	613	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00072.tsv	19.369067499996163
73	StandardCoalescent	-1	1288632730	108673648	2000	786	576	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00073.tsv	19.369067499996163
74	StandardCoalescent	-1	2466365316	2677875920	2000	955	651	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00074.tsv	19.369067499996163
75	StandardCoalescent	-1	422203630	83308333	2000	944	586	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00075.tsv	19.369067499996163
76	StandardCoalescent	-1	2992721636	3731407141	2000	812	651	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00076.tsv	19.369067499996163
77	StandardCoalescent	-1	3729972710	285483438	2000	902	665	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00077.tsv	19.369067499996163
78	StandardCoalescent	-1	2065509208	2606706514	2000	957	668	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00078.tsv	19.369067499996163
79	StandardCoalescent	-1	376580950	2884479383	2000	866	617	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00079.tsv	19.369067499996163
80	StandardCoalescent	-1	3294169884	1640143311	2000	850	614	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00080.tsv	19.369067499996163
81	StandardCoalescent	-1	2269581779	2313828512	2000	890	690	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00081.tsv	19.369067499996163
82	StandardCoalescent	-1	203746209	1454379517	2000	780	588	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00082.tsv	19.369067499996163
83	StandardCoalescent	-1	3865858152	2701814800	2000	849	660	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00083.tsv	19.369067499996163
84	StandardCoalescent	-1	3693423776	3959588687	2000	832	614	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00084.tsv	19.369067499996163
85	StandardCoalescent	-1	2988919251	3059159997	2000	911	676	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00085.tsv	19.369067499996163
86	StandardCoalescent	-1	133778364	276443255	2000	823	661	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00086.tsv	19.369067499996163
