unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	statistic	window	threshold_years	score	final_population_af	sample_alt_count	sample_af
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	30000	0.14216450216199999	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	40000	0.17810485810500001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	50000	0.20786916786699999	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	1000	0.0084710057929999992	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	4500	0.035476415300000001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	10000	0.074382749260000006	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	20000	0.13557385080000001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	30000	0.186093905	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	40000	0.22808864570000001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	focal	50000	0.26347182629999999	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	1000	0.0101689206964	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	4500	0.043076647974299997	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	10000	0.089397292164799996	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	20000	0.16000185409500001	0.19533969232404283	46	0.23000000000000001
