schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	final_population_af	sample_alt_count	sample_af	statistic	window	threshold_years	threshold_generations	observed_score	n_neutral	neutral_mean	neutral_sd	neutral_q025	neutral_q05	neutral_median	neutral_q95	neutral_q975	neutral_upper_exceedance_count	neutral_lower_exceedance_count	neutral_strictly_less_count	neutral_tie_count	mc_p_upper	mc_p_lower	mc_p_two_sided	upper_tail_cp95_low	upper_tail_cp95_high	lower_tail_cp95_low	lower_tail_cp95_high	neutral_midrank_descriptive_auc	minimum_attainable_p	confidence_interval_method	pvalue_method	neutral_bank	primary_window	score_direction	auc_interpretation
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	50000	2000	0.12949494950000001	100	0.248432323234	0.094441080092572502	0.12754545456999999	0.14686868689500002	0.231010101	0.43562626266999999	0.44963131313999982	97	3	3	0	0.97029702970297027	0.039603960396039604	0.079207920792079209	0.91482394702572001	0.9937700284616936	0.0062299715383063968	0.08517605297428002	0.029999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	1000	40	0.00113516113505	100	0.00061048581046193001	0.00035168378099278372	0.000156565656550225	0.000202020202	0.0006060606061	0.0012126022124809999	0.0013775853774487493	8	92	92	0	0.089108910891089105	0.92079207920792083	0.17821782178217821	0.035171562518162808	0.15155763586442095	0.84844236413557905	0.96482843748183722	0.92000000000000004	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	4500	180	0.00390572390533	100	0.0040640692638683005	0.0012963583668681893	0.0023439153436782502	0.0024814814812295001	0.0038624338620500001	0.006440115440335	0.0072053872056689972	48	52	52	0	0.48514851485148514	0.52475247524752477	0.97029702970297027	0.3790054801779586	0.58221023459369325	0.41778976540630669	0.62099451982204146	0.52000000000000002	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	10000	400	0.024348244348099998	100	0.024707455507304001	0.0074954366632762484	0.015916546416819999	0.016416065416615	0.023876863876399999	0.035795574795564986	0.045466329965779963	43	57	57	0	0.43564356435643564	0.57425742574257421	0.87128712871287128	0.33139101663138321	0.53286626167515361	0.46713373832484634	0.66860898336861685	0.56999999999999995	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	20000	800	0.080000000006200001	100	0.091744396344129994	0.025855524260802006	0.061851130351235004	0.065805194806695	0.084713804713799995	0.14220779220925001	0.16135569985657497	64	36	36	0	0.64356435643564358	0.36633663366336633	0.73267326732673266	0.53787810667257674	0.73359157726676549	0.26640842273323451	0.46212189332742326	0.35999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	30000	1200	0.12968734968100001	100	0.15881308321267398	0.041591460959445423	0.10351779701250001	0.10788119287690001	0.14900432900650001	0.24252765753304992	0.2705913900861	72	28	28	0	0.72277227722772275	0.28712871287128711	0.57425742574257421	0.62133299528273267	0.80520637250881844	0.19479362749118154	0.37866700471726733	0.28000000000000003	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	40000	1600	0.169350649352	100	0.21600500240554002	0.053890977450304037	0.13929581529617502	0.14316835017495	0.20098605098549999	0.32651274652084999	0.35559211159227472	83	17	17	0	0.83168316831683164	0.17821782178217821	0.35643564356435642	0.74182458936784135	0.89773508996447171	0.10226491003552826	0.25817541063215865	0.17000000000000001	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	local_100kb	50000	2000	0.20098124099	100	0.26299538239551001	0.063067130854172149	0.16509499759312499	0.16963155363390001	0.24528138527599999	0.38486676286170002	0.40458032707584973	89	11	11	0	0.8910891089108911	0.11881188118811881	0.23762376237623761	0.81169886780355749	0.94379297971451248	0.05620702028548747	0.18830113219644257	0.11	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	han_selected_s0p01	Han	selected	0.01	20240658	29	0.19513936356	32	0.16	mean_p_tmrca_lt	focal	1000	34.482758620689658	0.016721066989999998	100	0.012622281886450003	0.0042516522712212788	0.0070939547595249997	0.0075284297280000002	0.01174918644	0.019715282622999996	0.025794504715	14	86	86	0	0.14851485148514851	0.86138613861386137	0.29702970297029702	0.078705404926965775	0.22372798137056774	0.77627201862943229	0.92129459507303424	0.85999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_introgressed_g645_af_gate_present_segregating_neutral	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	han_selected_s0p01	Han	selected	0.01	20240658	29	0.19513936356	32	0.16	mean_p_tmrca_lt	focal	4500	155.17241379310346	0.077657668740000005	100	0.058209505699399991	0.019689712332332115	0.033357060207500004	0.036403390813000001	0.054482932924999998	0.088780317396499941	0.11584649846499996	12	88	88	0	0.12871287128712872	0.88118811881188119	0.25742574257425743	0.06356890256115931	0.20023568361996882	0.7997643163800312	0.93643109743884068	0.88	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_introgressed_g645_af_gate_present_segregating_neutral	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
