summary_scope	aggregation_weighting	is_headline	minimum_paired_replicates_per_cell	n_total_biological_cells	n_biological_cells_with_pairs	n_biological_cells_meeting_minimum	n_biological_cells_in_detection_rate	base_specification_id	selection_coefficient	target_allele_frequency	metric	n_paired_replicates	tree_truth_mean	gamma_smc_mean	gamma_minus_truth_bias	mae	rmse	pearson	spearman	truth_expected_sign_count	truth_expected_sign_rate	truth_expected_sign_wilson95_low	truth_expected_sign_wilson95_high	gamma_expected_sign_count	gamma_expected_sign_rate	gamma_expected_sign_wilson95_low	gamma_expected_sign_wilson95_high	raw_truth_gamma_sign_agreement_count	raw_truth_gamma_sign_agreement_rate	raw_truth_gamma_sign_agreement_wilson95_low	raw_truth_gamma_sign_agreement_wilson95_high	truth_expected_sign_denominator	gamma_detection_given_truth_expected_sign_count	gamma_detection_given_truth_expected_sign_rate	gamma_detection_given_truth_expected_sign_wilson95_low	gamma_detection_given_truth_expected_sign_wilson95_high	interval_method	raw_sign_agreement_rule	detection_rule	pairing_rule
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af80	0.005	0.8	alt_minus_ref_normalized_cdf_auc	10	-0.01072304008593986	0.014059190248354942	0.024782230334294796	0.05744457783420083	0.0813766562414335	0.9740057933940595	0.7939393939393938	6.0	0.6	0.31267376973365824	0.8318196702937638	6.0	0.6	0.31267376973365824	0.8318196702937638	10.0	1.0	0.7224672001371107	0.9999999999999999	6.0	6.0	1.0	0.6096657120978346	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		0	intro_s0p005_af90	0.005	0.9	alt_minus_ref_normalized_cdf_auc	4	-0.43192929606146324	-0.2205926657656087	0.2113366302958546	0.2113366302958546	0.27498775133129777	0.8740627946830892	0.7999999999999999	0.0	0.0	0.0	0.4898908364545973	2.0	0.5	0.15003898915214947	0.8499610108478506	2.0	0.5	0.15003898915214947	0.8499610108478506	0.0	0.0				wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af10	0.001	0.1	alt_minus_ref_normalized_cdf_auc	10	0.2393364604316334	0.20895043118456655	-0.030386029247066924	0.09567393244532718	0.1072482096083665	0.7689071559744013	0.406060606060606	10.0	1.0	0.7224672001371107	0.9999999999999999	9.0	0.9	0.5958499732047615	0.9821237869049271	9.0	0.9	0.5958499732047615	0.9821237869049271	10.0	9.0	0.9	0.5958499732047615	0.9821237869049271	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af20	0.001	0.2	alt_minus_ref_normalized_cdf_auc	10	0.1845444726862207	0.11670696713690942	-0.06783750554931128	0.12486675236356304	0.13359600078586287	0.596252879536248	0.5757575757575757	10.0	1.0	0.7224672001371107	0.9999999999999999	8.0	0.8	0.49016247153664183	0.9433178485456247	8.0	0.8	0.49016247153664183	0.9433178485456247	10.0	8.0	0.8	0.49016247153664183	0.9433178485456247	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af30	0.001	0.3	alt_minus_ref_normalized_cdf_auc	10	0.15470105746024662	0.1163487667135588	-0.03835229074668781	0.0601461907256967	0.08763721778981834	0.7678762404647885	0.8666666666666665	10.0	1.0	0.7224672001371107	0.9999999999999999	9.0	0.9	0.5958499732047615	0.9821237869049271	9.0	0.9	0.5958499732047615	0.9821237869049271	10.0	9.0	0.9	0.5958499732047615	0.9821237869049271	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af40	0.001	0.4	alt_minus_ref_normalized_cdf_auc	8	0.09790300924657432	0.10530766993322438	0.007404660686650043	0.04729286067332439	0.057435290610414046	0.912868053912428	0.7380952380952381	6.0	0.75	0.40927543031016883	0.9285207872478909	6.0	0.75	0.40927543031016883	0.9285207872478909	6.0	0.75	0.40927543031016883	0.9285207872478909	6.0	5.0	0.8333333333333334	0.43649717781352987	0.9699466302516935	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af50	0.001	0.5	alt_minus_ref_normalized_cdf_auc	5	0.12490218119215375	0.11829766389322298	-0.0066045172989307455	0.09985098286547278	0.11800652423938258	0.22242157201242027	0.3	5.0	1.0	0.5655175352168251	1.0	4.0	0.8	0.37553462976252533	0.9637758913675698	4.0	0.8	0.37553462976252533	0.9637758913675698	5.0	4.0	0.8	0.37553462976252533	0.9637758913675698	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af60	0.001	0.6	alt_minus_ref_normalized_cdf_auc	4	0.026810200882981958	0.13131558782520442	0.10450538694222244	0.16119068333757197	0.17433641410522782	0.8958621530735361	0.39999999999999997	3.0	0.75	0.30064184258240184	0.9544127391902995	3.0	0.75	0.30064184258240184	0.9544127391902995	4.0	1.0	0.5101091635454027	1.0	3.0	3.0	1.0	0.4385029682449546	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	0		0	intro_s0p001_af70	0.001	0.7	alt_minus_ref_normalized_cdf_auc	0								0.0				0.0				0.0				0.0	0.0				wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		0	intro_s0p001_af80	0.001	0.8	alt_minus_ref_normalized_cdf_auc	1	-0.2659375	-0.14254425254944997	0.12339324745055003	0.12339324745055003	0.12339324745055003			0.0	0.0	0.0	0.7934506856227626	0.0	0.0	0.0	0.7934506856227626	1.0	1.0	0.20654931437723745	1.0	0.0	0.0				wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	0		0	intro_s0p001_af90	0.001	0.9	alt_minus_ref_normalized_cdf_auc	0								0.0				0.0				0.0				0.0	0.0				wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af10	0.01	0.1	alt_minus_ref_mean_tmrca_generations	3	-32609.428833298032	-27523.448155066668	5085.980678231366	6241.3959349764655	8989.582509893029	0.9273296635458878	0.5	3.0	1.0	0.4385029682449546	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	3.0	1.0	0.4385029682449546	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af20	0.01	0.2	alt_minus_ref_mean_tmrca_generations	3	-13930.714004614116	-10924.073059666667	3006.640944947449	8280.130198066021	10708.648977635885	0.6477681094804241	0.5	2.0	0.6666666666666666	0.2076596008020477	0.9385080552796037	3.0	1.0	0.4385029682449546	1.0	2.0	0.6666666666666666	0.2076596008020477	0.9385080552796037	2.0	2.0	1.0	0.34238022750665303	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af30	0.01	0.3	alt_minus_ref_mean_tmrca_generations	5	-13797.643119232573	-12800.0472786	997.5958406325717	3643.5872114530844	3750.3306203178176	0.9645590750134717	0.9999999999999999	5.0	1.0	0.5655175352168251	1.0	4.0	0.8	0.37553462976252533	0.9637758913675698	4.0	0.8	0.37553462976252533	0.9637758913675698	5.0	4.0	0.8	0.37553462976252533	0.9637758913675698	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af40	0.01	0.4	alt_minus_ref_mean_tmrca_generations	4	-17615.01447076658	-12702.525735250001	4912.488735516579	9526.69886151658	10225.667356479595	0.8957896099134879	0.7999999999999999	3.0	0.75	0.30064184258240184	0.9544127391902995	4.0	1.0	0.5101091635454027	1.0	3.0	0.75	0.30064184258240184	0.9544127391902995	3.0	3.0	1.0	0.4385029682449546	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af50	0.01	0.5	alt_minus_ref_mean_tmrca_generations	1	-6776.0526315789475	-8600.622702	-1824.570070421053	1824.570070421053	1824.570070421053			1.0	1.0	0.20654931437723745	1.0	1.0	1.0	0.20654931437723745	1.0	1.0	1.0	0.20654931437723745	1.0	1.0	1.0	1.0	0.20654931437723745	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af60	0.01	0.6	alt_minus_ref_mean_tmrca_generations	3	-9420.789839656894	-12119.244652666668	-2698.4548130097733	2934.146626656641	3992.9864031971797	0.9899438122254878	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	3.0	1.0	0.4385029682449546	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af70	0.01	0.7	alt_minus_ref_mean_tmrca_generations	2	-36191.467021368546	-16753.693311	19437.77371036855	19437.77371036855	24702.759315088584	1.0	0.9999999999999999	1.0	0.5	0.09453120573423074	0.9054687942657693	1.0	0.5	0.09453120573423074	0.9054687942657693	2.0	1.0	0.34238022750665303	1.0	1.0	1.0	1.0	0.20654931437723745	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
