summary_scope	base_specification_id	selection_coefficient	target_allele_frequency	genotype_class	threshold_years	n_paired_replicates	gamma_minus_truth_bias	mae	rmse	aggregation_weighting	pairing_rule
cell	intro_s0p001_af10	0.001	0.1	hom_ref	4500.0	10	0.013028946510890222	0.013028946510890222	0.015720980105864122	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_ref	10000.0	10	0.026199675470263046	0.026986309552469927	0.031943798700327826	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_ref	20000.0	10	0.01032280029470389	0.03688543904970355	0.04402679236471657	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_ref	30000.0	10	-0.004389115427930295	0.032495170887260914	0.03838543494621989	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_ref	40000.0	10	-0.015192054255400841	0.045965650046449216	0.051159766500720794	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_ref	50000.0	10	-0.02822239556243043	0.04310530907698062	0.050932848759496864	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	overall	1000.0	10	0.006592679423800001	0.006592679423800001	0.007800149984214126	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	overall	4500.0	10	0.011728858545799999	0.011728858545799999	0.01369261315985718	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	overall	10000.0	10	0.021347663204000004	0.021358504150000002	0.025685768351487736	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	overall	20000.0	10	0.018971626683999997	0.029525740144	0.03434637428195913	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	overall	30000.0	10	-0.004287140640000001	0.023759450192000004	0.028217595282201646	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	overall	40000.0	10	-0.016308243968	0.03612873162	0.04512342697680175	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
