base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency	simulation_status	decode_status	error_type	detail	decode_error_type	decode_detail	invocation_count	cumulative_elapsed_seconds	completed_external_draws	launched_external_draws	interrupted_internal_conditioned_trajectories	last_completed_draw_sample_af	last_completed_draw_n_hom_ref	conditioning_missingness	status
intro_s0p005_af30	intro_s0p005_af30__rep002	2	intro_s0p005_af30__rep002	0.005	0.3	complete	complete					1	133.0683396999957	1	1	0	0.795	7.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep003	3	intro_s0p005_af30__rep003	0.005	0.3	complete	complete					1	184.2796671999968	3	3	0	0.595	19.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep004	4	intro_s0p005_af30__rep004	0.005	0.3	complete	complete					1	75.82121759996517	1	1	0	0.8	3.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep005	5	intro_s0p005_af30__rep005	0.005	0.3	complete	complete					1	76.40350680000847	1	1	0	0.62	10.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep006	6	intro_s0p005_af30__rep006	0.005	0.3	complete	complete					2	373.3152272999869	4	5	1	0.83	3.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep007	7	intro_s0p005_af30__rep007	0.005	0.3	complete	complete					2	113.59818340005586	1	1	0	0.8	2.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep008	8	intro_s0p005_af30__rep008	0.005	0.3	complete	complete					1	221.0079884000006	2	2	0	0.58	14.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep009	9	intro_s0p005_af30__rep009	0.005	0.3	complete	complete					1	65.97958360001212	1	1	0	0.78	2.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep010	10	intro_s0p005_af30__rep010	0.005	0.3	complete	complete					1	50.10998979996657	1	1	0	0.84	7.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep001	1	intro_s0p005_af40__rep001	0.005	0.4	complete	complete					1	81.99166399997193	1	1	0	0.67	11.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep002	2	intro_s0p005_af40__rep002	0.005	0.4	complete	complete					1	115.87480770004912	1	1	0	0.84	3.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep003	3	intro_s0p005_af40__rep003	0.005	0.4	complete	complete					1	88.54187079996336	1	1	0	0.85	4.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep004	4	intro_s0p005_af40__rep004	0.005	0.4	complete	complete					1	88.93500160000985	1	1	0	0.77	6.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep005	5	intro_s0p005_af40__rep005	0.005	0.4	complete	complete					1	250.3428322999971	2	2	0	0.59	17.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep006	6	intro_s0p005_af40__rep006	0.005	0.4	complete	complete					1	56.52500599995256	1	1	0	0.56	15.0	nonrandom	complete
intro_s0p005_af40	intro_s0p005_af40__rep007	7	intro_s0p005_af40__rep007	0.005	0.4	complete	complete					1	279.0671501000179	5	5	0	0.85	3.0	nonrandom	complete
