base_specification_id	selection_coefficient	target_allele_frequency	source	metric	expected_sweep_sign	target_replicates	accepted_replicates	decoded_replicates	n_observed_replicates	mean	median	sample_sd	q25	q75	iqr	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	expected_sign_count	expected_sign_rate	expected_sign_wilson95_low	expected_sign_wilson95_high	conditioning_missingness
intro_s0p010_af30	0.01	0.3	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	5	5	5	-12800.0472786	-9441.594025	12881.709802343774	-23664.998412	-5282.333119999999	18382.665292	-22747.7740726	-2940.2378765999997	5000	1634619198	4	0.8	0.37553462976252533	0.9637758913675698	nonrandom
intro_s0p010_af40	0.01	0.4	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	4	4	4	0.21479067830490403	0.37676439232409376	0.3745385332671342	0.14978348214285714	0.4417715884861407	0.29198810634328354	-0.14441021455223882	0.4428715351812367	5000	2104725939	3	0.75	0.30064184258240184	0.9544127391902995	nonrandom
intro_s0p010_af40	0.01	0.4	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	4	4	4	-17615.01447076658	-20502.842617742048	13010.593113509856	-23988.102451060568	-14129.754637448059	9858.347813612509	-27305.489364836016	-5036.711429721671	5000	213447520	3	0.75	0.30064184258240184	0.9544127391902995	nonrandom
intro_s0p010_af40	0.01	0.4	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	4	4	4	0.18161060102906879	0.22086130451738523	0.21745585184336086	0.12767659387319996	0.27479531167325405	0.1471187178000541	-0.030355218622707465	0.3543257171925286	5000	402095972	3	0.75	0.30064184258240184	0.9544127391902995	nonrandom
intro_s0p010_af40	0.01	0.4	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	4	4	4	-12702.525735250001	-13437.277869999998	3064.0577820206086	-14916.101397249999	-11223.702207999999	3692.39918925	-15048.3599145	-10162.963409	5000	78894634	4	1.0	0.5101091635454027	1.0	nonrandom
intro_s0p010_af50	0.01	0.5	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	1	1	1	0.5172445820433437	0.5172445820433437		0.5172445820433437	0.5172445820433437	0.0	0.5172445820433437	0.5172445820433437	5000	1515414589	1	1.0	0.20654931437723745	1.0	nonrandom
intro_s0p010_af50	0.01	0.5	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	1	1	1	-6776.0526315789475	-6776.0526315789475		-6776.0526315789475	-6776.0526315789475	0.0	-6776.0526315789475	-6776.0526315789475	5000	1553303990	1	1.0	0.20654931437723745	1.0	nonrandom
intro_s0p010_af50	0.01	0.5	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	1	1	1	0.1616096214485	0.1616096214485		0.1616096214485	0.1616096214485	0.0	0.1616096214485	0.1616096214485	5000	1073066009	1	1.0	0.20654931437723745	1.0	nonrandom
intro_s0p010_af50	0.01	0.5	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	1	1	1	-8600.622702	-8600.622702		-8600.622702	-8600.622702	0.0	-8600.622702	-8600.622702	5000	1131232323	1	1.0	0.20654931437723745	1.0	nonrandom
intro_s0p010_af60	0.01	0.6	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	3	3	3	0.4083974058446633	0.4412962962962963	0.06119967006413593	0.3895405532114393	0.4437037037037037	0.05416315049226439	0.3377848101265823	0.44611111111111107	5000	942905178	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af60	0.01	0.6	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	3	3	3	-9420.789839656894	-10176.056156969516	6783.898155918314	-12985.75266071991	-6233.46017725019	6752.2924834697205	-15795.449164470303	-2290.864197530864	5000	766947955	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af60	0.01	0.6	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	3	3	3	0.35710643455291907	0.36130344242070445	0.012844416236104154	0.3519959813287745	0.3643153917109562	0.012319410382181706	0.3426885202368446	0.36732734100120795	5000	1799357385	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af60	0.01	0.6	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	3	3	3	-12119.244652666668	-11949.501476000001	3241.130564492656	-13695.706460000001	-10457.911257	3237.7952030000015	-15441.911444000003	-8966.321038	5000	1540586154	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af70	0.01	0.7	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	2	2	2	-0.05171892655367227	-0.05171892655367227	0.8915877444352649	-0.36694279661016943	0.2635049435028249	0.6304477401129943	-0.6821666666666666	0.578728813559322	5000	1581203198	1	0.5	0.09453120573423074	0.9054687942657693	nonrandom
intro_s0p010_af70	0.01	0.7	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	2	2	2	-36191.467021368546	-36191.467021368546	53262.143114687766	-55022.4783098306	-17360.4557329065	37662.0225769241	-73853.48959829265	1470.5555555555557	5000	1324937187	1	0.5	0.09453120573423074	0.9054687942657693	nonrandom
intro_s0p010_af70	0.01	0.7	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	2	2	2	0.0408874706236074	0.0408874706236074	0.6716149217290764	-0.19656426212674377	0.27833920337395857	0.47490346550070234	-0.4340159948770949	0.5157909361243097	5000	1238973639	1	0.5	0.09453120573423074	0.9054687942657693	nonrandom
intro_s0p010_af70	0.01	0.7	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	2	2	2	-16753.693311	-16753.693311	31702.956165097068	-27962.380955	-5545.005666999999	22417.375288000003	-39171.068599	5663.681977	5000	1941667803	1	0.5	0.09453120573423074	0.9054687942657693	nonrandom
intro_s0p010_af80	0.01	0.8	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	2	2	2	0.04403333333333331	0.04403333333333331	0.16753716668913265	-0.015200000000000019	0.10326666666666665	0.11846666666666666	-0.07443333333333335	0.16249999999999998	5000	642192041	1	0.5	0.09453120573423074	0.9054687942657693	nonrandom
intro_s0p010_af80	0.01	0.8	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	2	2	2	-25345.69499199564	-25345.69499199564	35816.978424150344	-38008.90915466013	-12682.48082933115	25326.428325328976	-50672.12331732461	-19.26666666666688	5000	1627289448	2	1.0	0.34238022750665303	1.0	nonrandom
intro_s0p010_af80	0.01	0.8	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	2	2	2	0.052397163917606765	0.052397163917606765	0.223968480427606	-0.02678765172359661	0.13158197955881012	0.15836963128240672	-0.10597246736479998	0.2107667952000135	5000	2001210832	1	0.5	0.09453120573423074	0.9054687942657693	nonrandom
intro_s0p010_af80	0.01	0.8	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	2	2	2	-12336.2148945	-12336.2148945	6169.356470008343	-14517.41179225	-10155.01799675	4362.3937955	-16698.60869	-7973.821099	5000	626542521	2	1.0	0.34238022750665303	1.0	nonrandom
intro_s0p010_af90	0.01	0.9	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	0	0	0									5000	1248118882	0				nonrandom
intro_s0p010_af90	0.01	0.9	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	0	0	0									5000	736453652	0				nonrandom
intro_s0p010_af90	0.01	0.9	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	0	0	0									5000	50263604	0				nonrandom
intro_s0p010_af90	0.01	0.9	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	0	0	0									5000	1105163377	0				nonrandom
intro_s0p005_af10	0.005	0.1	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.013745496655820972	0.05760833333333335	0.22888259942173206	-0.14930311561561563	0.17363050150189369	0.32293361711750934	-0.12213323499803595	0.1430731878146579	5000	1895684306	5	0.5	0.236593090512564	0.7634069094874361	nonrandom
intro_s0p005_af10	0.005	0.1	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-29530.584555202782	-15187.425005321005	36706.228973291676	-22317.172011454797	-10866.030299536906	11451.141711917891	-53267.397578319426	-10896.628288138823	5000	183367983	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p005_af10	0.005	0.1	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.0666313800603143	0.11792626287108998	0.21606758832146478	-0.00989776156877873	0.15468675113671027	0.164584512705489	-0.06675288784686122	0.1803618875504355	5000	357514598	7	0.7	0.39677814746114537	0.8922087325936989	nonrandom
intro_s0p005_af10	0.005	0.1	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-15221.4877131	-15736.051068	11907.225153562438	-21921.982446	-9809.08272875	12112.899717250002	-22415.9350201075	-7925.212624827502	5000	802569601	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
intro_s0p005_af20	0.005	0.2	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.13001199991171913	0.196061872909699	0.2695457066539946	0.13589508083935328	0.22954152846876727	0.09364644762941399	-0.052982072994854315	0.2582904925936643	5000	751610844	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
intro_s0p005_af20	0.005	0.2	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-27227.478749433143	-23356.811782063873	19620.897528623012	-33231.63183207132	-16734.9976858089	16496.63414626242	-39621.037326693026	-16829.499539188102	5000	89013895	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
