source	position_0based	contrast_scope	alt_minus_ref_normalized_cdf_auc	alt_minus_ref_mean_tmrca_generations	alt_minus_ref_mean_tmrca_years	expected_sweep_sign_normalized_cdf_auc	expected_sweep_sign_mean_tmrca	base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.2122881355932204	-46608.71854438774	-1165217.9636096936	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep008	8	intro_s0p001_af20__rep008	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.035700489817149995	-13121.18328	-328029.582	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep008	8	intro_s0p001_af20__rep008	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.4202083333333334	-24070.73630112781	-601768.4075281953	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep009	9	intro_s0p001_af20__rep009	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.301902109486515	-18645.326499	-466133.16247499996	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep009	9	intro_s0p001_af20__rep009	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.01370370370370376	-34745.320027450245	-868633.0006862561	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep010	10	intro_s0p001_af20__rep010	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.0879101997970245	5436.443090000001	135911.07725000003	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep010	10	intro_s0p001_af20__rep010	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.1459577922077922	-22382.657833307174	-559566.4458326794	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep001	1	intro_s0p001_af30__rep001	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.11515855434867002	-17348.164237	-433704.10592500004	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep001	1	intro_s0p001_af30__rep001	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.1018484848484849	-26453.061503383426	-661326.5375845856	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep002	2	intro_s0p001_af30__rep002	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.11479847799875	-13468.71379	-336717.84475	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep002	2	intro_s0p001_af30__rep002	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.15995974235104668	-28974.823274844053	-724370.5818711013	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep003	3	intro_s0p001_af30__rep003	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.13942709394359498	-20020.998555	-500524.96387499996	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep003	3	intro_s0p001_af30__rep003	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.2004166666666667	-27767.878822674724	-694196.9705668681	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep004	4	intro_s0p001_af30__rep004	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.19458978408459998	-12565.827534	-314145.68835	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep004	4	intro_s0p001_af30__rep004	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.02486086956521738	-8758.730434782608	-218968.26086956522	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep005	5	intro_s0p001_af30__rep005	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.03269124109920002	-13750.636459000001	-343765.91147500003	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep005	5	intro_s0p001_af30__rep005	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.08203416149068322	-8794.440993788821	-219861.02484472052	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep006	6	intro_s0p001_af30__rep006	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.01757657194908327	-13969.01014	-349225.2535	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep006	6	intro_s0p001_af30__rep006	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.04696666666666663	-25973.32474897889	-649333.1187244722	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep007	7	intro_s0p001_af30__rep007	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.12666969178454995	-13735.743648000001	-343393.5912	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep007	7	intro_s0p001_af30__rep007	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.09054545454545457	-7416.200008	-185405.0002	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep008	8	intro_s0p001_af30__rep008	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.011534018543899932	-1064.270649	-26606.766225	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep008	8	intro_s0p001_af30__rep008	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.47703124999999996	-43948.8026427536	-1098720.06606884	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep009	9	intro_s0p001_af30__rep009	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.24271874769429	-15828.845784000001	-395721.1446	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep009	9	intro_s0p001_af30__rep009	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.21738948626045396	-10074.246377757609	-251856.1594439402	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep010	10	intro_s0p001_af30__rep010	0.001	0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.23370596788734999	-14221.890082999998	-355547.25207499997	positive	negative	intro_s0p001_af30	intro_s0p001_af30__rep010	10	intro_s0p001_af30__rep010	0.001	0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.07700757575757577	-18295.65709720682	-457391.4274301705	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep001	1	intro_s0p001_af40__rep001	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.0771490247472	-20720.673887999998	-518016.84719999996	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep001	1	intro_s0p001_af40__rep001	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.027236842105263157	-32016.052060399215	-800401.3015099803	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep003	3	intro_s0p001_af40__rep003	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.02657223627699999	-4088.6757800000014	-102216.89450000004	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep003	3	intro_s0p001_af40__rep003	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.0011666666666667047	-33089.63235252467	-827240.8088131167	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep004	4	intro_s0p001_af40__rep004	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.05657196771784999	-17943.896661	-448597.41652499995	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep004	4	intro_s0p001_af40__rep004	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.06937500000000003	-7093.442823214727	-177336.07058036816	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep005	5	intro_s0p001_af40__rep005	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.02160092401915495	-9093.943581000001	-227348.58952500005	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep005	5	intro_s0p001_af40__rep005	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.014852941176470569	-23011.491994392392	-575287.2998598098	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep006	6	intro_s0p001_af40__rep006	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.07966021512376506	-14267.243392999999	-356681.08482499997	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep006	6	intro_s0p001_af40__rep006	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.1911111111111111	-36162.045555301826	-904051.1388825456	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep008	8	intro_s0p001_af40__rep008	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.17811525764273495	-22760.824913000004	-569020.6228250001	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep008	8	intro_s0p001_af40__rep008	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.23328869047619044	-54117.65414338273	-1352941.3535845682	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep009	9	intro_s0p001_af40__rep009	0.001	0.4
