base_specification_id	selection_coefficient	target_allele_frequency	source	genotype_class	threshold_years	n_observed_replicates	mean_p_tmrca_lt_threshold	median_p_tmrca_lt_threshold	sample_sd_p_tmrca_lt_threshold	q25_p_tmrca_lt_threshold	q75_p_tmrca_lt_threshold	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	conditioning_missingness
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	40000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	405208502	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	50000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	694789242	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	1000.0	10	0.01037037037037036	0.0	0.02295101242196985	0.0	0.0	0.0	0.02522222222222166	5000	280349146	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	4500.0	10	0.06835978835978834	0.0	0.10957159706895651	0.0	0.11851851851851848	0.01333333333333333	0.1419047619047619	5000	2004962131	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	10000.0	10	0.11572089947089945	0.06828703703703701	0.15963322756840448	0.0	0.13492063492063489	0.034722222222222224	0.2169907407407407	5000	1307037082	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	20000.0	10	0.17007275132275132	0.12698412698412695	0.20235057401021583	0.027777777777777776	0.17766203703703703	0.0693121693121693	0.30394675925925907	5000	264218357	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	30000.0	10	0.394973544973545	0.30952380952380953	0.25664648239478755	0.25231481481481477	0.5396825396825397	0.24986441798941797	0.5531845238095237	5000	63633054	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	40000.0	10	0.5826124338624339	0.519047619047619	0.2471175509598137	0.4392361111111111	0.7708333333333334	0.43738095238095237	0.7293095238095239	5000	1447801735	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_alt	50000.0	10	0.7794642857142857	0.8452380952380952	0.24605754633026816	0.5277777777777778	1.0	0.6287698412698413	0.915873015873016	5000	420401855	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	1000.0	10	0.0038517975055025596	0.0	0.008175812883620655	0.0	0.0	0.0	0.009427732942039599	5000	760510580	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	4500.0	10	0.026163077762809777	0.0278796771826852	0.022974516154542553	0.0032051282051282	0.0422240802675585	0.01301996130957978	0.03964411384051559	5000	1161220975	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	10000.0	10	0.03649036092973694	0.04050736497545005	0.028378855427733368	0.014934533551554798	0.0499042145593869	0.02008524277141296	0.053650569150776435	5000	35018400	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	20000.0	10	0.08055880815729612	0.07460447354064376	0.05732698477648288	0.0532161803713527	0.12659574468085102	0.04744248170513757	0.11521748321829262	5000	1424505314	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	30000.0	10	0.1152871086249303	0.10491562729273654	0.05771031998690443	0.08786824877250407	0.16388888888888883	0.08001921106500981	0.14842680649039489	5000	342547386	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	40000.0	10	0.14220096905640084	0.12417461482024944	0.06400000239495443	0.09871112929623563	0.19444444444444442	0.10505963825988353	0.1801079138966609	5000	1666882931	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	hom_ref	50000.0	10	0.16904110210343043	0.1362732095490716	0.07574037506513313	0.12715298885511644	0.2074879227053139	0.12942630012296039	0.21733282222967693	5000	1183360633	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	overall	1000.0	10	0.004	0.0	0.0051639777949432225	0.0	0.01	0.001	0.007000000000000001	5000	871344487	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	overall	4500.0	10	0.016999999999999998	0.015	0.013374935098492587	0.01	0.0275	0.009999999999999998	0.025	5000	1316453981	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	overall	10000.0	10	0.026000000000000002	0.03	0.01577621275493231	0.02	0.03	0.017	0.036	5000	1714639445	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	overall	20000.0	10	0.053000000000000005	0.055	0.029078437983419185	0.04	0.0675	0.036	0.07000000000000002	5000	1900156349	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	overall	30000.0	10	0.095	0.08499999999999999	0.03064129385141706	0.07	0.1175	0.078	0.11400000000000002	5000	1468906331	nonrandom
