base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency	achieved_allele_frequency	achieved_allele_frequency_scope	accepted_seed	attempts_to_accept	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	launched_external_draws	invocation_count	cumulative_elapsed_seconds	n_hom_ref	n_heterozygous	n_hom_alt	decoded	conditioning_missingness
intro_s0p005_af40	intro_s0p005_af40__rep002	2	intro_s0p005_af40__rep002	0.005	0.4	0.84	sample_estimate	1072504020	1	1	0	1	1	115.87480770004912	3	26	71	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep003	3	intro_s0p005_af40__rep003	0.005	0.4	0.85	sample_estimate	1186251239	1	1	0	1	1	88.54187079996336	4	22	74	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep004	4	intro_s0p005_af40__rep004	0.005	0.4	0.77	sample_estimate	520072175	1	1	0	1	1	88.93500160000985	6	34	60	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep005	5	intro_s0p005_af40__rep005	0.005	0.4	0.59	sample_estimate	1629390698	2	2	0	2	1	250.3428322999971	17	48	35	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep006	6	intro_s0p005_af40__rep006	0.005	0.4	0.56	sample_estimate	71695893	1	1	0	1	1	56.52500599995256	15	58	27	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep007	7	intro_s0p005_af40__rep007	0.005	0.4	0.85	sample_estimate	1375802212	5	5	0	5	1	279.0671501000179	3	24	73	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep008	8	intro_s0p005_af40__rep008	0.005	0.4	0.705	sample_estimate	1386973034	1	1	0	1	1	52.23420489998534	9	41	50	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep009	9	intro_s0p005_af40__rep009	0.005	0.4	0.88	sample_estimate	2100776062	2	2	0	2	1	95.79528339998797	3	18	79	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep010	10	intro_s0p005_af40__rep010	0.005	0.4	0.83	sample_estimate	1124530705	1	1	0	1	1	76.1170702999807	4	26	70	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep001	1	intro_s0p005_af50__rep001	0.005	0.5	0.57	sample_estimate	1362705072	2	2	0	2	1	215.6928982999525	19	48	33	True	nonrandom
