key,position_bp,decoded_all_T50000
neutral/rep0286,2390000,0.1454
neutral/rep0286,2400000,0.1673
neutral/rep0286,2410000,0.1676
neutral/rep0286,2420000,0.2078
neutral/rep0286,2430000,0.2426
neutral/rep0286,2440000,0.2203
neutral/rep0286,2450000,0.1697
neutral/rep0286,2460000,0.179
neutral/rep0286,2470000,0.184
neutral/rep0286,2480000,0.1676
neutral/rep0286,2490000,0.1324
neutral/rep0286,2500000,0.1429
neutral/rep0286,2510000,0.1726
neutral/rep0286,2520000,0.2123
neutral/rep0286,2530000,0.1797
neutral/rep0286,2540000,0.1962
neutral/rep0286,2550000,0.2244
neutral/rep0286,2560000,0.2317
neutral/rep0286,2570000,0.2238
neutral/rep0286,2580000,0.2228
neutral/rep0286,2590000,0.2071
neutral/rep0286,2600000,0.2423
neutral/rep0286,2610000,0.2232
neutral/rep0286,2620000,0.3051
neutral/rep0286,2630000,0.2719
neutral/rep0286,2640000,0.2069
neutral/rep0286,2650000,0.2472
neutral/rep0286,2660000,0.2461
neutral/rep0286,2670000,0.2726
neutral/rep0286,2680000,0.2964
neutral/rep0286,2690000,0.2755
neutral/rep0286,2700000,0.1933
neutral/rep0286,2710000,0.2059
neutral/rep0286,2720000,0.1874
neutral/rep0286,2730000,0.1678
neutral/rep0286,2740000,0.1801
neutral/rep0286,2750000,0.1672
neutral/rep0286,2760000,0.1479
neutral/rep0286,2770000,0.1449
neutral/rep0286,2780000,0.1594
neutral/rep0286,2790000,0.1661
neutral/rep0286,2800000,0.1641
neutral/rep0286,2810000,0.164
neutral/rep0286,2820000,0.1464
neutral/rep0286,2830000,0.1423
neutral/rep0286,2840000,0.1826
neutral/rep0286,2850000,0.1953
neutral/rep0286,2860000,0.2359
neutral/rep0286,2870000,0.2684
neutral/rep0286,2880000,0.3954
neutral/rep0286,2890000,0.4367
neutral/rep0286,2900000,0.4315
neutral/rep0286,2910000,0.385
neutral/rep0286,2920000,0.34
neutral/rep0286,2930000,0.3145
neutral/rep0286,2940000,0.2343
neutral/rep0286,2950000,0.1771
neutral/rep0286,2960000,0.2088
neutral/rep0286,2970000,0.2189
neutral/rep0286,2980000,0.2424
neutral/rep0286,2990000,0.2335
neutral/rep0286,3000000,0.2381
neutral/rep0286,3010000,0.3261
neutral/rep0286,3020000,0.2996
neutral/rep0286,3030000,0.3082
neutral/rep0286,3040000,0.3163
neutral/rep0286,3050000,0.25
neutral/rep0286,3060000,0.1791
neutral/rep0286,3070000,0.1702
neutral/rep0286,3080000,0.1732
neutral/rep0286,3090000,0.1939
neutral/rep0286,3100000,0.1905
neutral/rep0286,3110000,0.19
neutral/rep0286,3120000,0.2585
neutral/rep0286,3130000,0.3024
neutral/rep0286,3140000,0.3161
neutral/rep0286,3150000,0.3445
neutral/rep0286,3160000,0.3372
neutral/rep0286,3170000,0.3399
neutral/rep0286,3180000,0.2528
neutral/rep0286,3190000,0.2856
neutral/rep0286,3200000,0.2824
