source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,480000.0,neutral,40000,1000,0.17594545999999997,0.0013978678968505735
decoded,480000.0,neutral,50000,1000,0.21395019,0.0016798833879948815
decoded,480000.0,selected,5000,100,0.0049926,7.397933372355972e-05
decoded,480000.0,selected,10000,100,0.022268700000000002,0.0004016505505379953
decoded,480000.0,selected,20000,100,0.0761967,0.0016305084975881206
decoded,480000.0,selected,30000,100,0.1278096,0.00302041382514905
decoded,480000.0,selected,40000,100,0.16989030000000002,0.004161997639670913
decoded,480000.0,selected,50000,100,0.20386479999999998,0.004841462354172413
decoded,530000.0,neutral,5000,1000,0.00478728,2.2538486750112242e-05
decoded,530000.0,neutral,10000,1000,0.02117373,0.00012919158971834798
decoded,530000.0,neutral,20000,1000,0.07494278,0.0005764535302556002
decoded,530000.0,neutral,30000,1000,0.12894826,0.0010555410016567708
decoded,530000.0,neutral,40000,1000,0.17462764,0.0014546758628286565
decoded,530000.0,neutral,50000,1000,0.21284184,0.0017620664737382277
decoded,530000.0,selected,5000,100,0.0049478,7.469839423314333e-05
decoded,530000.0,selected,10000,100,0.021915699999999996,0.00037374463963589586
decoded,530000.0,selected,20000,100,0.0757947,0.0015405240053995009
decoded,530000.0,selected,30000,100,0.1293172,0.002960207422025379
decoded,530000.0,selected,40000,100,0.17506919999999998,0.004251447714638277
decoded,530000.0,selected,50000,100,0.21309049999999996,0.005216529109184544
decoded,580000.0,neutral,5000,1000,0.00478679,2.2050901073156584e-05
decoded,580000.0,neutral,10000,1000,0.021199739999999998,0.00012688170671889583
decoded,580000.0,neutral,20000,1000,0.07484514999999999,0.000556913062638
decoded,580000.0,neutral,30000,1000,0.128286,0.0009935966700541738
decoded,580000.0,neutral,40000,1000,0.17320047,0.0013473728120954028
decoded,580000.0,neutral,50000,1000,0.21026931999999998,0.001624482930390076
decoded,580000.0,selected,5000,100,0.004942,7.630772363836237e-05
decoded,580000.0,selected,10000,100,0.0217214,0.0003739992983302444
decoded,580000.0,selected,20000,100,0.0742149,0.00153958606856689
decoded,580000.0,selected,30000,100,0.1275216,0.0029761003727507025
decoded,580000.0,selected,40000,100,0.1728924,0.004163684899439219
decoded,580000.0,selected,50000,100,0.21103929999999999,0.0050701647379348515
decoded,630000.0,neutral,5000,1000,0.00478466,2.1908730608524012e-05
decoded,630000.0,neutral,10000,1000,0.02119736,0.00012345486435914112
decoded,630000.0,neutral,20000,1000,0.07492594,0.000538696175674272
decoded,630000.0,neutral,30000,1000,0.12913339999999998,0.000991761417150591
decoded,630000.0,neutral,40000,1000,0.17485423,0.0013548055307804636
decoded,630000.0,neutral,50000,1000,0.21282646999999996,0.0016394311363671212
decoded,630000.0,selected,5000,100,0.0049425,7.371010305873471e-05
decoded,630000.0,selected,10000,100,0.0216753,0.0003950085654358355
decoded,630000.0,selected,20000,100,0.07332430000000001,0.0016014032625144485
decoded,630000.0,selected,30000,100,0.12403380000000003,0.0027146101856808137
decoded,630000.0,selected,40000,100,0.16842989999999997,0.003787265033535734
decoded,630000.0,selected,50000,100,0.2055639,0.004774577855145781
decoded,680000.0,neutral,5000,1000,0.00477166,2.1859640625780843e-05
decoded,680000.0,neutral,10000,1000,0.02121214,0.00012416138880856186
decoded,680000.0,neutral,20000,1000,0.07593783999999999,0.0005728796005891387
decoded,680000.0,neutral,30000,1000,0.13102816,0.0010494581142417967
decoded,680000.0,neutral,40000,1000,0.17776200999999997,0.001444540711966412
decoded,680000.0,neutral,50000,1000,0.21662968000000002,0.0017589372348363354
decoded,680000.0,selected,5000,100,0.004906699999999999,7.035739284021777e-05
decoded,680000.0,selected,10000,100,0.0218047,0.00040701287932864473
decoded,680000.0,selected,20000,100,0.07513090000000001,0.001893451720023673
decoded,680000.0,selected,30000,100,0.1264624,0.0033501229168464547
decoded,680000.0,selected,40000,100,0.17034879999999997,0.004598242108730797
decoded,680000.0,selected,50000,100,0.20617620000000003,0.005503100381942653
decoded,730000.0,neutral,5000,1000,0.004767939999999999,2.2104899524381082e-05
decoded,730000.0,neutral,10000,1000,0.021307699999999995,0.00013299879092829525
decoded,730000.0,neutral,20000,1000,0.07630098,0.0006153126101810752
decoded,730000.0,neutral,30000,1000,0.13135343,0.0010982975008327369
decoded,730000.0,neutral,40000,1000,0.17822877,0.0014830534767843343
decoded,730000.0,neutral,50000,1000,0.21689384,0.0017746558546537573
decoded,730000.0,selected,5000,100,0.0048982999999999995,7.330564973334786e-05
decoded,730000.0,selected,10000,100,0.022058100000000004,0.00044124476578576356
decoded,730000.0,selected,20000,100,0.0750712,0.0017416763565338683
decoded,730000.0,selected,30000,100,0.12636239999999999,0.002946886523814995
decoded,730000.0,selected,40000,100,0.17028590000000002,0.003935084838829765
decoded,730000.0,selected,50000,100,0.20616650000000003,0.004746515375472406
decoded,780000.0,neutral,5000,1000,0.00476972,2.2157131133340797e-05
decoded,780000.0,neutral,10000,1000,0.021223230000000003,0.00013108932862433608
decoded,780000.0,neutral,20000,1000,0.07517676,0.0005652211865208983
decoded,780000.0,neutral,30000,1000,0.12851874000000002,0.0009959362466643233
decoded,780000.0,neutral,40000,1000,0.17403298,0.0013403922200696421
decoded,780000.0,neutral,50000,1000,0.21189605999999997,0.0016067341294187533
decoded,780000.0,selected,5000,100,0.0048836999999999995,7.358080214597043e-05
decoded,780000.0,selected,10000,100,0.0220154,0.00045277528977441235
decoded,780000.0,selected,20000,100,0.07563099999999999,0.0017629319959153907
decoded,780000.0,selected,30000,100,0.1285921,0.0033165637453042665
decoded,780000.0,selected,40000,100,0.1742942,0.004480166158940668
decoded,780000.0,selected,50000,100,0.21167429999999995,0.005325197751826743
decoded,830000.0,neutral,5000,1000,0.00475461,2.2041212828766097e-05
decoded,830000.0,neutral,10000,1000,0.021026960000000004,0.00012742830506340158
decoded,830000.0,neutral,20000,1000,0.07479683,0.0005457484295895862
decoded,830000.0,neutral,30000,1000,0.12840235000000003,0.0009965391265817456
decoded,830000.0,neutral,40000,1000,0.17361349,0.0013587445512956346
decoded,830000.0,neutral,50000,1000,0.21075234,0.0016343739570722352
decoded,830000.0,selected,5000,100,0.0048619,7.339084452849729e-05
decoded,830000.0,selected,10000,100,0.021836399999999995,0.0004459170897253109
decoded,830000.0,selected,20000,100,0.07747470000000001,0.001953899547964366
decoded,830000.0,selected,30000,100,0.13459580000000002,0.0037121535234165815
decoded,830000.0,selected,40000,100,0.1817763,0.005057778001876183
decoded,830000.0,selected,50000,100,0.21999159999999995,0.00608400297637712
decoded,880000.0,neutral,5000,1000,0.00473551,2.1950990544526365e-05
decoded,880000.0,neutral,10000,1000,0.020945520000000002,0.0001297253614332949
decoded,880000.0,neutral,20000,1000,0.07495405,0.0005838753335281451
decoded,880000.0,neutral,30000,1000,0.12862615999999996,0.0010323360474037361
decoded,880000.0,neutral,40000,1000,0.17402872,0.001385792267683281
decoded,880000.0,neutral,50000,1000,0.21146768,0.0016617347432651744
decoded,880000.0,selected,5000,100,0.0048237,7.135197363362937e-05
decoded,880000.0,selected,10000,100,0.021499900000000002,0.0004360711992416843
decoded,880000.0,selected,20000,100,0.07605289999999999,0.0019560612159917365
decoded,880000.0,selected,30000,100,0.1311291,0.0035369229967229243
decoded,880000.0,selected,40000,100,0.1771351,0.004638316116204068
decoded,880000.0,selected,50000,100,0.21463040000000003,0.005390154327582051
decoded,930000.0,neutral,5000,1000,0.00472965,2.1993041430674644e-05
decoded,930000.0,neutral,10000,1000,0.021024059999999997,0.00013024718671067736
decoded,930000.0,neutral,20000,1000,0.07542847,0.0006000717282443309
decoded,930000.0,neutral,30000,1000,0.12991867,0.0010640835225084419
decoded,930000.0,neutral,40000,1000,0.17617318,0.001437254073906406
decoded,930000.0,neutral,50000,1000,0.21441217,0.0017421333375941858
decoded,930000.0,selected,5000,100,0.0047962,7.06327505803466e-05
decoded,930000.0,selected,10000,100,0.021514,0.0004670146538050887
