source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,20000,0,3,neutral,all,1000,0.0,0.053,1.0,0.0,0.056,0.053,0.001,0,56,0.0,0.0,0.053,0.0,0.0,0.053,0.0,0.0,0.053,0.0,0.0,0.053
decoded,5000,0.001,20000,0,3,selected,all,100,0.04,0.04,0.5,0.04,0.04,0.08,0.05,4,4,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
decoded,5000,0.001,20000,0,3,selected,nonfixed,100,0.04,0.04,0.5,0.04,0.04,0.08,0.05,4,4,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
decoded,5000,0.001,20000,0,5,neutral,all,1000,0.0,0.032,1.0,0.0,0.033,0.032,0.001,0,33,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.032
decoded,5000,0.001,20000,0,5,selected,all,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,20000,0,5,selected,nonfixed,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,20000,0,10,neutral,all,1000,0.0,0.006,1.0,0.0,0.006,0.006,0.001,0,6,0.0,0.0,0.006,0.0,0.0,0.006,0.0,0.0,0.006,0.0,0.0,0.006
decoded,5000,0.001,20000,0,10,selected,all,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
decoded,5000,0.001,20000,0,10,selected,nonfixed,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
decoded,5000,0.001,20000,0,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,0,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,0,20,selected,nonfixed,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,1,neutral,all,1000,0.0,0.127,1.0,0.0,0.153,0.127,0.001,0,153,0.0,0.0,0.127,0.0,0.0,0.127,0.0,0.0,0.127,0.0,0.0,0.127
decoded,5000,0.001,20000,1,1,selected,all,100,0.08,0.14166666666666666,0.7037037037037037,0.065,0.19,0.2,0.05,8,19,0.05,0.06,0.15,0.08,0.08,0.14166666666666666,0.08,0.08,0.14166666666666666,0.09,0.09,0.13166666666666665
decoded,5000,0.001,20000,1,1,selected,nonfixed,100,0.08,0.14166666666666666,0.7037037037037037,0.065,0.19,0.2,0.05,8,19,0.05,0.06,0.15,0.08,0.08,0.14166666666666666,0.08,0.08,0.14166666666666666,0.09,0.09,0.13166666666666665
decoded,5000,0.001,20000,1,3,neutral,all,1000,0.0,0.055,1.0,0.0,0.057,0.055,0.001,0,57,0.0,0.0,0.055,0.0,0.0,0.055,0.0,0.0,0.055,0.0,0.0,0.055
decoded,5000,0.001,20000,1,3,selected,all,100,0.05,0.06,0.5454545454545454,0.05,0.06,0.11,0.05,5,6,0.04,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.05
decoded,5000,0.001,20000,1,3,selected,nonfixed,100,0.05,0.06,0.5454545454545454,0.05,0.06,0.11,0.05,5,6,0.04,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.05
decoded,5000,0.001,20000,1,5,neutral,all,1000,0.0,0.034,1.0,0.0,0.034,0.034,0.001,0,34,0.0,0.0,0.034,0.0,0.0,0.034,0.0,0.0,0.034,0.0,0.0,0.034
decoded,5000,0.001,20000,1,5,selected,all,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,20000,1,5,selected,nonfixed,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,20000,1,10,neutral,all,1000,0.0,0.008,1.0,0.0,0.008,0.008,0.001,0,8,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.008
decoded,5000,0.001,20000,1,10,selected,all,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
decoded,5000,0.001,20000,1,10,selected,nonfixed,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
decoded,5000,0.001,20000,1,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,20,selected,nonfixed,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,1,neutral,all,1000,0.0,0.095,1.0,0.0,0.109,0.095,0.001,0,109,0.0,0.0,0.095,0.0,0.0,0.095,0.0,0.0,0.095,0.0,0.0,0.095
