scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
grid10kb,decoded,joint_g50_r1_T5000,0.01,10000,4,100,6,1000,0.04,0.006,0.01566330399154762,0.0983707143588792,0.0027526691418763745,0.01302816824185209,0.13043478260869565,0.07648183556405354,0.574468085106383,0.07312614259597805,0.9369085173501577,0.04895960832313342
grid10kb,decoded,joint_g50_r1_T5000,0.01,50000,26,100,6,1000,0.26,0.006,0.18404698464748132,0.3537098944918718,0.0027526691418763745,0.01302816824185209,0.022556390977443608,0.4107424960505529,0.17197452229299362,0.39573820395738213,0.6955503512880561,0.28047464940668826
grid10kb,decoded,joint_g50_r1_T5000,0.05,10000,14,100,50,1000,0.14,0.05,0.08526343659939134,0.22137188210963837,0.03813026239274882,0.06531382024425081,0.2631578947368421,0.23529411764705882,0.7627118644067796,0.1761006289308176,0.9724950884086444,0.04597701149425288
grid10kb,decoded,joint_g50_r1_T5000,0.05,50000,43,100,50,1000,0.43,0.05,0.33733298524110106,0.5278461045078768,0.03813026239274882,0.06531382024425081,0.10416666666666667,0.581081081081081,0.5113636363636364,0.45744680851063835,0.9200743494423792,0.13479623824451412
grid10kb,decoded,joint_g50_r1_T5000,0.1,10000,19,100,98,1000,0.19,0.098,0.12514751509768735,0.27778845379064376,0.08108201152335034,0.11799470229903597,0.34027777777777773,0.2950310559006211,0.8227611940298507,0.18339768339768342,0.9807925596441569,0.0348879911861917
grid10kb,decoded,joint_g50_r1_T5000,0.1,50000,57,100,98,1000,0.57,0.098,0.47215389549212305,0.6626670147588988,0.08108201152335034,0.11799470229903597,0.14670658682634732,0.6834532374100719,0.6074380165289256,0.464926590538336,0.9445093457943926,0.10113555713271821
grid10kb,decoded,joint_g50_r1_T50000,0.01,10000,4,100,7,1000,0.04,0.007,0.01566330399154762,0.0983707143588792,0.0033948684009907646,0.014378315465766588,0.14893617021276595,0.07640878701050621,0.6116504854368932,0.07252946509519492,0.9454297407912687,0.046162723600692436
grid10kb,decoded,joint_g50_r1_T50000,0.01,50000,59,100,7,1000,0.59,0.007,0.4920143005341078,0.6813268697886348,0.0033948684009907646,0.014378315465766588,0.01172529313232831,0.7388854101440201,0.09647779479326188,0.7138535995160314,0.5401402961808262,0.5168637757336838
grid10kb,decoded,joint_g50_r1_T50000,0.05,10000,17,100,48,1000,0.17,0.048,0.10893566114059931,0.25548004767601123,0.036393301020807914,0.06306608865013393,0.2201834862385321,0.2791461412151068,0.717607973421927,0.21223470661672908,0.9654611946363267,0.057413036136440394
grid10kb,decoded,joint_g50_r1_T50000,0.05,50000,81,100,48,1000,0.81,0.048,0.7222115462093562,0.8748524849023126,0.036393301020807914,0.06306608865013393,0.05594405594405594,0.8719052744886976,0.34782608695652173,0.7225691347011598,0.8543689320388349,0.24687595245352031
grid10kb,decoded,joint_g50_r1_T50000,0.1,10000,25,100,99,1000,0.25,0.099,0.17545211362287672,0.34304463548061603,0.08199544136866538,0.11907361893674984,0.28366762177650434,0.37064492216456635,0.7808939526730938,0.2335357309668379,0.9751268530494478,0.045244774228576604
grid10kb,decoded,joint_g50_r1_T50000,0.1,50000,91,100,99,1000,0.91,0.099,0.837737871472837,0.9519274599974348,0.08199544136866538,0.11907361893674984,0.09811694747274528,0.9059233449477351,0.4947251526929483,0.649767940021421,0.9150406124544861,0.15540944411237298
grid10kb,decoded,joint_g50_r1_Tall,0.01,10000,4,100,7,1000,0.04,0.007,0.01566330399154762,0.0983707143588792,0.0033948684009907646,0.014378315465766588,0.14893617021276595,0.07640878701050621,0.6116504854368932,0.07252946509519492,0.9454297407912687,0.046162723600692436
grid10kb,decoded,joint_g50_r1_Tall,0.01,50000,59,100,7,1000,0.59,0.007,0.4920143005341078,0.6813268697886348,0.0033948684009907646,0.014378315465766588,0.01172529313232831,0.7388854101440201,0.09647779479326188,0.7138535995160314,0.5401402961808262,0.5168637757336838
grid10kb,decoded,joint_g50_r1_Tall,0.05,10000,17,100,48,1000,0.17,0.048,0.10893566114059931,0.25548004767601123,0.036393301020807914,0.06306608865013393,0.2201834862385321,0.2791461412151068,0.717607973421927,0.21223470661672908,0.9654611946363267,0.057413036136440394
