key,onset_years,fold,grid10kb_r1,grid10kb_r2,grid10kb_r3,archaic_sites_r1,archaic_sites_r2,archaic_sites_r3
onset10000/rep0000,10000,0,0.3075,0.26,0.26,0.315,0.3,0.3
onset50000/rep0000,50000,3,0.68,0.6475,0.6475,0.68,0.6475,0.6475
onset10000/rep0001,10000,3,0.4425,0.44,0.34,0.4425,0.44,0.44
onset50000/rep0001,50000,1,0.745,0.745,0.6975,0.7625,0.745,0.745
onset10000/rep0002,10000,0,0.2975,0.2975,0.2875,0.3,0.2975,0.2975
onset50000/rep0002,50000,4,0.955,0.95,0.92,0.955,0.95,0.92
onset10000/rep0003,10000,0,0.6,0.575,0.5725,0.6625,0.5975,0.575
onset50000/rep0003,50000,2,0.7775,0.7725,0.685,0.7775,0.7725,0.6825
onset10000/rep0004,10000,1,0.44,0.4275,0.425,0.445,0.4425,0.4275
onset50000/rep0004,50000,4,0.7525,0.745,0.735,0.755,0.7525,0.735
onset10000/rep0005,10000,1,0.385,0.38,0.34,0.3875,0.385,0.375
onset50000/rep0005,50000,3,0.7925,0.79,0.67,0.8125,0.7925,0.7925
onset10000/rep0006,10000,1,0.475,0.4325,0.43,0.4875,0.475,0.4325
onset50000/rep0006,50000,4,0.48,0.4725,0.4175,0.4925,0.48,0.425
onset10000/rep0007,10000,1,0.265,0.22,0.215,0.2675,0.265,0.2175
onset50000/rep0007,50000,3,0.68,0.65,0.64,0.68,0.6425,0.6425
onset10000/rep0008,10000,1,0.49,0.4725,0.45,0.49,0.475,0.4725
onset50000/rep0008,50000,4,0.99,0.99,0.975,0.99,0.99,0.975
onset10000/rep0009,10000,1,0.1625,0.16,0.1575,0.1625,0.16,0.1575
onset50000/rep0009,50000,0,0.9225,0.9175,0.9175,0.925,0.9225,0.9225
onset10000/rep0010,10000,0,0.4,0.3875,0.37,0.41,0.3825,0.3325
onset50000/rep0010,50000,2,0.9875,0.985,0.975,0.9875,0.9875,0.985
onset10000/rep0011,10000,2,0.5925,0.5875,0.5675,0.5975,0.5875,0.5875
onset50000/rep0011,50000,3,0.6925,0.675,0.6525,0.6925,0.675,0.675
onset10000/rep0012,10000,0,0.4875,0.435,0.435,0.49,0.4875,0.455
onset50000/rep0012,50000,2,0.7525,0.7525,0.75,0.8125,0.7525,0.7525
onset10000/rep0013,10000,2,0.2925,0.2475,0.2475,0.2925,0.2475,0.2475
onset50000/rep0013,50000,4,0.92,0.91,0.91,0.9275,0.92,0.905
onset10000/rep0014,10000,4,0.455,0.44,0.44,0.46,0.455,0.4525
onset50000/rep0014,50000,2,0.915,0.875,0.875,0.915,0.8775,0.875
onset10000/rep0015,10000,2,0.275,0.275,0.2625,0.29,0.275,0.2725
onset50000/rep0015,50000,0,0.8325,0.805,0.805,0.8325,0.8325,0.8
onset10000/rep0016,10000,0,0.4525,0.435,0.4125,0.4525,0.45,0.44
onset50000/rep0016,50000,4,0.7925,0.76,0.755,0.82,0.7925,0.76
onset10000/rep0017,10000,1,0.385,0.3175,0.3175,0.395,0.39,0.3175
onset50000/rep0017,50000,2,0.9025,0.8875,0.8675,0.9025,0.9025,0.865
onset10000/rep0018,10000,3,0.72,0.645,0.6275,0.725,0.7175,0.645
onset50000/rep0018,50000,1,0.9325,0.93,0.9275,0.9475,0.935,0.93
onset10000/rep0019,10000,3,0.715,0.71,0.7025,0.715,0.71,0.7075
onset50000/rep0019,50000,0,0.8075,0.795,0.795,0.8075,0.8075,0.795
onset10000/rep0020,10000,2,0.3625,0.3575,0.3425,0.3625,0.3575,0.3425
onset50000/rep0020,50000,3,0.56,0.5575,0.5525,0.5675,0.565,0.5575
onset10000/rep0021,10000,2,0.225,0.215,0.2125,0.225,0.225,0.2175
onset50000/rep0021,50000,2,0.9675,0.9625,0.9575,0.9725,0.9675,0.9575
onset10000/rep0022,10000,3,0.4925,0.4825,0.46,0.4925,0.4825,0.46
onset50000/rep0022,50000,1,0.935,0.9025,0.83,0.935,0.905,0.9
onset10000/rep0023,10000,1,0.66,0.645,0.625,0.665,0.625,0.61
onset50000/rep0023,50000,2,0.755,0.75,0.635,0.765,0.76,0.7475
onset10000/rep0024,10000,3,0.3,0.295,0.2125,0.3125,0.3,0.295
onset50000/rep0024,50000,1,0.49,0.4825,0.155,0.49,0.49,0.2075
onset10000/rep0025,10000,3,0.4475,0.3825,0.375,0.4475,0.3925,0.3625
onset50000/rep0025,50000,0,0.885,0.83,0.825,0.8925,0.845,0.845
onset10000/rep0026,10000,1,0.6575,0.655,0.6525,0.6575,0.655,0.58
onset50000/rep0026,50000,2,0.8175,0.81,0.8025,0.8175,0.805,0.8025
onset10000/rep0027,10000,0,0.3875,0.385,0.3825,0.395,0.3875,0.3875
onset50000/rep0027,50000,0,0.91,0.9075,0.9025,0.92,0.91,0.9075
onset10000/rep0028,10000,0,0.61,0.595,0.56,0.6425,0.605,0.595
onset50000/rep0028,50000,2,0.715,0.695,0.615,0.715,0.71,0.695
onset10000/rep0029,10000,2,0.635,0.605,0.605,0.635,0.615,0.605
onset50000/rep0029,50000,0,0.9475,0.92,0.66,0.965,0.9475,0.92
onset10000/rep0030,10000,1,0.4625,0.4525,0.44,0.5275,0.4525,0.4425
onset50000/rep0030,50000,0,0.925,0.9,0.8975,0.925,0.9025,0.9
onset10000/rep0031,10000,0,0.5625,0.5525,0.5475,0.5625,0.56,0.56
onset50000/rep0031,50000,4,0.865,0.855,0.855,0.865,0.8575,0.8525
onset10000/rep0032,10000,1,0.435,0.4,0.3925,0.48,0.4275,0.4
onset50000/rep0032,50000,4,0.9225,0.875,0.6775,0.9225,0.7125,0.6675
onset10000/rep0033,10000,3,0.795,0.7375,0.7275,0.795,0.795,0.74
onset50000/rep0033,50000,4,0.615,0.545,0.47,0.635,0.6175,0.4825
onset10000/rep0034,10000,1,0.4825,0.4425,0.44,0.485,0.4825,0.4425
onset50000/rep0034,50000,2,0.835,0.815,0.78,0.835,0.8325,0.7875
onset10000/rep0035,10000,4,0.4625,0.46,0.43,0.48,0.4625,0.445
onset50000/rep0035,50000,4,0.9725,0.9375,0.9375,0.9725,0.9475,0.9175
onset10000/rep0036,10000,1,0.3975,0.38,0.295,0.3975,0.38,0.335
onset50000/rep0036,50000,4,0.6225,0.6025,0.6,0.635,0.6225,0.605
onset10000/rep0037,10000,4,0.6475,0.5825,0.5825,0.6475,0.645,0.585
onset50000/rep0037,50000,1,0.95,0.9325,0.9325,0.95,0.935,0.9325
onset10000/rep0038,10000,2,0.695,0.685,0.6725,0.695,0.6875,0.6675
onset50000/rep0038,50000,1,0.82,0.775,0.735,0.825,0.82,0.775
onset10000/rep0039,10000,1,0.435,0.4175,0.3975,0.435,0.4175,0.4025
onset50000/rep0039,50000,3,0.9175,0.89,0.875,0.9175,0.89,0.8675
onset10000/rep0040,10000,4,0.575,0.555,0.555,0.58,0.575,0.56
onset50000/rep0040,50000,0,0.5925,0.5875,0.585,0.5975,0.595,0.555
onset10000/rep0041,10000,1,0.6275,0.6125,0.605,0.6275,0.61,0.61
onset50000/rep0041,50000,0,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925
onset10000/rep0042,10000,3,0.5925,0.5825,0.57,0.6,0.57,0.57
onset50000/rep0042,50000,2,0.37,0.355,0.355,0.3725,0.37,0.37
onset10000/rep0043,10000,1,0.7075,0.6825,0.675,0.725,0.7075,0.6825
onset50000/rep0043,50000,0,0.8925,0.8875,0.8875,0.8925,0.89,0.89
onset10000/rep0044,10000,4,0.64,0.5975,0.59,0.6575,0.6075,0.5925
onset50000/rep0044,50000,4,0.835,0.82,0.8175,0.8375,0.835,0.8175
onset10000/rep0045,10000,2,0.2575,0.2,0.2,0.2575,0.2575,0.21
onset50000/rep0045,50000,0,0.84,0.84,0.795,0.84,0.84,0.795
onset10000/rep0046,10000,4,0.7075,0.645,0.64,0.7075,0.6825,0.6475
onset50000/rep0046,50000,0,0.94,0.9325,0.9225,0.94,0.935,0.9325
onset10000/rep0047,10000,4,0.4575,0.42,0.4025,0.4575,0.4575,0.43
onset50000/rep0047,50000,0,0.7775,0.7725,0.7725,0.795,0.7775,0.7725
onset10000/rep0048,10000,3,0.4325,0.425,0.41,0.4475,0.4325,0.425
onset50000/rep0048,50000,3,0.7525,0.6675,0.6525,0.7525,0.6675,0.64
onset10000/rep0049,10000,1,0.775,0.535,0.4975,0.775,0.6875,0.4975
onset50000/rep0049,50000,3,0.705,0.705,0.695,0.7075,0.705,0.705
onset10000/rep0050,10000,2,0.505,0.4975,0.425,0.51,0.505,0.495
onset50000/rep0050,50000,2,0.8725,0.87,0.86,0.875,0.87,0.8275
onset10000/rep0051,10000,4,0.6675,0.655,0.645,0.6775,0.6675,0.655
onset50000/rep0051,50000,3,0.7175,0.7125,0.6725,0.7375,0.73,0.7175
onset10000/rep0052,10000,3,0.565,0.5275,0.51,0.565,0.565,0.53
onset50000/rep0052,50000,1,0.9475,0.9375,0.93,0.9475,0.9475,0.935
onset10000/rep0053,10000,3,0.3425,0.2975,0.265,0.35,0.33,0.2825
onset50000/rep0053,50000,0,0.6175,0.4025,0.3625,0.6175,0.61,0.6075
onset10000/rep0054,10000,2,0.505,0.415,0.3125,0.505,0.5025,0.33
onset50000/rep0054,50000,3,0.475,0.4675,0.435,0.4775,0.475,0.4675
onset10000/rep0055,10000,2,0.4325,0.4125,0.4025,0.4425,0.4325,0.4025
onset50000/rep0055,50000,0,0.7375,0.6975,0.6925,0.7375,0.7375,0.6975
onset10000/rep0056,10000,4,0.385,0.3575,0.345,0.385,0.3675,0.3675
onset50000/rep0056,50000,2,0.995,0.9925,0.985,0.995,0.995,0.9925
onset10000/rep0057,10000,3,0.2175,0.2075,0.2075,0.2175,0.215,0.205
onset50000/rep0057,50000,1,0.8825,0.835,0.585,0.8875,0.8825,0.835
onset10000/rep0058,10000,4,0.55,0.4975,0.485,0.55,0.4975,0.485
onset50000/rep0058,50000,1,0.7025,0.6825,0.6825,0.7025,0.6925,0.69
onset10000/rep0059,10000,2,0.3975,0.3375,0.325,0.3975,0.39,0.325
onset50000/rep0059,50000,4,0.685,0.6775,0.6675,0.685,0.6675,0.6675
onset10000/rep0060,10000,2,0.4525,0.435,0.43,0.4725,0.445,0.445
onset50000/rep0060,50000,1,0.88,0.8675,0.8575,0.88,0.88,0.8675
onset10000/rep0061,10000,0,0.63,0.555,0.5475,0.65,0.565,0.55
onset50000/rep0061,50000,4,0.875,0.855,0.84,0.875,0.8625,0.8575
onset10000/rep0062,10000,3,0.41,0.4,0.3975,0.4275,0.4025,0.4025
onset50000/rep0062,50000,1,0.7525,0.7475,0.695,0.77,0.7525,0.7375
onset10000/rep0063,10000,2,0.465,0.4475,0.445,0.465,0.4575,0.4475
onset50000/rep0063,50000,2,0.9275,0.92,0.915,0.9275,0.92,0.915
onset10000/rep0064,10000,4,0.5325,0.5175,0.5175,0.5375,0.5325,0.5275
onset50000/rep0064,50000,1,0.7775,0.73,0.7175,0.7775,0.7675,0.73
onset10000/rep0065,10000,3,0.245,0.2175,0.2125,0.2625,0.2375,0.2375
onset50000/rep0065,50000,3,0.975,0.975,0.9725,0.975,0.975,0.9725
onset10000/rep0066,10000,3,0.4675,0.44,0.3625,0.4675,0.4675,0.3625
onset50000/rep0066,50000,1,0.62,0.6175,0.5775,0.6225,0.62,0.5775
onset10000/rep0067,10000,2,0.435,0.42,0.395,0.435,0.425,0.42
onset50000/rep0067,50000,1,0.505,0.4925,0.4925,0.515,0.5,0.4925
onset10000/rep0068,10000,0,0.3675,0.335,0.32,0.3725,0.3675,0.335
onset50000/rep0068,50000,4,0.77,0.715,0.715,0.785,0.7525,0.72
onset10000/rep0069,10000,0,0.48,0.4575,0.45,0.4975,0.485,0.48
onset50000/rep0069,50000,3,0.6025,0.6,0.6,0.6175,0.6075,0.6025
onset10000/rep0070,10000,2,0.42,0.4025,0.4,0.4225,0.4125,0.4
onset50000/rep0070,50000,0,0.98,0.98,0.9475,0.98,0.98,0.98
onset10000/rep0071,10000,1,0.3775,0.365,0.3525,0.38,0.3775,0.375
onset50000/rep0071,50000,0,0.9975,0.9925,0.985,0.9975,0.9925,0.9925
onset10000/rep0072,10000,0,0.73,0.71,0.635,0.73,0.71,0.6375
onset50000/rep0072,50000,3,0.59,0.5775,0.5675,0.59,0.59,0.5775
onset10000/rep0073,10000,0,0.5125,0.4925,0.4575,0.5125,0.4725,0.45
onset50000/rep0073,50000,3,0.9375,0.935,0.9275,0.9375,0.935,0.935
onset10000/rep0074,10000,4,0.54,0.5275,0.47,0.54,0.54,0.525
onset50000/rep0074,50000,3,0.93,0.93,0.92,0.935,0.93,0.92
onset10000/rep0075,10000,4,0.395,0.375,0.3675,0.4075,0.395,0.375
onset50000/rep0075,50000,2,0.7825,0.7575,0.755,0.785,0.7825,0.7575
onset10000/rep0076,10000,2,0.3725,0.3375,0.33,0.375,0.3725,0.3375
onset50000/rep0076,50000,1,0.4025,0.3925,0.38,0.4025,0.4,0.395
onset10000/rep0077,10000,2,0.2525,0.2275,0.2175,0.26,0.255,0.2275
onset50000/rep0077,50000,4,0.865,0.8575,0.8575,0.865,0.865,0.8625
onset10000/rep0078,10000,3,0.4625,0.3775,0.3075,0.4625,0.3775,0.3775
onset50000/rep0078,50000,2,0.9025,0.8975,0.895,0.9025,0.9025,0.9
onset10000/rep0079,10000,0,0.315,0.31,0.2625,0.315,0.315,0.31
onset50000/rep0079,50000,0,0.9375,0.9375,0.7975,0.9375,0.9375,0.5925
onset10000/rep0080,10000,4,0.4575,0.4225,0.4075,0.4675,0.4575,0.4475
onset50000/rep0080,50000,3,0.9175,0.9125,0.9125,0.9175,0.9125,0.91
onset10000/rep0081,10000,2,0.315,0.31,0.3,0.3175,0.315,0.3
onset50000/rep0081,50000,2,0.85,0.8,0.8,0.85,0.8375,0.835
onset10000/rep0082,10000,0,0.45,0.43,0.4125,0.45,0.445,0.43
onset50000/rep0082,50000,3,0.895,0.86,0.8475,0.9,0.895,0.86
onset10000/rep0083,10000,0,0.3225,0.305,0.2025,0.3225,0.305,0.2075
onset50000/rep0083,50000,4,0.78,0.77,0.72,0.78,0.775,0.7175
onset10000/rep0084,10000,2,0.66,0.6475,0.645,0.66,0.66,0.645
onset50000/rep0084,50000,4,0.8175,0.81,0.81,0.82,0.8175,0.8125
onset10000/rep0085,10000,3,0.37,0.35,0.35,0.3825,0.37,0.3525
onset50000/rep0085,50000,2,0.9675,0.9675,0.9,0.9675,0.9675,0.9
onset10000/rep0086,10000,4,0.455,0.4425,0.3975,0.455,0.4425,0.4075
onset50000/rep0086,50000,3,0.96,0.9275,0.92,0.9625,0.96,0.92
onset10000/rep0087,10000,4,0.3575,0.315,0.315,0.36,0.3575,0.315
onset50000/rep0087,50000,1,0.89,0.8875,0.8875,0.895,0.89,0.8875
onset10000/rep0088,10000,1,0.5825,0.56,0.46,0.5875,0.5825,0.5775
onset50000/rep0088,50000,3,0.88,0.8775,0.865,0.8925,0.88,0.8775
onset10000/rep0089,10000,1,0.4175,0.39,0.37,0.425,0.3975,0.39
onset50000/rep0089,50000,1,0.9775,0.97,0.9575,0.98,0.9575,0.9575
onset10000/rep0090,10000,3,0.5275,0.5125,0.5,0.5275,0.4975,0.49
onset50000/rep0090,50000,1,0.99,0.9825,0.8475,0.99,0.99,0.9825
onset10000/rep0091,10000,0,0.36,0.28,0.2625,0.3675,0.3625,0.28
onset50000/rep0091,50000,2,0.71,0.6825,0.6825,0.7125,0.71,0.6925
onset10000/rep0092,10000,0,0.6125,0.5025,0.49,0.6125,0.51,0.5
onset50000/rep0092,50000,3,0.9575,0.9575,0.955,0.9575,0.9575,0.9575
onset10000/rep0093,10000,3,0.5875,0.5775,0.565,0.5875,0.5775,0.57
onset50000/rep0093,50000,2,0.4825,0.315,0.2825,0.4825,0.4825,0.285
onset10000/rep0094,10000,4,0.59,0.5725,0.57,0.59,0.585,0.5725
onset50000/rep0094,50000,1,0.7925,0.7375,0.72,0.7925,0.7925,0.7375
onset10000/rep0095,10000,4,0.2975,0.185,0.1725,0.2975,0.19,0.175
onset50000/rep0095,50000,0,0.605,0.5925,0.4575,0.6525,0.605,0.605
onset10000/rep0096,10000,3,0.2575,0.245,0.2275,0.2575,0.2525,0.24
onset50000/rep0096,50000,4,0.9375,0.935,0.9275,0.9375,0.9375,0.935
onset10000/rep0097,10000,4,0.165,0.16,0.11,0.165,0.16,0.15
onset50000/rep0097,50000,4,0.72,0.6325,0.63,0.72,0.655,0.6325
onset10000/rep0098,10000,4,0.385,0.3425,0.33,0.385,0.345,0.34
onset50000/rep0098,50000,1,0.82,0.815,0.795,0.82,0.82,0.8125
onset10000/rep0099,10000,0,0.415,0.395,0.3925,0.4175,0.415,0.4
onset50000/rep0099,50000,0,0.7,0.6875,0.64,0.7025,0.7025,0.6775
neutral/rep0000,0,1,0.54,0.47,0.3775,0.57,0.545,0.4625
neutral/rep0001,0,3,0.53,0.5275,0.5175,0.5325,0.53,0.5125
neutral/rep0002,0,4,0.3225,0.315,0.2725,0.335,0.32,0.315
neutral/rep0003,0,3,0.325,0.3225,0.28,0.3275,0.325,0.2975
neutral/rep0004,0,4,0.31,0.305,0.2675,0.3125,0.305,0.275
neutral/rep0005,0,3,0.745,0.68,0.6675,0.745,0.68,0.68
neutral/rep0006,0,4,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0007,0,3,0.0825,0.0275,0.025,0.0825,0.0275,0.0275
neutral/rep0008,0,4,0.4275,0.3925,0.3875,0.4275,0.4075,0.3975
neutral/rep0009,0,0,0.4175,0.415,0.3725,0.44,0.4175,0.4175
neutral/rep0010,0,4,0.305,0.3,0.2975,0.305,0.3025,0.3
neutral/rep0011,0,3,0.62,0.605,0.605,0.62,0.6125,0.605
neutral/rep0012,0,3,0.51,0.49,0.46,0.51,0.49,0.46
neutral/rep0013,0,2,0.43,0.4225,0.415,0.435,0.4325,0.425
neutral/rep0014,0,2,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0015,0,4,0.555,0.5475,0.545,0.56,0.555,0.55
neutral/rep0016,0,1,0.415,0.4,0.4,0.4375,0.415,0.4
neutral/rep0017,0,0,0.445,0.3725,0.335,0.445,0.3425,0.3425
neutral/rep0018,0,3,0.4575,0.4425,0.38,0.4575,0.4325,0.425
neutral/rep0019,0,1,0.6375,0.625,0.6025,0.6375,0.6025,0.59
neutral/rep0020,0,4,0.4075,0.385,0.385,0.4075,0.385,0.385
neutral/rep0021,0,1,0.1875,0.1775,0.175,0.1875,0.1875,0.1775
neutral/rep0022,0,1,0.1375,0.0925,0.0875,0.14,0.13,0.0975
neutral/rep0023,0,3,0.38,0.3675,0.3375,0.38,0.37,0.34
neutral/rep0024,0,2,0.535,0.4975,0.4875,0.5625,0.5425,0.4875
neutral/rep0025,0,4,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0026,0,3,0.37,0.3375,0.2625,0.37,0.3375,0.265
neutral/rep0027,0,0,0.4325,0.4175,0.3775,0.4325,0.4175,0.3725
neutral/rep0028,0,4,0.155,0.155,0.125,0.155,0.155,0.125
neutral/rep0029,0,2,0.34,0.325,0.325,0.34,0.335,0.325
neutral/rep0030,0,4,0.1825,0.17,0.065,0.1825,0.17,0.065
neutral/rep0031,0,4,0.355,0.33,0.24,0.355,0.3525,0.325
neutral/rep0032,0,4,0.345,0.3425,0.32,0.3475,0.3325,0.3325
neutral/rep0033,0,3,0.3925,0.225,0.2175,0.3925,0.23,0.225
neutral/rep0034,0,2,0.4425,0.44,0.4275,0.4475,0.4425,0.44
neutral/rep0035,0,1,0.275,0.2725,0.2725,0.2775,0.2725,0.27
neutral/rep0036,0,0,0.3875,0.3825,0.365,0.4075,0.3825,0.375
neutral/rep0037,0,0,0.0975,0.0925,0.0925,0.1025,0.0925,0.0925
neutral/rep0038,0,4,0.18,0.175,0.175,0.18,0.18,0.18
neutral/rep0039,0,3,0.4125,0.3975,0.355,0.4125,0.3675,0.365
neutral/rep0040,0,2,0.56,0.4525,0.4525,0.56,0.4825,0.445
neutral/rep0041,0,0,0.47,0.45,0.45,0.4825,0.4725,0.4725
neutral/rep0042,0,4,0.135,0.1125,0.1075,0.135,0.135,0.1175
neutral/rep0043,0,2,0.2725,0.27,0.27,0.2725,0.2725,0.2725
neutral/rep0044,0,4,0.3725,0.35,0.35,0.3725,0.3675,0.35
neutral/rep0045,0,4,0.4975,0.4675,0.4325,0.51,0.4825,0.4825
neutral/rep0046,0,4,0.6375,0.625,0.5075,0.6375,0.635,0.545
neutral/rep0047,0,3,0.5,0.485,0.485,0.5,0.495,0.4825
neutral/rep0048,0,3,0.42,0.4175,0.4175,0.42,0.4175,0.3725
neutral/rep0049,0,2,0.2725,0.1975,0.185,0.2725,0.26,0.26
neutral/rep0050,0,4,0.6475,0.64,0.635,0.6475,0.645,0.64
neutral/rep0051,0,4,0.6675,0.64,0.64,0.6825,0.6675,0.64
neutral/rep0052,0,2,0.22,0.1975,0.165,0.22,0.1975,0.165
neutral/rep0053,0,2,0.4925,0.4875,0.315,0.495,0.4875,0.4875
neutral/rep0054,0,1,0.2175,0.185,0.1575,0.2175,0.185,0.1475
neutral/rep0055,0,4,0.1,0.095,0.0925,0.1,0.1,0.095
neutral/rep0056,0,1,0.405,0.39,0.365,0.405,0.405,0.39
neutral/rep0057,0,1,0.4375,0.415,0.3275,0.4375,0.32,0.32
neutral/rep0058,0,0,0.3675,0.3525,0.3475,0.405,0.37,0.36
neutral/rep0059,0,0,0.435,0.295,0.265,0.455,0.44,0.2875
neutral/rep0060,0,3,0.2725,0.2675,0.115,0.2725,0.2725,0.2675
neutral/rep0061,0,1,0.2625,0.26,0.25,0.27,0.25,0.25
neutral/rep0062,0,2,0.315,0.3075,0.295,0.3225,0.315,0.3125
neutral/rep0063,0,3,0.205,0.1975,0.1975,0.205,0.1975,0.1975
neutral/rep0064,0,4,0.525,0.48,0.48,0.525,0.4825,0.48
neutral/rep0065,0,0,0.3825,0.335,0.265,0.3825,0.3375,0.265
neutral/rep0066,0,2,0.4525,0.435,0.33,0.4525,0.4475,0.425
neutral/rep0067,0,2,0.335,0.265,0.2625,0.335,0.265,0.265
neutral/rep0068,0,1,0.2125,0.145,0.14,0.215,0.15,0.15
neutral/rep0069,0,3,0.595,0.59,0.585,0.5975,0.595,0.59
neutral/rep0070,0,3,0.23,0.1775,0.17,0.23,0.2225,0.175
neutral/rep0071,0,1,0.3275,0.2875,0.2825,0.3775,0.3275,0.3025
neutral/rep0072,0,4,0.4,0.39,0.38,0.415,0.4,0.39
neutral/rep0073,0,4,0.445,0.4375,0.39,0.445,0.445,0.4375
neutral/rep0074,0,1,0.3275,0.3175,0.3125,0.3325,0.3275,0.32
neutral/rep0075,0,3,0.4925,0.435,0.4075,0.4975,0.4325,0.4075
neutral/rep0076,0,0,0.5725,0.27,0.2475,0.5725,0.275,0.27
neutral/rep0077,0,4,0.2425,0.2375,0.2,0.255,0.2425,0.2375
neutral/rep0078,0,3,0.495,0.4575,0.445,0.495,0.49,0.4575
neutral/rep0079,0,1,0.405,0.3775,0.3025,0.405,0.405,0.34
neutral/rep0080,0,4,0.58,0.5725,0.57,0.58,0.5775,0.575
neutral/rep0081,0,2,0.3075,0.28,0.275,0.3075,0.28,0.2775
neutral/rep0082,0,1,0.54,0.5375,0.4425,0.54,0.5075,0.4475
neutral/rep0083,0,0,0.6225,0.605,0.605,0.63,0.6225,0.605
neutral/rep0084,0,1,0.3475,0.3375,0.335,0.3675,0.35,0.3375
neutral/rep0085,0,3,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0086,0,3,0.32,0.3075,0.2975,0.32,0.305,0.3025
neutral/rep0087,0,0,0.5325,0.52,0.4775,0.535,0.5325,0.5325
neutral/rep0088,0,0,0.4525,0.3875,0.38,0.4625,0.4525,0.3875
neutral/rep0089,0,0,0.2775,0.24,0.2275,0.2775,0.2525,0.24
neutral/rep0090,0,2,0.7275,0.6825,0.475,0.7275,0.6975,0.6825
neutral/rep0091,0,1,0.36,0.33,0.2325,0.3625,0.36,0.33
neutral/rep0092,0,3,0.3925,0.38,0.3275,0.3925,0.38,0.38
neutral/rep0093,0,0,0.3375,0.3325,0.2075,0.3475,0.3375,0.2075
neutral/rep0094,0,3,0.26,0.2475,0.2475,0.265,0.26,0.25
neutral/rep0095,0,0,0.3825,0.3725,0.3325,0.39,0.3825,0.3725
neutral/rep0096,0,3,0.1175,0.105,0.105,0.1175,0.1175,0.105
neutral/rep0097,0,3,0.1975,0.18,0.175,0.1975,0.195,0.1775
neutral/rep0098,0,1,0.315,0.31,0.3075,0.3175,0.3125,0.2975
neutral/rep0099,0,4,0.44,0.425,0.3925,0.44,0.425,0.395
neutral/rep0100,0,1,0.675,0.445,0.41,0.675,0.445,0.41
neutral/rep0101,0,1,0.335,0.33,0.2375,0.3475,0.33,0.2375
neutral/rep0102,0,1,0.3825,0.3675,0.365,0.39,0.3825,0.3725
neutral/rep0103,0,0,0.4375,0.4325,0.43,0.45,0.4375,0.4375
neutral/rep0104,0,4,0.245,0.245,0.24,0.25,0.2475,0.24
neutral/rep0105,0,0,0.29,0.2775,0.2325,0.2975,0.29,0.2325
neutral/rep0106,0,1,0.2975,0.2525,0.2525,0.2975,0.2825,0.2825
neutral/rep0107,0,1,0.2725,0.2675,0.2625,0.2725,0.2675,0.2625
neutral/rep0108,0,3,0.3675,0.3325,0.3075,0.3725,0.365,0.365
neutral/rep0109,0,0,0.4225,0.385,0.375,0.425,0.4225,0.395
neutral/rep0110,0,4,0.3525,0.31,0.285,0.365,0.3525,0.3
neutral/rep0111,0,0,0.42,0.39,0.3675,0.42,0.385,0.3775
neutral/rep0112,0,3,0.585,0.575,0.5725,0.585,0.5825,0.5775
neutral/rep0113,0,2,0.4525,0.4425,0.4425,0.455,0.4525,0.4525
neutral/rep0114,0,4,0.2175,0.195,0.1925,0.2175,0.195,0.195
neutral/rep0115,0,4,0.2175,0.2075,0.2075,0.2175,0.2075,0.2075
neutral/rep0116,0,1,0.4275,0.375,0.3725,0.4275,0.3775,0.3775
neutral/rep0117,0,0,0.52,0.495,0.4825,0.52,0.5175,0.5175
neutral/rep0118,0,0,0.195,0.185,0.1775,0.195,0.18,0.1775
neutral/rep0119,0,1,0.4175,0.2975,0.28,0.4225,0.4175,0.2975
neutral/rep0120,0,1,0.1725,0.1575,0.1575,0.19,0.1725,0.1575
neutral/rep0121,0,3,0.2625,0.25,0.2225,0.2625,0.2325,0.2225
neutral/rep0122,0,1,0.58,0.5775,0.555,0.5825,0.58,0.5775
neutral/rep0123,0,4,0.33,0.27,0.2675,0.33,0.2775,0.2675
neutral/rep0124,0,0,0.485,0.41,0.375,0.485,0.46,0.415
neutral/rep0125,0,3,0.605,0.5025,0.46,0.605,0.595,0.5275
neutral/rep0126,0,0,0.475,0.2975,0.295,0.475,0.3,0.295
neutral/rep0127,0,2,0.235,0.2175,0.215,0.235,0.2275,0.2175
neutral/rep0128,0,3,0.265,0.2025,0.2025,0.265,0.24,0.24
neutral/rep0129,0,2,0.605,0.5925,0.5425,0.605,0.605,0.5925
neutral/rep0130,0,2,0.1275,0.125,0.1225,0.13,0.125,0.125
neutral/rep0131,0,2,0.195,0.1875,0.185,0.195,0.1925,0.1925
neutral/rep0132,0,2,0.4225,0.41,0.345,0.4225,0.4225,0.345
neutral/rep0133,0,3,0.4975,0.4475,0.4375,0.51,0.4975,0.445
neutral/rep0134,0,4,0.4575,0.4,0.385,0.46,0.4575,0.4575
neutral/rep0135,0,2,0.22,0.2175,0.175,0.22,0.2175,0.175
neutral/rep0136,0,3,0.5,0.4675,0.4675,0.5075,0.5,0.47
neutral/rep0137,0,4,0.6175,0.505,0.49,0.6175,0.5325,0.49
neutral/rep0138,0,2,0.425,0.42,0.3925,0.425,0.42,0.3925
