selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper	n_pairs_tmrca_lt_threshold
0.0	81	0.0	lost	12.843178200011607	3.2886966000078246	0.0085	13575.92125945896	0.0085454545454545	0.0089306930693069	0.0085289256198347	18634.97246126793				17
0.0	82	0.0	lost	11.424363299971446	3.113638400041964	0.0065	33115.87089632029	0.0065	0.0066683168316831	0.0091528925619834	20103.749745408848				13
0.0	83	0.0	lost	5.472507800033782	2.5510178999975324	0.0075	18446.335849636947	0.0075	0.007	0.0074421487603305	21199.78501164017				15
0.0	84	0.0	lost	10.537863300007302	2.370709499984514	0.0105	22954.78075677291	0.0104999999999999	0.0102227722772277	0.008194214876033	19320.23006464179				21
0.0	85	0.0	lost	11.048954300000332	3.343801200040616	0.009	14008.165768348475	0.0089999999999999	0.0086782178217821	0.0093057851239669	21312.12750357331				18
0.0	86	0.0	lost	9.131338899955152	2.539744899957441	0.008	13954.783071301985	0.008	0.0074554455445544	0.0094504132231404	19780.04539704729				16
0.0	87	0.0	lost	12.39527179999277	3.866246399993543	0.0085	35429.434666740235	0.0084090909090909	0.0076386138613861	0.0095702479338843	20883.318035030497				17
0.0	88	0.0	lost	12.8193516000174	3.683288800006266	0.0105	9648.38095071274	0.0104999999999999	0.0101237623762376	0.009793388429752	19323.56921750307				21
0.0	89	0.0	lost	12.75592719996348	3.568554600002244	0.0065	15989.848664718453	0.0065	0.007009900990099	0.0089793388429752	20523.84571701132				13
0.0	90	0.0	lost	12.614256100030616	3.811931999982335	0.0095	15759.285396716645	0.0093636363636363	0.0088415841584158	0.0091776859504132	20405.52005407572				19
0.0	91	0.0	lost	12.380386400036514	3.741182799974922	0.005	17742.468023911588	0.0049999999999999	0.0048069306930693	0.0085289256198347	19278.52769853253				10
0.0	92	0.0	lost	12.751496899989434	2.368015000014566	0.006	12878.313017938412	0.006	0.0060544554455445	0.0102272727272727	20329.49695150428				12
0.0	93	0.0	lost	14.48717839998426	2.783911000005901	0.007	13582.072308193225	0.0069545454545454	0.006589108910891	0.0092396694214876	21804.75772836658				14
0.0	94	0.0	lost	16.908808399981353	2.885991799994372	0.008	15514.862959005886	0.0079545454545454	0.0077722772277227	0.0098347107438016	20684.582918856955				16
0.0	95	0.0	lost	16.98194460000377	3.151633000001312	0.0105	16495.91514615674	0.0105454545454545	0.0108910891089108	0.0076776859504132	20106.67664486056				21
0.0	96	0.0	lost	16.914693300030194	3.5422487999894656	0.01	14448.86964863595	0.0099545454545454	0.0096485148514851	0.012599173553719	20455.538547006247				20
0.0	97	0.0	lost	16.37219730002107	3.2715712999925017	0.0115	18392.92687950758	0.0119545454545454	0.0121930693069306	0.0084710743801652	19199.11291568046				23
0.0	98	0.0	lost	18.09098759997869	3.3603844000026584	0.0075	34957.68124184318	0.0075	0.0077326732673267	0.0091611570247933	19383.95175667835				15
0.0	99	0.0	lost	16.205645000038203	3.681866099999752	0.009	20291.017069532485	0.0088636363636363	0.0088316831683168	0.0104586776859504	18531.054119070395				18
