census_af	genotype_class	n_pairs	median_tmrca_generations	p_lt_30ky
0.6412169475800217	het	47	24294.210560385232	0.0
0.6412169475800217	hom_noncarrier	10	1722.5	0.1
0.9548476882634915	hom_carrier	90	1090.0	0.28888888888888886
0.9548476882634915	het	9	28987.8445965256	0.0
0.9548476882634915	hom_noncarrier	1	8065.0	0.0
0.62300912324107	hom_carrier	43	715.0	0.9069767441860465
0.62300912324107	het	48	21273.592410922545	0.0
0.62300912324107	hom_noncarrier	9	12795.0	0.1111111111111111
0.5185944023503943	hom_carrier	21	805.0	0.9047619047619048
0.5185944023503943	het	59	30452.756298877426	0.0
0.5185944023503943	hom_noncarrier	20	28536.41082056433	0.1
0.9721277253749807	hom_carrier	98	1655.0	0.11224489795918367
0.9721277253749807	het	2	21116.447797902332	0.0
0.47572290088139785	hom_carrier	21	2470.0	0.47619047619047616
0.47572290088139785	het	46	35336.807666267516	0.0
0.47572290088139785	hom_noncarrier	33	15715.0	0.15151515151515152
0.19758002164836863	hom_carrier	4	560.0	1.0
0.19758002164836863	het	29	28743.73343204762	0.0
0.19758002164836863	hom_noncarrier	67	13470.0	0.0
0.9191665378073295	hom_carrier	90	1105.0	0.16666666666666666
0.9191665378073295	het	9	40862.18262494424	0.0
0.9191665378073295	hom_noncarrier	1	1935.0	0.0
0.5122158651615896	hom_carrier	26	665.0	1.0
0.5122158651615896	het	47	26837.305528956767	0.0
0.5122158651615896	hom_noncarrier	27	4895.0	0.037037037037037035
0.49725529611875674	hom_carrier	22	800.0	1.0
0.49725529611875674	het	57	20250.781444207387	0.0
0.49725529611875674	hom_noncarrier	21	9305.0	0.0
0.8432426163599814	hom_carrier	78	995.0	1.0
0.8432426163599814	het	21	20842.00849739041	0.0
0.8432426163599814	hom_noncarrier	1	28619.306222261082	0.0
0.9391139631977733	hom_carrier	86	1295.0	0.23255813953488372
0.9391139631977733	het	14	27437.80116010421	0.0
0.9361373125096645	hom_carrier	89	1120.0	0.16853932584269662
0.9361373125096645	het	11	23159.640396177332	0.0
0.9602984382248337	hom_carrier	93	1245.0	0.1935483870967742
0.9602984382248337	het	7	26466.507750052988	0.0
0.8876217720736045	hom_carrier	85	985.0	0.5411764705882353
0.8876217720736045	het	14	25299.409290528285	0.0
0.8876217720736045	hom_noncarrier	1	25299.409290528285	0.0
0.9152620998917581	hom_carrier	82	1190.0	0.15853658536585366
0.9152620998917581	het	17	45336.142430179454	0.0
0.9152620998917581	hom_noncarrier	1	1490.0	0.0
0.8385650224215246	hom_carrier	72	1090.0	0.2638888888888889
0.8385650224215246	het	26	20907.19313897288	0.0
0.8385650224215246	hom_noncarrier	2	9150.0	0.0
0.9682232874594093	hom_carrier	90	1190.0	0.1111111111111111
0.9682232874594093	het	10	29869.07792666789	0.0
0.619723210143807	hom_carrier	35	795.0	0.8285714285714286
0.619723210143807	het	44	30132.29630356614	0.0
0.619723210143807	hom_noncarrier	21	11300.0	0.047619047619047616
0.9330446884181228	hom_carrier	85	1110.0	0.21176470588235294
0.9330446884181228	het	15	32211.821721811593	0.0
0.9811349930415958	hom_carrier	98	1255.0	0.11224489795918367
0.9811349930415958	het	2	31105.746600391714	0.0
0.8849157259935055	hom_carrier	85	960.0	0.9058823529411765
0.8849157259935055	het	14	26767.178490185124	0.0
0.8849157259935055	hom_noncarrier	1	10360.0	0.0
0.9873975568269677	hom_carrier	98	1280.0	0.1326530612244898
0.9873975568269677	het	2	22297.103693117184	0.0
0.8131668470697386	hom_carrier	67	915.0	0.5671641791044776
0.8131668470697386	het	31	35841.58669888664	0.0
0.8131668470697386	hom_noncarrier	2	1690.0	0.0
0.046196072367403744	het	5	20795.65688081664	0.0
0.046196072367403744	hom_noncarrier	95	1595.0	0.06315789473684211
0.12258388742848307	hom_carrier	3	725.0	1.0
0.12258388742848307	het	18	23645.40062287392	0.0
0.12258388742848307	hom_noncarrier	79	11255.0	0.0759493670886076
0.4766893459100046	hom_carrier	25	13985.0	0.44
0.4766893459100046	het	45	21552.478613393534	0.0
0.4766893459100046	hom_noncarrier	30	1845.0	0.1
0.8787691356115664	hom_carrier	70	1015.0	0.7571428571428571
0.8787691356115664	het	29	21032.550840485572	0.0
0.8787691356115664	hom_noncarrier	1	7705.0	0.0
0.9348229472707592	hom_carrier	85	1045.0	0.35294117647058826
0.9348229472707592	het	14	22013.40537564729	0.0
0.9348229472707592	hom_noncarrier	1	600.0	1.0
0.8425854337405289	hom_carrier	80	920.0	1.0
0.8425854337405289	het	18	40109.67857272115	0.0
0.8425854337405289	hom_noncarrier	2	5465.0	0.5
0.9039740219576311	hom_carrier	86	1180.0	0.27906976744186046
0.9039740219576311	het	14	30362.95373462683	0.0
0.928367094479666	hom_carrier	86	1145.0	0.18604651162790697
0.928367094479666	het	14	20664.75683468667	0.0
0.9116282665841967	hom_carrier	80	1020.0	0.8
0.9116282665841967	het	20	21505.725908543205	0.0
0.936214628111953	hom_carrier	91	1240.0	0.18681318681318682
0.936214628111953	het	9	21855.17762317528	0.0
