arm_id	estimator	genotype_class	conditioned_on_presence	replicate_index	allele_present	threshold_years	observed	n_null	p_value	significant
chb_from_introgression	gamma_smc_frac	overall	False	90	True	4500.0	0.02	100	0.15841584158415842	False
chb_from_introgression	gamma_smc_frac	overall	False	91	True	4500.0	0.0	100	1.0	False
chb_from_introgression	gamma_smc_frac	overall	False	92	True	4500.0	0.01	100	0.48514851485148514	False
chb_from_introgression	gamma_smc_frac	overall	False	93	True	4500.0	0.03	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	94	True	4500.0	0.03	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	95	True	4500.0	0.05	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	96	True	4500.0	0.01	100	0.48514851485148514	False
chb_from_introgression	gamma_smc_frac	overall	False	97	True	4500.0	0.03	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	98	True	4500.0	0.01	100	0.48514851485148514	False
chb_from_introgression	gamma_smc_frac	overall	False	99	True	4500.0	0.04	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	0	True	10000.0	0.07	100	0.27722772277227725	False
chb_from_introgression	gamma_smc_frac	overall	False	1	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	2	True	10000.0	0.05	100	0.46534653465346537	False
chb_from_introgression	gamma_smc_frac	overall	False	3	True	10000.0	0.02	100	0.9603960396039604	False
chb_from_introgression	gamma_smc_frac	overall	False	4	True	10000.0	0.06	100	0.36633663366336633	False
chb_from_introgression	gamma_smc_frac	overall	False	5	True	10000.0	0.19	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	6	True	10000.0	0.17	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	7	True	10000.0	0.12	100	0.0594059405940594	False
chb_from_introgression	gamma_smc_frac	overall	False	8	True	10000.0	0.13	100	0.04950495049504951	True
chb_from_introgression	gamma_smc_frac	overall	False	9	True	10000.0	0.16	100	0.019801980198019802	True
chb_from_introgression	gamma_smc_frac	overall	False	10	True	10000.0	0.13	100	0.04950495049504951	True
chb_from_introgression	gamma_smc_frac	overall	False	11	True	10000.0	0.15	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	12	True	10000.0	0.04	100	0.7227722772277227	False
chb_from_introgression	gamma_smc_frac	overall	False	13	True	10000.0	0.06	100	0.36633663366336633	False
chb_from_introgression	gamma_smc_frac	overall	False	14	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	15	True	10000.0	0.27	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	16	True	10000.0	0.11	100	0.0891089108910891	False
chb_from_introgression	gamma_smc_frac	overall	False	17	False	10000.0	0.05	100	0.46534653465346537	False
chb_from_introgression	gamma_smc_frac	overall	False	18	True	10000.0	0.17	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	19	True	10000.0	0.19	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	20	True	10000.0	0.19	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	21	True	10000.0	0.15	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	22	True	10000.0	0.07	100	0.27722772277227725	False
chb_from_introgression	gamma_smc_frac	overall	False	23	True	10000.0	0.32	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	24	True	10000.0	0.17	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	25	True	10000.0	0.16	100	0.019801980198019802	True
chb_from_introgression	gamma_smc_frac	overall	False	26	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	27	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	28	True	10000.0	0.2	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	29	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	30	True	10000.0	0.19	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	31	True	10000.0	0.17	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	32	True	10000.0	0.1	100	0.1485148514851485	False
chb_from_introgression	gamma_smc_frac	overall	False	33	True	10000.0	0.04	100	0.7227722772277227	False
chb_from_introgression	gamma_smc_frac	overall	False	34	True	10000.0	0.16	100	0.019801980198019802	True
chb_from_introgression	gamma_smc_frac	overall	False	35	True	10000.0	0.11	100	0.0891089108910891	False
chb_from_introgression	gamma_smc_frac	overall	False	36	True	10000.0	0.24	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	37	True	10000.0	0.01	100	0.9801980198019802	False
chb_from_introgression	gamma_smc_frac	overall	False	38	True	10000.0	0.2	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	39	True	10000.0	0.26	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	40	True	10000.0	0.04	100	0.7227722772277227	False
chb_from_introgression	gamma_smc_frac	overall	False	41	True	10000.0	0.14	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	42	True	10000.0	0.13	100	0.04950495049504951	True
chb_from_introgression	gamma_smc_frac	overall	False	43	True	10000.0	0.06	100	0.36633663366336633	False
chb_from_introgression	gamma_smc_frac	overall	False	44	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	45	True	10000.0	0.03	100	0.8415841584158416	False
chb_from_introgression	gamma_smc_frac	overall	False	46	True	10000.0	0.07	100	0.27722772277227725	False
chb_from_introgression	gamma_smc_frac	overall	False	47	True	10000.0	0.06	100	0.36633663366336633	False
chb_from_introgression	gamma_smc_frac	overall	False	48	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	49	True	10000.0	0.26	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	50	True	10000.0	0.08	100	0.26732673267326734	False
chb_from_introgression	gamma_smc_frac	overall	False	51	True	10000.0	0.19	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	52	True	10000.0	0.11	100	0.0891089108910891	False
chb_from_introgression	gamma_smc_frac	overall	False	53	True	10000.0	0.1	100	0.1485148514851485	False
chb_from_introgression	gamma_smc_frac	overall	False	54	True	10000.0	0.15	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	55	True	10000.0	0.07	100	0.27722772277227725	False
chb_from_introgression	gamma_smc_frac	overall	False	56	True	10000.0	0.2	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	57	True	10000.0	0.02	100	0.9603960396039604	False
chb_from_introgression	gamma_smc_frac	overall	False	58	True	10000.0	0.28	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	59	True	10000.0	0.25	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	60	True	10000.0	0.1	100	0.1485148514851485	False
chb_from_introgression	gamma_smc_frac	overall	False	61	True	10000.0	0.32	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	62	True	10000.0	0.2	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	63	True	10000.0	0.12	100	0.0594059405940594	False
chb_from_introgression	gamma_smc_frac	overall	False	64	True	10000.0	0.15	100	0.039603960396039604	True
chb_from_introgression	gamma_smc_frac	overall	False	65	True	10000.0	0.12	100	0.0594059405940594	False
chb_from_introgression	gamma_smc_frac	overall	False	66	True	10000.0	0.07	100	0.27722772277227725	False
chb_from_introgression	gamma_smc_frac	overall	False	67	True	10000.0	0.29	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	68	True	10000.0	0.13	100	0.04950495049504951	True
chb_from_introgression	gamma_smc_frac	overall	False	69	True	10000.0	0.08	100	0.26732673267326734	False
chb_from_introgression	gamma_smc_frac	overall	False	70	True	10000.0	0.07	100	0.27722772277227725	False
chb_from_introgression	gamma_smc_frac	overall	False	71	True	10000.0	0.11	100	0.0891089108910891	False
chb_from_introgression	gamma_smc_frac	overall	False	72	True	10000.0	0.12	100	0.0594059405940594	False
chb_from_introgression	gamma_smc_frac	overall	False	73	True	10000.0	0.2	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	74	True	10000.0	0.09	100	0.1782178217821782	False
chb_from_introgression	gamma_smc_frac	overall	False	75	True	10000.0	0.08	100	0.26732673267326734	False
chb_from_introgression	gamma_smc_frac	overall	False	76	True	10000.0	0.32	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	77	True	10000.0	0.1	100	0.1485148514851485	False
chb_from_introgression	gamma_smc_frac	overall	False	78	True	10000.0	0.34	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	79	True	10000.0	0.2	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	80	True	10000.0	0.08	100	0.26732673267326734	False
chb_from_introgression	gamma_smc_frac	overall	False	81	True	10000.0	0.05	100	0.46534653465346537	False
chb_from_introgression	gamma_smc_frac	overall	False	82	True	10000.0	0.23	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	83	True	10000.0	0.19	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	84	True	10000.0	0.11	100	0.0891089108910891	False
chb_from_introgression	gamma_smc_frac	overall	False	85	True	10000.0	0.22	100	0.009900990099009901	True
chb_from_introgression	gamma_smc_frac	overall	False	86	True	10000.0	0.22	100	0.009900990099009901	True
