demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	selection_coefficient	n_selected	n_neutral	mean_selected_score	mean_neutral_score	mean_selected_minus_neutral	mean_difference_ci95_low	mean_difference_ci95_high	roc_auc	roc_auc_ci95_low	roc_auc_ci95_high	bootstrap_draws	bootstrap_seed	difference_bootstrap_seed	mann_whitney_u	mann_whitney_p_upper	mean_unit_label_permutation_p_upper	auc_unit_label_permutation_p_upper	unit_label_permutation_draws	unit_label_permutation_seed	mean_unit_label_permutation_exceedances	auc_unit_label_permutation_exceedances	unit_label_permutation_method	unit_label_permutation_family	neutral_bank_scope	mann_whitney_bh_q_upper	mann_whitney_global_bh_q_upper	mean_unit_label_permutation_bh_q_upper	mean_unit_label_permutation_global_bh_q_upper	auc_unit_label_permutation_bh_q_upper	auc_unit_label_permutation_global_bh_q_upper
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	536029183	3583792413	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	2628226198	706356039	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	4104454751	846888299	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	2999807925	1150184807	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	0.005	10	100	0	0.035	-0.035	-0.0616666666666	-0.0133333333333	0.46	0.435	0.485	2000	2088587979	3386805745	460	0.825218554274	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.935402982364	0.989434254348	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	0.01	10	100	0.0333333333333	0.035	-0.00166666666669	-0.0533333333333	0.0733333333332	0.508	0.44	0.6140375	2000	2530565913	3799767051	508	0.434826594503	0.595	0.595	9999	271718307	5949	5949	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.816282960597	0.861376867023	0.881766666667	1	0.7861	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	0.005	10	100	0.05	0.140833333333	-0.0908333333333	-0.178333333333	0.0266875	0.416	0.335	0.533	2000	2906597427	784790299	416	0.87541211019	0.9195	0.9195	9999	291340262	9194	9194	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.935402982364	0.989434254348	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	0.01	10	100	0.183333333333	0.140833333333	0.0425	-0.102520833333	0.1966875	0.558	0.4155	0.7200875	2000	3228919985	2410216416	558	0.22446882592	0.3353	0.2599	9999	271718307	3352	2598	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.816282960597	0.554570040508	0.881766666667	0.686956097561	0.7861	0.635366666667
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	0.005	10	100	0.15	0.3325	-0.1825	-0.328354166667	-0.025	0.364	0.23	0.51	2000	1221947635	3362513391	364	0.935402982364	0.9572	0.9455	9999	291340262	9571	9454	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.935402982364	0.989434254348	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	0.01	10	100	0.333333333333	0.3325	0.00083333333333	-0.205020833333	0.213354166667	0.5115	0.3505	0.683525	2000	1555631990	3319859652	511.5	0.451712728933	0.5263	0.4611	9999	271718307	5262	4610	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.816282960597	0.861376867023	0.881766666667	0.961069565217	0.7861	0.880281818182
