demography_id	target_allele_frequency	selection_coefficient	statistic_scope	metric	statistic	threshold_years	n_selected	mean_within_selection_score	median_within_selection_score	sd_within_selection_score	mean_ci95_low	mean_ci95_high	n_nonzero	n_positive	sign_test_p_upper	bootstrap_draws	bootstrap_seed	sign_test_bh_q_upper
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	10	0.08075480309	0	0.211489878525	-0.0125759700795	0.21386328725	5	2	0.8125	2000	996580553	0.8125
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	10000	10	0.175936905982	0.173987365292	0.218495314153	0.0601581283142	0.308787663454	10	6	0.376953125	2000	92809790	0.527734375
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	20000	10	0.361195776864	0.36866359447	0.319045186382	0.182331560524	0.543980515061	10	8	0.0546875	2000	1180614111	0.095703125
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	30000	10	0.328886650351	0.337921626984	0.329008582271	0.142341994061	0.523295148147	10	8	0.0546875	2000	418452922	0.095703125
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	40000	10	0.368971972735	0.322172619047	0.412775403026	0.131619977859	0.624304754033	10	8	0.0546875	2000	1358198396	0.095703125
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	50000	10	0.409485454695	0.317460317461	0.410063389195	0.182676688499	0.648569320704	10	9	0.0107421875	2000	4280252283	0.0751953125
ancient_eurasia_han_introgression	0.2	0.005	region_mean	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	10	941.13888413	542.1138873	2267.85802827	-98.0516872875	2453.0204577	10	7	0.171875	2000	1037726282	0.171875
ancient_eurasia_han_introgression	0.2	0.005	region_mean	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	10	0.0207039839203	0.00476697172613	0.0596310814932	-0.00729428382547	0.0571308419885	10	6	0.376953125	2000	1546137686	0.376953125
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	10	0.0137867805939	-0.0001171875	0.0483695421843	-0.0024272296467	0.0446349490326	6	1	0.984375	2000	3889310512	0.984375
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	10	0.0220372434682	-0.0032471949509	0.0623257002216	-0.00567193504351	0.0625732233681	10	3	0.9453125	2000	718973020	0.984375
