metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,10000,500000,0.004,100,35,0.35,0.6588531746031745,0.20091269841269843,0.35,1.74,2.09,18,35,174,65,0.8325358851674641,0.22653721682847897,0.5732366071428572,0.7364952380952381,0.1381547619047619,0.2657178571428572
peak,1,0.01,10000,500000,0.005,100,48,0.48,0.6583650793650794,0.24638095238095237,0.48,1.96,2.44,16,48,196,52,0.8032786885245902,0.27906976744186046,0.585400992063492,0.728236111111111,0.19015119047619047,0.3080035714285714
peak,1,0.01,10000,500000,0.006,100,59,0.59,0.5693492063492063,0.34965873015873017,0.59,1.93,2.52,15,59,193,41,0.7658730158730159,0.3352272727272727,0.4939420634920635,0.645809623015873,0.27953115079365076,0.41998829365079365
peak,1,0.01,10000,500000,0.007,100,63,0.63,0.5926984126984126,0.37349206349206354,0.63,1.87,2.5,11,63,187,37,0.748,0.36,0.5145943452380952,0.6629526785714286,0.3057023809523809,0.44025238095238095
peak,1,0.01,10000,500000,0.008,100,70,0.7,0.6099761904761904,0.37035786435786433,0.7,2.17,2.87,11,70,217,30,0.7560975609756098,0.36175710594315247,0.5411059523809523,0.676392857142857,0.3093272907647907,0.4299694805194805
peak,1,0.01,10000,500000,0.009,100,65,0.65,0.6193809523809523,0.33745238095238095,0.65,2.14,2.79,13,65,214,35,0.7670250896057348,0.34300791556728233,0.5529047619047619,0.6861458333333333,0.2817267857142857,0.3977154761904761
peak,1,0.01,10000,500000,0.01,100,57,0.57,0.6188290043290042,0.3316904761904762,0.57,1.95,2.52,12,57,195,43,0.7738095238095238,0.32386363636363635,0.5453755411255411,0.6944361471861471,0.2630619047619048,0.39755059523809533
peak,1,0.01,20000,50000,0.001,100,1,0.01,0.80875,0.0022222222222222222,0.01,2.01,2.02,19,1,201,99,0.995049504950495,0.006622516556291391,0.72875,0.88,0.0,0.006666666666666666
peak,1,0.01,20000,50000,0.002,100,2,0.02,0.8633333333333334,0.01,0.02,2.06,2.08,13,2,206,98,0.9903846153846154,0.012987012987012988,0.7966666666666665,0.9266666666666667,0.0,0.025
peak,1,0.01,20000,50000,0.003,100,12,0.12,0.8393333333333334,0.06585714285714285,0.12,2.38,2.5,11,12,238,88,0.952,0.06857142857142857,0.768825,0.9016708333333334,0.031182142857142853,0.10867499999999997
peak,1,0.01,20000,50000,0.004,100,27,0.27,0.7979242424242424,0.1358253968253968,0.27,2.55,2.82,10,27,255,73,0.9042553191489362,0.14136125654450263,0.7285795454545455,0.8610267045454546,0.08693650793650792,0.19087619047619048
peak,1,0.01,20000,50000,0.005,100,42,0.42,0.7072817460317461,0.21546031746031744,0.42,2.39,2.81,13,42,239,58,0.8505338078291815,0.2204724409448819,0.6306252976190476,0.7820755952380952,0.16037678571428568,0.27550079365079355
peak,1,0.01,20000,50000,0.006,100,61,0.61,0.734531746031746,0.30926984126984125,0.61,2.34,2.95,4,61,234,39,0.7932203389830509,0.30886075949367087,0.6740607142857141,0.7896955357142857,0.25302222222222226,0.3672396825396824
