arm_id	mode	unit_id	replicate_index	genotype_class	n_pairs	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_tmrca_generations	median_tmrca_generations	seed
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	hom_noncarrier	100	20000.0	800.0	0.01	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	hom_noncarrier	100	30000.0	1200.0	0.04	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	hom_noncarrier	100	40000.0	1600.0	0.05	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	hom_noncarrier	100	50000.0	2000.0	0.06	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	1000.0	40.0	0.0	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	4500.0	180.0	0.0	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	10000.0	400.0	0.01	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	20000.0	800.0	0.01	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	30000.0	1200.0	0.04	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	40000.0	1600.0	0.05	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep037	37	overall	100	50000.0	2000.0	0.06	11204.023556610242	3695.0	31260856
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	1000.0	40.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	4500.0	180.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	10000.0	400.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	20000.0	800.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	30000.0	1200.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	40000.0	1600.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	het	0	50000.0	2000.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	1000.0	40.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	4500.0	180.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	10000.0	400.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	20000.0	800.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	30000.0	1200.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	40000.0	1600.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_carrier	0	50000.0	2000.0				31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	1000.0	40.0	0.0	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	4500.0	180.0	0.02	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	10000.0	400.0	0.03	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	20000.0	800.0	0.11	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	30000.0	1200.0	0.15	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	40000.0	1600.0	0.17	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	hom_noncarrier	100	50000.0	2000.0	0.2	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	1000.0	40.0	0.0	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	4500.0	180.0	0.02	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	10000.0	400.0	0.03	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	20000.0	800.0	0.11	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	30000.0	1200.0	0.15	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	40000.0	1600.0	0.17	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep038	38	overall	100	50000.0	2000.0	0.2	32497.45910951477	32357.66364149695	31260857
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	1000.0	40.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	4500.0	180.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	10000.0	400.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	20000.0	800.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	30000.0	1200.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	40000.0	1600.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	het	0	50000.0	2000.0				31260858
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep039	39	hom_carrier	0	1000.0	40.0				31260858
