source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_5000,0.05,0.007,100,1,0.01,1000,39,0.039
truth,all_5000,0.05,0.008,100,4,0.04,1000,39,0.039
truth,all_5000,0.05,0.009,100,2,0.02,1000,39,0.039
truth,all_5000,0.05,0.01,100,3,0.03,1000,39,0.039
truth,all_50000,0.01,0.001,100,2,0.02,1000,12,0.012
truth,all_50000,0.01,0.002,100,6,0.06,1000,12,0.012
truth,all_50000,0.01,0.003,100,23,0.23,1000,12,0.012
truth,all_50000,0.01,0.004,100,45,0.45,1000,12,0.012
truth,all_50000,0.01,0.005,100,74,0.74,1000,12,0.012
truth,all_50000,0.01,0.006,100,76,0.76,1000,12,0.012
truth,all_50000,0.01,0.007,100,91,0.91,1000,12,0.012
truth,all_50000,0.01,0.008,100,93,0.93,1000,12,0.012
truth,all_50000,0.01,0.009,100,92,0.92,1000,12,0.012
truth,all_50000,0.01,0.01,100,96,0.96,1000,12,0.012
truth,all_50000,0.05,0.001,100,5,0.05,1000,54,0.054
truth,all_50000,0.05,0.002,100,19,0.19,1000,54,0.054
truth,all_50000,0.05,0.003,100,41,0.41,1000,54,0.054
truth,all_50000,0.05,0.004,100,62,0.62,1000,54,0.054
truth,all_50000,0.05,0.005,100,86,0.86,1000,54,0.054
truth,all_50000,0.05,0.006,100,89,0.89,1000,54,0.054
truth,all_50000,0.05,0.007,100,94,0.94,1000,54,0.054
truth,all_50000,0.05,0.008,100,96,0.96,1000,54,0.054
truth,all_50000,0.05,0.009,100,99,0.99,1000,54,0.054
truth,all_50000,0.05,0.01,100,100,1.0,1000,54,0.054
truth,mass_10000,0.01,0.001,100,20,0.2,1000,11,0.011
truth,mass_10000,0.01,0.002,100,44,0.44,1000,11,0.011
truth,mass_10000,0.01,0.003,100,66,0.66,1000,11,0.011
truth,mass_10000,0.01,0.004,100,85,0.85,1000,11,0.011
truth,mass_10000,0.01,0.005,100,100,1.0,1000,11,0.011
truth,mass_10000,0.01,0.006,100,95,0.95,1000,11,0.011
truth,mass_10000,0.01,0.007,100,98,0.98,1000,11,0.011
truth,mass_10000,0.01,0.008,100,98,0.98,1000,11,0.011
truth,mass_10000,0.01,0.009,100,100,1.0,1000,11,0.011
truth,mass_10000,0.01,0.01,100,100,1.0,1000,11,0.011
truth,mass_10000,0.05,0.001,100,51,0.51,1000,43,0.043
truth,mass_10000,0.05,0.002,100,67,0.67,1000,43,0.043
truth,mass_10000,0.05,0.003,100,82,0.82,1000,43,0.043
truth,mass_10000,0.05,0.004,100,93,0.93,1000,43,0.043
truth,mass_10000,0.05,0.005,100,100,1.0,1000,43,0.043
truth,mass_10000,0.05,0.006,100,98,0.98,1000,43,0.043
truth,mass_10000,0.05,0.007,100,99,0.99,1000,43,0.043
truth,mass_10000,0.05,0.008,100,99,0.99,1000,43,0.043
truth,mass_10000,0.05,0.009,100,100,1.0,1000,43,0.043
truth,mass_10000,0.05,0.01,100,100,1.0,1000,43,0.043
