key,source,s,T,af,mass,aa_frac_recent,aa_pair_fraction
onset50000/rep0071,decoded,0.005,50000,0.95,0.8517,0.9423545032086745,0.9038
onset50000/rep0072,decoded,0.005,20000,0.59,0.11,0.3170028818443804,0.347
onset50000/rep0072,decoded,0.005,50000,0.59,0.2713,0.7818443804034582,0.347
onset50000/rep0073,decoded,0.005,20000,0.935,0.1343,0.153731684981685,0.8736
onset50000/rep0073,decoded,0.005,50000,0.935,0.5424,0.6208791208791209,0.8736
onset50000/rep0074,decoded,0.005,20000,0.9175,0.1381,0.16588588588588588,0.8325
onset50000/rep0074,decoded,0.005,50000,0.9175,0.5153,0.618978978978979,0.8325
onset50000/rep0075,decoded,0.005,20000,0.7575,0.2162,0.37606540267872673,0.5749
onset50000/rep0075,decoded,0.005,50000,0.7575,0.5073,0.8824143329274656,0.5749
onset50000/rep0076,decoded,0.005,20000,0.3625,0.0738,0.5458579881656804,0.1352
onset50000/rep0076,decoded,0.005,50000,0.3625,0.1262,0.9334319526627219,0.1352
onset50000/rep0077,decoded,0.005,20000,0.8525,0.1008,0.138442521631644,0.7281
onset50000/rep0077,decoded,0.005,50000,0.8525,0.5292,0.7268232385661311,0.7281
onset50000/rep0078,decoded,0.005,20000,0.895,0.2895,0.36029869321717484,0.8035
onset50000/rep0078,decoded,0.005,50000,0.895,0.7271,0.9049159925326695,0.8035
onset50000/rep0079,decoded,0.005,20000,0.9375,0.1723,0.195750965689616,0.8802
onset50000/rep0079,decoded,0.005,50000,0.9375,0.5296,0.6016814360372642,0.8802
onset50000/rep0080,decoded,0.005,20000,0.9175,0.158,0.1878269139324774,0.8412
onset50000/rep0080,decoded,0.005,50000,0.9175,0.5181,0.6159058487874465,0.8412
onset50000/rep0081,decoded,0.005,20000,0.835,0.134,0.1917024320457797,0.699
onset50000/rep0081,decoded,0.005,50000,0.835,0.3742,0.5353361945636623,0.699
onset50000/rep0082,decoded,0.005,20000,0.895,0.2415,0.30014914243102164,0.8046
onset50000/rep0082,decoded,0.005,50000,0.895,0.6702,0.8329604772557793,0.8046
onset50000/rep0083,decoded,0.005,20000,0.78,0.1161,0.19272908366533864,0.6024
onset50000/rep0083,decoded,0.005,50000,0.78,0.4011,0.6658366533864541,0.6024
onset50000/rep0084,decoded,0.005,20000,0.81,0.1512,0.22999695771219958,0.6574
onset50000/rep0084,decoded,0.005,50000,0.81,0.4577,0.6962275631274718,0.6574
onset50000/rep0085,decoded,0.005,20000,0.9675,0.3046,0.3267188673173871,0.9323
onset50000/rep0085,decoded,0.005,50000,0.9675,0.6787,0.727984554328006,0.9323
onset50000/rep0086,decoded,0.005,20000,0.93,0.1307,0.1510109763142692,0.8655
onset50000/rep0086,decoded,0.005,50000,0.93,0.4243,0.4902368573079145,0.8655
onset50000/rep0087,decoded,0.005,20000,0.8875,0.2625,0.3331218274111675,0.788
onset50000/rep0087,decoded,0.005,50000,0.8875,0.6635,0.8420050761421319,0.788
onset50000/rep0088,decoded,0.005,20000,0.88,0.2065,0.2668993149799664,0.7737
onset50000/rep0088,decoded,0.005,50000,0.88,0.5162,0.6671836629184439,0.7737
onset50000/rep0089,decoded,0.005,20000,0.9775,0.1319,0.13844861971239636,0.9527
onset50000/rep0089,decoded,0.005,50000,0.9775,0.5155,0.5410937335992443,0.9527
onset50000/rep0090,decoded,0.005,20000,0.99,0.1133,0.11549439347604486,0.981
onset50000/rep0090,decoded,0.005,50000,0.99,0.3606,0.3675840978593272,0.981
onset50000/rep0091,decoded,0.005,20000,0.71,0.0864,0.17252396166134185,0.5008
onset50000/rep0091,decoded,0.005,50000,0.71,0.2511,0.5013977635782748,0.5008
onset50000/rep0092,decoded,0.005,20000,0.9575,0.1174,0.12777535916412713,0.9188
onset50000/rep0092,decoded,0.005,50000,0.9575,0.4842,0.5269917283413148,0.9188
onset50000/rep0093,decoded,0.005,20000,0.4825,0.0711,0.3033276450511945,0.2344
onset50000/rep0093,decoded,0.005,50000,0.4825,0.1079,0.46032423208191126,0.2344
onset50000/rep0094,decoded,0.005,20000,0.72,0.1414,0.272394528992487,0.5191
onset50000/rep0094,decoded,0.005,50000,0.72,0.4054,0.7809670583702563,0.5191
onset50000/rep0095,decoded,0.005,20000,0.605,0.096,0.2643899752134398,0.3631
onset50000/rep0095,decoded,0.005,50000,0.605,0.1972,0.5431010740842743,0.3631
onset50000/rep0096,decoded,0.005,20000,0.9375,0.1341,0.1526639344262295,0.8784
onset50000/rep0096,decoded,0.005,50000,0.9375,0.5055,0.5754781420765027,0.8784
onset50000/rep0097,decoded,0.005,20000,0.72,0.0713,0.13638102524866105,0.5228
onset50000/rep0097,decoded,0.005,50000,0.72,0.2148,0.4108645753634277,0.5228
onset50000/rep0098,decoded,0.005,20000,0.82,0.3502,0.5188916876574308,0.6749
onset50000/rep0098,decoded,0.005,50000,0.82,0.6092,0.902652244777004,0.6749
onset50000/rep0099,decoded,0.005,20000,0.7,0.0688,0.14104141041410415,0.4878
onset50000/rep0099,decoded,0.005,50000,0.7,0.1667,0.3417384173841738,0.4878
