key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0093,0,False,,0.0,20dab8f9d315126db9b347bafb085b2891418d6d0445cd6bc150b18a7004d07c
neutral/rep0094,3,False,,0.0,f379b78d8589873ec0c527643fe9e3e274868c559afb3db4025d3071f941584b
neutral/rep0095,0,False,,0.0,f93f0f37f0022d13187b46df62db619ec726561ee96d414a3aeee8c94de8c8af
neutral/rep0096,3,False,,0.0,3fa3f8351f2a42d27c54b30ec995b64c4ece3d87ecc5b3610e1b266f8608f024
neutral/rep0097,3,False,,0.0,737c4e399bdb648737f3b5dcaab9c4aae61be62b93fdd86d976270d692499f06
neutral/rep0098,1,False,,0.0,299ef1a777fddeae0d51f1c6538851193083a410c483d566039d417aeff44a82
neutral/rep0099,4,False,,0.0,5eec3daa003d1b97d6a447b4378d399936cdb462c355225ea31ee16e6f924195
neutral/rep0100,1,False,,0.0,6e906b471bb74f930dac7b71591a349d786713fa6d2cc5f2b49e2b8ecf401423
neutral/rep0101,1,False,,0.0,6608d77e630e85c4df86ae285b95afe9ff91eb6166aa55a145ac9b5984420a5d
neutral/rep0102,1,False,,0.0,44756b18fe0c654fd810d1840f9a7253c3961a95ac0adf88475dc016d6766f73
neutral/rep0103,0,True,4996108.0,0.02,ab5178f1d245a24c4c91c9736e9be577e025670d76816f9c645c0d97ef0e47c7
neutral/rep0104,4,False,,0.0,29f777fe15ab2da6ba2dfd2bf980a76dc4406cd6a3b427311e12079020df0e73
neutral/rep0105,0,False,,0.0,773edf747604e74423d37a6f01dfc16fbbccea82714dc827934a8f3a857e7682
neutral/rep0106,1,False,,0.0,7ad549dc32e31d74d9ffc7adccdf9af76869dde1e285d4418e8892d007012493
neutral/rep0107,1,False,,0.0,81f59ead1abc656d2f64ebfe0d50c885901dc617b2df50caff79aef00c52d009
neutral/rep0108,3,True,4998706.0,0.015,d5e4896a01fbf5f0b57c721544bd8bb2936a265a2695aad0cc6080e923817a2a
neutral/rep0109,0,False,,0.0,7aa71c9b72bb90dd8374e30745a8ccd3a23a4597e2305037a6171b6fff290aca
neutral/rep0110,4,True,5002265.0,0.0225,5fde04ca2c5283b15ded6feff259aaa90e56d0564c2e3020e773f19f45a4c4c8
neutral/rep0111,0,False,,0.0,ae52a6b8ce4ea3a2e294899191984eba77f938d805af9e2b0ede4c027e423fc0
neutral/rep0112,3,False,,0.0,3293eb8add69c8cdf6af5340cda1d2d893b1eab77d5b186a26b82a0721ccb12a
neutral/rep0113,2,False,,0.0,701dd8d2c875a242ee53c817583f811f2af17ac33dd0cc48104886c18b99d4a5
neutral/rep0114,4,False,,0.0,88f68f8f7f607432ed9d437605ff7e95a6b7f869ec7ad8d2b128513d1cbd22d6
neutral/rep0115,4,False,,0.0,8da4dac515703465b0f18822e6b159a9696317cec3323f5171006b3aba56598e
neutral/rep0116,1,True,5001337.0,0.065,fffb4be8b55de412ad2106f04de80f364043c6bfe8a0efaa24a2e16e2220481c
neutral/rep0117,0,False,,0.0,3dbc047e0f7a4d03e7e51988a719efd28facf29fa2bbbf8e957434f73278c172
neutral/rep0118,0,False,,0.0,d632d523ba71b48daa0cb9b48efdd585e466e49c1dda5535ce8c3a7fd963302c
neutral/rep0119,1,False,,0.0,8356871455138f88aa7db3b130063e92e1e4693412dd65c3addb92718a16f011
neutral/rep0120,1,False,,0.0,f69d9e153fa6705bcbdde9d4b09c52cc2e810438ceee3258ccee860eb168ddeb
neutral/rep0121,3,False,,0.0,bf646d777154abf21999de894c26ebffc4384c921cb8b65affdb3b5134403d30
neutral/rep0122,1,False,,0.0,6b9f774a89255006e3bc918fba237fc0ef9a11385b7e5b3c42142c5119aae9a0
neutral/rep0123,4,False,,0.0,b056b30d433ca919f7789cf5c190841ef6c439c5094fa2e41cd1bbed8a5a7078
neutral/rep0124,0,True,5004361.0,0.2375,981ab17977388a41b6cd3192e443e0a58b70b45b1e552c2836979bb9d0ee5194
neutral/rep0125,3,True,5000000.0,0.1625,848b594e4209e8545b809f035f43ed62f8787b3eeb5cd06e229f18df61a286e5
