key,maximum_af
neutral/rep0272,0.4975
neutral/rep0273,0.465
neutral/rep0274,0.335
neutral/rep0275,0.6675
neutral/rep0276,0.335
neutral/rep0277,0.3825
neutral/rep0278,0.3475
neutral/rep0279,0.3825
neutral/rep0280,0.3025
neutral/rep0281,0.265
neutral/rep0282,0.43
neutral/rep0283,0.4325
neutral/rep0284,0.35
neutral/rep0285,0.2825
neutral/rep0286,0.0
neutral/rep0287,0.4475
neutral/rep0288,0.39
neutral/rep0289,0.4375
neutral/rep0290,0.25
neutral/rep0291,0.165
neutral/rep0292,0.2675
neutral/rep0293,0.3725
neutral/rep0294,0.515
neutral/rep0295,0.33
neutral/rep0296,0.2225
neutral/rep0297,0.3325
neutral/rep0298,0.165
neutral/rep0299,0.3725
neutral/rep0300,0.3725
neutral/rep0301,0.0675
neutral/rep0302,0.245
neutral/rep0303,0.5175
neutral/rep0304,0.545
neutral/rep0305,0.3825
neutral/rep0306,0.6525
neutral/rep0307,0.4825
neutral/rep0308,0.125
neutral/rep0309,0.775
neutral/rep0310,0.215
neutral/rep0311,0.525
neutral/rep0312,0.48
neutral/rep0313,0.1875
neutral/rep0314,0.3925
neutral/rep0315,0.3225
neutral/rep0316,0.225
neutral/rep0317,0.515
neutral/rep0318,0.025
neutral/rep0319,0.21
neutral/rep0320,0.2775
neutral/rep0321,0.37
neutral/rep0322,0.45
neutral/rep0323,0.39
neutral/rep0324,0.37
neutral/rep0325,0.31
neutral/rep0326,0.24
neutral/rep0327,0.49
neutral/rep0328,0.595
neutral/rep0329,0.295
neutral/rep0330,0.4275
neutral/rep0331,0.6025
neutral/rep0332,0.07
neutral/rep0333,0.455
neutral/rep0334,0.3725
neutral/rep0335,0.625
neutral/rep0336,0.4475
neutral/rep0337,0.2725
neutral/rep0338,0.28
neutral/rep0339,0.585
neutral/rep0340,0.205
neutral/rep0341,0.27
neutral/rep0342,0.4
neutral/rep0343,0.6925
neutral/rep0344,0.245
neutral/rep0345,0.3875
neutral/rep0346,0.07
neutral/rep0347,0.3225
neutral/rep0348,0.025
neutral/rep0349,0.255
neutral/rep0350,0.4425
neutral/rep0351,0.54
neutral/rep0352,0.26
neutral/rep0353,0.4325
neutral/rep0354,0.395
neutral/rep0355,0.45
neutral/rep0356,0.34
neutral/rep0357,0.735
neutral/rep0358,0.4025
neutral/rep0359,0.3975
neutral/rep0360,0.45
neutral/rep0361,0.555
neutral/rep0362,0.3925
neutral/rep0363,0.18
neutral/rep0364,0.38
neutral/rep0365,0.565
neutral/rep0366,0.415
neutral/rep0367,0.3
neutral/rep0368,0.4575
neutral/rep0369,0.4125
neutral/rep0370,0.29
neutral/rep0371,0.4075
neutral/rep0372,0.24
neutral/rep0373,0.1675
neutral/rep0374,0.18
neutral/rep0375,0.3025
neutral/rep0376,0.45
neutral/rep0377,0.165
neutral/rep0378,0.275
neutral/rep0379,0.515
neutral/rep0380,0.21
neutral/rep0381,0.4675
neutral/rep0382,0.13
neutral/rep0383,0.4175
neutral/rep0384,0.235
neutral/rep0385,0.2825
neutral/rep0386,0.4475
neutral/rep0387,0.4325
neutral/rep0388,0.485
neutral/rep0389,0.24
neutral/rep0390,0.2075
neutral/rep0391,0.5025
neutral/rep0392,0.33
neutral/rep0393,0.225
neutral/rep0394,0.26
neutral/rep0395,0.2625
neutral/rep0396,0.4075
neutral/rep0397,0.3575
neutral/rep0398,0.455
neutral/rep0399,0.1575
neutral/rep0400,0.2975
neutral/rep0401,0.0925
neutral/rep0402,0.485
neutral/rep0403,0.5375
neutral/rep0404,0.4375
neutral/rep0405,0.2625
neutral/rep0406,0.555
neutral/rep0407,0.3825
neutral/rep0408,0.185
neutral/rep0409,0.085
neutral/rep0410,0.4275
neutral/rep0411,0.5275
neutral/rep0412,0.4225
neutral/rep0413,0.4075
neutral/rep0414,0.3225
neutral/rep0415,0.49
neutral/rep0416,0.35
neutral/rep0417,0.545
neutral/rep0418,0.0
neutral/rep0419,0.5225
neutral/rep0420,0.3825
neutral/rep0421,0.6725
neutral/rep0422,0.4875
neutral/rep0423,0.715
neutral/rep0424,0.67
neutral/rep0425,0.3875
neutral/rep0426,0.3775
neutral/rep0427,0.335
neutral/rep0428,0.265
neutral/rep0429,0.4175
neutral/rep0430,0.5125
neutral/rep0431,0.0725
neutral/rep0432,0.35
neutral/rep0433,0.4575
neutral/rep0434,0.315
neutral/rep0435,0.235
neutral/rep0436,0.4075
neutral/rep0437,0.2175
neutral/rep0438,0.3225
neutral/rep0439,0.46
neutral/rep0440,0.545
neutral/rep0441,0.135
neutral/rep0442,0.27
neutral/rep0443,0.39
neutral/rep0444,0.3075
neutral/rep0445,0.4425
neutral/rep0446,0.44
neutral/rep0447,0.3125
neutral/rep0448,0.67
neutral/rep0449,0.2225
neutral/rep0450,0.3875
neutral/rep0451,0.51
neutral/rep0452,0.7575
neutral/rep0453,0.3225
neutral/rep0454,0.3875
neutral/rep0455,0.275
neutral/rep0456,0.21
neutral/rep0457,0.365
neutral/rep0458,0.3625
neutral/rep0459,0.4675
neutral/rep0460,0.6
neutral/rep0461,0.5225
neutral/rep0462,0.285
neutral/rep0463,0.235
neutral/rep0464,0.5275
neutral/rep0465,0.34
neutral/rep0466,0.42
neutral/rep0467,0.4525
neutral/rep0468,0.295
neutral/rep0469,0.485
neutral/rep0470,0.635
neutral/rep0471,0.6275
neutral/rep0472,0.4125
neutral/rep0473,0.2925
neutral/rep0474,0.405
neutral/rep0475,0.33
neutral/rep0476,0.545
neutral/rep0477,0.0
neutral/rep0478,0.435
neutral/rep0479,0.185
neutral/rep0480,0.175
neutral/rep0481,0.385
neutral/rep0482,0.185
neutral/rep0483,0.365
neutral/rep0484,0.61
neutral/rep0485,0.325
neutral/rep0486,0.3275
neutral/rep0487,0.7475
neutral/rep0488,0.48
neutral/rep0489,0.1975
neutral/rep0490,0.35
neutral/rep0491,0.155
neutral/rep0492,0.5075
neutral/rep0493,0.255
neutral/rep0494,0.6375
neutral/rep0495,0.255
neutral/rep0496,0.405
neutral/rep0497,0.1725
neutral/rep0498,0.36
neutral/rep0499,0.34
neutral/rep0500,0.5725
neutral/rep0501,0.4925
neutral/rep0502,0.57
neutral/rep0503,0.14
neutral/rep0504,0.3925
neutral/rep0505,0.7725
neutral/rep0506,0.305
neutral/rep0507,0.2675
neutral/rep0508,0.1275
neutral/rep0509,0.405
neutral/rep0510,0.3575
neutral/rep0511,0.465
neutral/rep0512,0.33
neutral/rep0513,0.275
neutral/rep0514,0.225
neutral/rep0515,0.1975
neutral/rep0516,0.5475
neutral/rep0517,0.445
neutral/rep0518,0.545
neutral/rep0519,0.275
neutral/rep0520,0.5675
neutral/rep0521,0.475
neutral/rep0522,0.4875
neutral/rep0523,0.445
neutral/rep0524,0.525
neutral/rep0525,0.435
neutral/rep0526,0.4025
neutral/rep0527,0.3125
neutral/rep0528,0.16
neutral/rep0529,0.245
neutral/rep0530,0.3775
neutral/rep0531,0.5225
neutral/rep0532,0.29
neutral/rep0533,0.3875
neutral/rep0534,0.1225
neutral/rep0535,0.325
neutral/rep0536,0.26
neutral/rep0537,0.395
neutral/rep0538,0.3775
neutral/rep0539,0.6675
neutral/rep0540,0.845
neutral/rep0541,0.49
neutral/rep0542,0.25
neutral/rep0543,0.5625
neutral/rep0544,0.4
neutral/rep0545,0.385
neutral/rep0546,0.4225
neutral/rep0547,0.4025
neutral/rep0548,0.0
neutral/rep0549,0.0625
neutral/rep0550,0.3025
neutral/rep0551,0.4625
neutral/rep0552,0.2375
neutral/rep0553,0.4725
neutral/rep0554,0.5575
neutral/rep0555,0.18
neutral/rep0556,0.485
neutral/rep0557,0.3
neutral/rep0558,0.3975
neutral/rep0559,0.2625
neutral/rep0560,0.2375
neutral/rep0561,0.4075
neutral/rep0562,0.415
neutral/rep0563,0.36
neutral/rep0564,0.4
neutral/rep0565,0.2775
neutral/rep0566,0.4525
neutral/rep0567,0.2425
neutral/rep0568,0.34
neutral/rep0569,0.2625
neutral/rep0570,0.3175
neutral/rep0571,0.27
neutral/rep0572,0.545
neutral/rep0573,0.64
neutral/rep0574,0.4025
neutral/rep0575,0.35
neutral/rep0576,0.35
neutral/rep0577,0.2
neutral/rep0578,0.38
neutral/rep0579,0.505
neutral/rep0580,0.4325
neutral/rep0581,0.55
neutral/rep0582,0.705
neutral/rep0583,0.5525
neutral/rep0584,0.39
neutral/rep0585,0.2225
neutral/rep0586,0.5
neutral/rep0587,0.205
neutral/rep0588,0.32
neutral/rep0589,0.235
neutral/rep0590,0.355
neutral/rep0591,0.3525
neutral/rep0592,0.4275
neutral/rep0593,0.11
neutral/rep0594,0.445
neutral/rep0595,0.41
neutral/rep0596,0.26
neutral/rep0597,0.1925
neutral/rep0598,0.535
neutral/rep0599,0.17
neutral/rep0600,0.3825
neutral/rep0601,0.3425
neutral/rep0602,0.3
neutral/rep0603,0.6875
neutral/rep0604,0.4225
neutral/rep0605,0.3675
neutral/rep0606,0.705
neutral/rep0607,0.41
neutral/rep0608,0.4075
neutral/rep0609,0.7025
neutral/rep0610,0.32
neutral/rep0611,0.5625
neutral/rep0612,0.355
neutral/rep0613,0.0825
neutral/rep0614,0.3475
neutral/rep0615,0.2075
neutral/rep0616,0.5625
neutral/rep0617,0.305
neutral/rep0618,0.6625
neutral/rep0619,0.6025
neutral/rep0620,0.4275
neutral/rep0621,0.3975
neutral/rep0622,0.5875
neutral/rep0623,0.375
neutral/rep0624,0.3725
neutral/rep0625,0.42
neutral/rep0626,0.405
neutral/rep0627,0.3275
neutral/rep0628,0.6325
neutral/rep0629,0.485
neutral/rep0630,0.4925
neutral/rep0631,0.5575
neutral/rep0632,0.0
neutral/rep0633,0.4225
neutral/rep0634,0.265
neutral/rep0635,0.1325
neutral/rep0636,0.36
neutral/rep0637,0.4625
neutral/rep0638,0.1925
neutral/rep0639,0.31
neutral/rep0640,0.0
neutral/rep0641,0.2175
neutral/rep0642,0.4775
neutral/rep0643,0.4325
neutral/rep0644,0.34
neutral/rep0645,0.3275
neutral/rep0646,0.3125
neutral/rep0647,0.5825
neutral/rep0648,0.5075
neutral/rep0649,0.5075
neutral/rep0650,0.64
neutral/rep0651,0.205
neutral/rep0652,0.4
neutral/rep0653,0.1875
neutral/rep0654,0.4425
neutral/rep0655,0.22
neutral/rep0656,0.385
neutral/rep0657,0.62
neutral/rep0658,0.6
neutral/rep0659,0.345
neutral/rep0660,0.585
neutral/rep0661,0.12
neutral/rep0662,0.3575
neutral/rep0663,0.38
neutral/rep0664,0.4825
neutral/rep0665,0.41
neutral/rep0666,0.2175
neutral/rep0667,0.26
neutral/rep0668,0.355
neutral/rep0669,0.35
neutral/rep0670,0.6925
neutral/rep0671,0.0
neutral/rep0672,0.4725
neutral/rep0673,0.48
neutral/rep0674,0.3875
neutral/rep0675,0.505
neutral/rep0676,0.4325
