replicate	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	focal_allele_outcome	focal_population_allele_frequency	ancestry_seconds	slim_seconds
31	0.0045	9	14274.42493213093	lost	0.0	24.25994825800001	5.079195987999981
32	0.0045	9	11602.54812120623	lost	0.0	25.11838390699998	4.634781220999969
33	0.006	12	12406.319539338847	lost	0.0	26.840369376000012	5.294948180999995
34	0.0075	15	20105.988456497995	lost	0.0	27.661068719999975	4.319441787000017
35	0.009	18	21232.692082569563	lost	0.0	25.734991589999993	5.005133059000002
36	0.0105	21	23649.855210641974	lost	0.0	25.579211730000026	5.042366929000025
37	0.008	16	25578.593837647364	segregating	0.0122	25.771691056999998	5.230017663000012
38	0.0065	13	15901.852239070207	lost	0.0	25.543056765000017	4.833669853999993
39	0.0065	13	25654.428930249156	lost	0.0	25.448297787	5.065092955000011
40	0.0075	15	23414.53874601242	lost	0.0	24.159306993	3.9723927530000083
41	0.008	16	31700.055202517906	lost	0.0	17.489530536000018	3.461077866000039
42	0.0035	7	16078.914151775434	lost	0.0	19.710833257000047	4.248114004999991
43	0.005	10	19545.946613372802	lost	0.0	18.68298737699996	4.347426067000015
44	0.007	14	23043.25346993289	lost	0.0	22.957399033	4.924530489000006
45	0.0065	13	15367.936388215947	lost	0.0	20.45914533299998	5.242977262000011
46	0.01	20	8290.568746576275	lost	0.0	21.81660764999998	4.79667675799999
47	0.005	10	19625.265713581495	lost	0.0	20.891793930999995	4.959035084999982
48	0.006	12	10364.923087212332	lost	0.0	20.51278885900001	4.724182500999973
49	0.0065	13	8218.764828525484	lost	0.0	22.18664426700002	4.677984285999969
50	0.0115	23	18746.42881496255	lost	0.0	19.81597684899998	4.626543878000007
51	0.0095	19	29142.41880478779	lost	0.0	22.751987740999994	3.456674359000033
52	0.005	10	15914.032723713577	lost	0.0	24.394772009999997	3.939796875000013
53	0.0085	17	17858.604020601968	lost	0.0	25.350158504999968	4.230700673000001
54	0.006	12	23867.16992873775	lost	0.0	22.490306352000005	4.645049465
55	0.005	10	16116.349647401012	lost	0.0	26.194738787999995	5.043362999999999
56	0.006	12	11841.800658455253	lost	0.0	24.796298792000016	4.765266512999972
57	0.008	16	16438.775248163816	lost	0.0	23.378305623000017	6.294453397000041
58	0.007	14	12156.59603748566	lost	0.0	22.402209015999972	4.73552351699999
59	0.0075	15	10873.056531657827	lost	0.0	26.567360344999997	4.276031716000034
60	0.007	14	17626.16920729341	lost	0.0	26.112482209000007	4.241118828999959
61	0.0065	13	19274.544114360986	lost	0.0	20.985064162000015	4.674408599000003
62	0.0035	7	14972.083427573909	lost	0.0	19.710366153999985	4.827785360000007
63	0.005	10	28279.535594514793	lost	0.0	20.24533535400002	4.373609258999977
64	0.008	16	13502.69959104899	lost	0.0	19.136436628000013	4.395805682000002
65	0.007	14	17776.11295851256	lost	0.0	22.007963589999974	4.525598642000034
66	0.0045	9	28378.629553885694	lost	0.0	19.580853271999956	4.814855496999996
67	0.007	14	18659.673102285833	lost	0.0	20.210951206000004	4.695138401999998
68	0.0015	3	16654.624593839097	lost	0.0	22.43866819899995	4.442128159999982
69	0.005	10	27432.622014394332	lost	0.0	22.264300155	4.268527662999986
70	0.005	10	31349.580417716723	lost	0.0	22.956250275000002	4.040821292000032
71	0.004	8	32347.440048613436	lost	0.0	21.45531925199998	4.398630067999989
72	0.0085	17	23093.80616480528	lost	0.0	24.990069194	4.121118625000008
73	0.009	18	15334.840472984923	lost	0.0	25.176903090999986	4.305001919000006
74	0.008	16	16015.106486039034	lost	0.0	23.532724943000005	4.485025514999961
75	0.0075	15	18523.919886534557	lost	0.0	21.055571583000017	4.412471101999984
76	0.006	12	8050.435356353495	lost	0.0	22.435095735000004	4.527028260999998
77	0.0035	7	28535.819679505545	lost	0.0	23.723431871000003	4.659421540999972
78	0.009	18	14298.050700556207	lost	0.0	24.258161787999995	4.624253178000004
