haplotypes,source,mode,cutoff_years,n,focal_mean,focal_sd,region_mean,region_mean_sd,average_position_sd,profile_roughness
400,decoded,selected,40000,100,0.384741,0.16222571075915532,0.17740748,0.011299221471169837,0.06720048566584617,0.01712829129129129
400,decoded,selected,50000,100,0.45207100000000006,0.17786034601860692,0.21500384499999997,0.013383885575476559,0.0819029736612979,0.023026504504504504
400,truth,neutral,5000,1000,0.0026967,0.0005701966627701658,0.002685209999999999,0.00021646626463198306,0.0005599055589880559,7.051281281281282e-05
400,truth,neutral,10000,1000,0.0074391,0.0011506890436930714,0.007461571500000003,0.00030446133679558286,0.0011339464010032053,0.0002487115115115115
400,truth,neutral,20000,1000,0.045594300000000004,0.008404849731494846,0.04568596350000001,0.0021240755949991567,0.008543094888245015,0.0018669178178178179
400,truth,neutral,30000,1000,0.10018990000000001,0.025408980780312583,0.10074682029999994,0.005438786290060206,0.02511934567699474,0.005832072372372371
400,truth,neutral,40000,1000,0.1563337,0.04539263801428482,0.15582006039999993,0.008574196942103313,0.045428810183640485,0.011672161761761763
400,truth,neutral,50000,1000,0.20236759999999998,0.0637793224502441,0.20360659199999998,0.010821542423865812,0.06438730446020544,0.018333159659659662
400,truth,selected,5000,100,0.00261,0.0005403889358787817,0.0026023590000000003,0.00020911185064409428,0.0005434002206574035,6.928428428428429e-05
400,truth,selected,10000,100,0.007923,0.0010059273825629258,0.007504525,0.00028487796691803593,0.001118639237586846,0.00025003503503503505
400,truth,selected,20000,100,0.063552,0.025411993032798313,0.04655088500000001,0.0027475071761333112,0.009195681975207324,0.0019055015015015016
400,truth,selected,30000,100,0.18076400000000004,0.08055121655747285,0.10283144699999999,0.005920357030004034,0.026596758350282905,0.005999200200200201
400,truth,selected,40000,100,0.345383,0.1542936535514751,0.15896544599999998,0.009595034137104778,0.047197424722951395,0.011954125125125125
400,truth,selected,50000,100,0.594833,0.22194344035853328,0.20933567200000006,0.011617970099094356,0.06730300091727005,0.019081825825825825
