haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n
400,decoded,maximum_standardized_frac_recent,50000,1,0.7,4.94056649113537,400,400,80
400,decoded,maximum_frac_recent,5000,2,0.7,0.0075,400,400,80
400,decoded,maximum_frac_recent,10000,2,0.7,0.0417,400,400,80
400,decoded,maximum_frac_recent,20000,2,0.7,0.1896,400,400,80
400,decoded,maximum_frac_recent,30000,2,0.7,0.3633,400,400,80
400,decoded,maximum_frac_recent,40000,2,0.7,0.499,400,400,80
400,decoded,maximum_frac_recent,50000,2,0.7,0.6165,400,400,80
400,decoded,maximum_standardized_frac_recent,5000,2,0.7,2.8236089613079898,400,400,80
400,decoded,maximum_standardized_frac_recent,10000,2,0.7,3.379287148608725,400,400,80
400,decoded,maximum_standardized_frac_recent,20000,2,0.7,4.562348585045021,400,400,80
400,decoded,maximum_standardized_frac_recent,30000,2,0.7,5.049283595994412,400,400,80
400,decoded,maximum_standardized_frac_recent,40000,2,0.7,4.986814254746186,400,400,80
400,decoded,maximum_standardized_frac_recent,50000,2,0.7,4.946762937461167,400,400,80
400,decoded,maximum_frac_recent,5000,3,0.7,0.0075,400,400,80
400,decoded,maximum_frac_recent,10000,3,0.7,0.0431,400,400,80
400,decoded,maximum_frac_recent,20000,3,0.7,0.1939,400,400,80
400,decoded,maximum_frac_recent,30000,3,0.7,0.367,400,400,80
400,decoded,maximum_frac_recent,40000,3,0.7,0.5099,400,400,80
400,decoded,maximum_frac_recent,50000,3,0.7,0.6165,400,400,80
400,decoded,maximum_standardized_frac_recent,5000,3,0.7,2.893188279855823,400,400,80
400,decoded,maximum_standardized_frac_recent,10000,3,0.7,3.732418468946284,400,400,80
400,decoded,maximum_standardized_frac_recent,20000,3,0.7,4.857958297356326,400,400,80
400,decoded,maximum_standardized_frac_recent,30000,3,0.7,5.1552584573818265,400,400,80
400,decoded,maximum_standardized_frac_recent,40000,3,0.7,5.050020091211151,400,400,80
400,decoded,maximum_standardized_frac_recent,50000,3,0.7,5.038674216137941,400,400,80
400,decoded,maximum_frac_recent,5000,4,0.7,0.0075,400,400,80
400,decoded,maximum_frac_recent,10000,4,0.7,0.043,400,400,80
400,decoded,maximum_frac_recent,20000,4,0.7,0.1914,400,400,80
400,decoded,maximum_frac_recent,30000,4,0.7,0.3641,400,400,80
400,decoded,maximum_frac_recent,40000,4,0.7,0.4974,400,400,80
400,decoded,maximum_frac_recent,50000,4,0.7,0.6059,400,400,80
400,decoded,maximum_standardized_frac_recent,5000,4,0.7,2.8686304895507404,400,400,80
400,decoded,maximum_standardized_frac_recent,10000,4,0.7,3.7929405015066346,400,400,80
400,decoded,maximum_standardized_frac_recent,20000,4,0.7,4.793321780246719,400,400,80
400,decoded,maximum_standardized_frac_recent,30000,4,0.7,4.806944023541083,400,400,80
400,decoded,maximum_standardized_frac_recent,40000,4,0.7,4.773080631789716,400,400,80
400,decoded,maximum_standardized_frac_recent,50000,4,0.7,4.705276911146279,400,400,80
400,truth,maximum_frac_recent,5000,0,0.7,0.0038,400,400,80
400,truth,maximum_frac_recent,10000,0,0.7,0.0105,400,400,80
400,truth,maximum_frac_recent,20000,0,0.7,0.0743,400,400,80
400,truth,maximum_frac_recent,30000,0,0.7,0.2101,400,400,80
400,truth,maximum_frac_recent,40000,0,0.7,0.366,400,400,80
400,truth,maximum_frac_recent,50000,0,0.7,0.5938,400,400,80
400,truth,maximum_standardized_frac_recent,5000,0,0.7,2.0464173848771683,400,400,80
400,truth,maximum_standardized_frac_recent,10000,0,0.7,2.6918902368269206,400,400,80
400,truth,maximum_standardized_frac_recent,20000,0,0.7,3.5271590139128293,400,400,80
400,truth,maximum_standardized_frac_recent,30000,0,0.7,4.472951572633132,400,400,80
400,truth,maximum_standardized_frac_recent,40000,0,0.7,4.634369577716418,400,400,80
400,truth,maximum_standardized_frac_recent,50000,0,0.7,6.119179524084616,400,400,80
400,truth,maximum_frac_recent,5000,1,0.7,0.0038,400,400,80
400,truth,maximum_frac_recent,10000,1,0.7,0.0105,400,400,80
400,truth,maximum_frac_recent,20000,1,0.7,0.0755,400,400,80
400,truth,maximum_frac_recent,30000,1,0.7,0.2101,400,400,80
400,truth,maximum_frac_recent,40000,1,0.7,0.3675,400,400,80
400,truth,maximum_frac_recent,50000,1,0.7,0.5938,400,400,80
400,truth,maximum_standardized_frac_recent,5000,1,0.7,2.0900591487110587,400,400,80
400,truth,maximum_standardized_frac_recent,10000,1,0.7,2.70017784397515,400,400,80
400,truth,maximum_standardized_frac_recent,20000,1,0.7,3.4744093249981254,400,400,80
400,truth,maximum_standardized_frac_recent,30000,1,0.7,4.378796713110486,400,400,80
400,truth,maximum_standardized_frac_recent,40000,1,0.7,4.498451861686862,400,400,80
400,truth,maximum_standardized_frac_recent,50000,1,0.7,5.931291532595979,400,400,80
400,truth,maximum_frac_recent,5000,2,0.7,0.0038,400,400,80
400,truth,maximum_frac_recent,10000,2,0.7,0.0105,400,400,80
400,truth,maximum_frac_recent,20000,2,0.7,0.0753,400,400,80
400,truth,maximum_frac_recent,30000,2,0.7,0.2101,400,400,80
400,truth,maximum_frac_recent,40000,2,0.7,0.3599,400,400,80
400,truth,maximum_frac_recent,50000,2,0.7,0.5784,400,400,80
400,truth,maximum_standardized_frac_recent,5000,2,0.7,2.0908161796835727,400,400,80
400,truth,maximum_standardized_frac_recent,10000,2,0.7,2.7709336498973145,400,400,80
400,truth,maximum_standardized_frac_recent,20000,2,0.7,3.4631413813718743,400,400,80
400,truth,maximum_standardized_frac_recent,30000,2,0.7,4.199344232920976,400,400,80
400,truth,maximum_standardized_frac_recent,40000,2,0.7,4.428471535257512,400,400,80
400,truth,maximum_standardized_frac_recent,50000,2,0.7,6.084759392545293,400,400,80
400,truth,maximum_frac_recent,5000,3,0.7,0.0038,400,400,80
400,truth,maximum_frac_recent,10000,3,0.7,0.0105,400,400,80
400,truth,maximum_frac_recent,20000,3,0.7,0.0745,400,400,80
400,truth,maximum_frac_recent,30000,3,0.7,0.2152,400,400,80
400,truth,maximum_frac_recent,40000,3,0.7,0.3601,400,400,80
400,truth,maximum_frac_recent,50000,3,0.7,0.6071,400,400,80
400,truth,maximum_standardized_frac_recent,5000,3,0.7,2.043901744667191,400,400,80
400,truth,maximum_standardized_frac_recent,10000,3,0.7,2.6790708432829895,400,400,80
400,truth,maximum_standardized_frac_recent,20000,3,0.7,3.3483707660109907,400,400,80
400,truth,maximum_standardized_frac_recent,30000,3,0.7,4.707608678930292,400,400,80
400,truth,maximum_standardized_frac_recent,40000,3,0.7,4.802741067048086,400,400,80
400,truth,maximum_standardized_frac_recent,50000,3,0.7,6.3382154889659965,400,400,80
400,truth,maximum_frac_recent,5000,4,0.7,0.0038,400,400,80
400,truth,maximum_frac_recent,10000,4,0.7,0.0105,400,400,80
400,truth,maximum_frac_recent,20000,4,0.7,0.0752,400,400,80
400,truth,maximum_frac_recent,30000,4,0.7,0.2103,400,400,80
400,truth,maximum_frac_recent,40000,4,0.7,0.366,400,400,80
400,truth,maximum_frac_recent,50000,4,0.7,0.5784,400,400,80
400,truth,maximum_standardized_frac_recent,5000,4,0.7,2.084820179561205,400,400,80
400,truth,maximum_standardized_frac_recent,10000,4,0.7,2.739009714453462,400,400,80
400,truth,maximum_standardized_frac_recent,20000,4,0.7,3.4464013360591417,400,400,80
400,truth,maximum_standardized_frac_recent,30000,4,0.7,4.415590065232264,400,400,80
400,truth,maximum_standardized_frac_recent,40000,4,0.7,4.641967177324913,400,400,80
400,truth,maximum_standardized_frac_recent,50000,4,0.7,5.808339293879242,400,400,80
